-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 2004-05. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "UttarakhandNSDPcurrent_1.csv", 
 "title": "Download CSV for Uttarakhand Net State Domestic Product at factor cost at Current Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/UttarakhandNSDPcurrent_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-2008","2008-2009","2009-10","2010-11","2011-12","2012-13"
"Agriculture","367537","371974","435860","442826","519721","644330","657188","735111","819571"
"Foresty and Logging","137911","161530","183484","197409","224163","252831","311358","357751","410038"
"Fishing","803","914","1080","1105","1271","1834","2340","3027","3763"
"Ag and Allied","506251","534418","620424","641340","745155","898995","970886","1095889","1233372"
"Mining and Quarrying","24252","35540","40286","44799","35944","44420","56200","71965","79491"
"Sub total of primary","530503","569958","660710","686139","781099","943415","1027086","1167854","1312863"
"Manufacturing","249951","394603","497468","769635","930284","1132958","1307383","1438056","1610362"
"Registered","166281","302503","388683","641252","793066","988669","1145451","1259269","1420580"
"Unregistered","83670","92100","108785","128383","137218","144289","161932","178787","189782"
"Construction","301753","351645","448881","437688","451072","556704","642059","750833","893772"
"Electricity, Gas and water Supply","21598","22929","40657","83728","92998","118212","170185","190361","245747"
"Sub total of secondary","573302","769177","987006","1291051","1474354","1807874","2119627","2379250","2749881"
"Industry","597554","804717","1027292","1335850","1510298","1852294","2175827","2451215","2829372"
"Transport Storage and Communication","143184","170503","213488","264461","318438","409506","492736","580688","704296"
"Railways","5089","4653","5091","10039","8628","11295","11282","11963","12685"
"Transport by other means","102503","127630","162863","206169","257396","337139","412247","490202","600806"
"Storage","1636","1766","2157","2411","2776","3430","3813","4453","5228"
"Communication","33956","36454","43377","45842","49638","57642","65394","74070","85577"
"Trade, hotels and restaurants","409183","538362","666257","900175","1169013","1603828","1939772","2155030","2441397"
"Banking and Insurance","92020","103499","122655","144164","176462","201422","255209","306625","370462"
"Real estate, ownership of dwelling and business","127255","141734","157148","188041","217344","265341","321537","371024","438192"
"Pubic Administration","108098","124609","142327","202937","309450","397117","433488","459647","527597"
"Other Services","245228","278952","317455","350908","415428","485941","549164","595447","691333"
"Sub total of tertiary","1124968","1357659","1619330","2050686","2606135","3363155","3991906","4468461","5173277"
"State domestic product","2228773","2696794","3267046","4027876","4861588","6114444","7138619","8015565","9236021"

"Figures are in Rs. Lakh"
