-----
{
 "description": "The table refers to District wise Construction of Surface Lift Schemes over the years. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.1.csv", 
 "title": "Download CSV for Districtwise Construction of Surface Lift Schemes over the years", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.1.csv"
}
-----
"State","District","Upto 1993-94","During 1994-95","During 1995-96","During 1996-97","During 1997-98","During 1998-99","During 1999-00","During 2000-01","Total (1994-01)"
"ANDAMAN & NICOBARS","ANDAMAN",1173,80,85,105,39,46,38,103,1669
"ANDAMAN & NICOBARS","NICOBAR",18,1,1,6,0,1,0,0,27
"ANDHRA PRADESH","ADILABAD",533,150,131,134,100,103,300,3,1454
"ANDHRA PRADESH","ANANTHAPUR",1,0,0,0,0,0,0,0,1
"ANDHRA PRADESH","CHITTOOR",22,1,0,0,0,0,0,0,23
"ANDHRA PRADESH","CUDDAPAH",186,37,35,41,52,21,20,25,417
"ANDHRA PRADESH","EAST GODAVARI",48,1,1,5,0,0,2,1,58
"ANDHRA PRADESH","GUNTUR",978,127,85,95,95,85,31,54,1550
"ANDHRA PRADESH","KARIMNAGAR",335,40,11,2,6,20,50,7,471
"ANDHRA PRADESH","KHAMMAM",1641,405,257,605,448,501,236,123,4216
"ANDHRA PRADESH","KRISHNA",77,12,1,5,2,5,4,0,106
"ANDHRA PRADESH","KURNOOL",1447,80,126,138,92,121,110,35,2149
"ANDHRA PRADESH","MAHABOOBNAGAR",1038,60,52,50,91,49,32,7,1379
"ANDHRA PRADESH","MEDAK",279,75,78,167,141,152,40,55,987
"ANDHRA PRADESH","NALGONDA",1479,803,567,476,609,297,115,77,4423
"ANDHRA PRADESH","NELLORE",2024,196,243,163,86,54,37,13,2816
"ANDHRA PRADESH","NIZAMABAD",1173,94,148,186,80,56,34,12,1783
"ANDHRA PRADESH","PRAKASAM",818,99,97,81,68,81,60,45,1349
"ANDHRA PRADESH","RANGAREDDY",190,14,7,18,13,24,6,0,272
"ANDHRA PRADESH","SRIKAKULAM",21,3,0,1,3,1,3,1,33
"ANDHRA PRADESH","VISAKHAPATNAM",44,1,4,2,1,1,1,0,54
"ANDHRA PRADESH","VIZIANAGARAM",163,14,8,10,3,1,0,0,199
"ANDHRA PRADESH","WARANGAL",69,15,16,26,22,57,9,0,214
"ANDHRA PRADESH","WEST GODAVARI",119,0,5,5,31,11,29,39,239
"ARUNACHAL PRADESH","DIBANG VALLEY",6,0,1,2,0,0,0,0,9
"ARUNACHAL PRADESH","LOHIT",1,0,1,0,0,1,0,3,6
"ARUNACHAL PRADESH","TIRAP",1,0,0,0,0,0,0,0,1
"ARUNACHAL PRADESH","UPPER SUBANSIRI",1,0,0,0,1,0,0,0,2
"ARUNACHAL PRADESH","WEST KAMENG",1,0,0,0,0,0,0,1,2
"ARUNACHAL PRADESH","WEST SIANG",0,0,1,0,0,0,0,0,1
"ASSAM","BARPETA",6,0,0,14,5,0,2,0,27
"ASSAM","BONGAIGAON",21,5,4,5,5,3,121,29,193
"ASSAM","CACHAR",53,0,26,24,0,33,98,42,276
"ASSAM","DARRANG",8,0,0,0,0,0,0,0,8
"ASSAM","DHEMAJI",8,0,0,0,0,0,0,0,8
"ASSAM","DHUBRI",13,1,0,14,0,0,0,1,29
"ASSAM","DIBRUGARH",2,0,0,0,0,1,0,0,3
"ASSAM","GOALPARA",11,0,0,2,2,4,0,0,19
"ASSAM","GOLAGHAT",36,0,0,4,0,0,0,0,40
"ASSAM","HAILAKANDI",16,0,0,0,0,0,0,0,16
"ASSAM","JORHAT",21,0,0,0,0,1,1,0,23
"ASSAM","KAMRUP",43,1,2,1,4,33,15,11,110
"ASSAM","KARBIANGLONG",16,0,0,0,0,0,6,0,22
"ASSAM","KARIMGANJ",17,0,0,1,0,0,0,1,19
"ASSAM","KOKRAJHAR",24,5,4,2,2,7,24,15,83
"ASSAM","LAKHIMPUR",16,0,0,0,0,0,0,0,16
"ASSAM","MORIGAON",28,0,1,8,1,0,1,0,39
"ASSAM","NAGOAN",146,15,37,6,25,55,73,81,438
"ASSAM","NALBARI",28,0,0,0,0,0,16,12,56
"ASSAM","NC HILLS",8,0,0,0,0,0,0,0,8
"ASSAM","SIBSAGAR",23,0,7,0,0,1,1,0,32
"ASSAM","SONITPUR",42,5,11,0,6,13,39,11,127
"ASSAM","TINSUKIA",36,1,29,2,5,0,18,25,116
"BIHAR","AURANGABAD",76,1,9,4,7,1,1,0,99
"BIHAR","BANKA",351,18,14,20,9,23,4,6,445
