-----
{
 "description": "The table refers to state wise surface flow schemes according to water distribution system. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Nattab4.8.csv", 
 "title": "Download CSV for Statewise Surface Flow Schemes according to water distribution system for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Nattab4.8.csv"
}
-----
State,Sprinkler,Drip Irrigation,Open channel,Under ground channel,Others,Total
ANDHRA PRADESH,749,122,75517,91,3474,79953
ARUNACHAL PRADESH,13,17,3457,31,70,3588
ASSAM,3,1,2331,4,8,2347
BIHAR,2092,381,50593,2659,11523,67248
GOA,14,5,2682,56,419,3176
GUJARAT,NA,NA,NA,NA,NA,NA
HARYANA,35,2,472,0,1,510
HIMACHAL PRADESH,50,39,13671,121,464,14345
JAMMU & KASHMIR,6,0,7886,78,1174,9144
KARNATAKA,2400,437,26730,3929,5590,39086
KERALA,123,19,8448,861,930,10381
MADHYA PRADESH,3119,450,38738,4668,9149,56124
MAHARASHTRA,NA,NA,NA,NA,NA,NA
MANIPUR,0,0,240,0,0,240
MEGHALAYA,470,836,11818,596,544,14264
MIZORAM,1,9,4379,0,386,4775
NAGALAND,6,6,14037,8,2,14059
ORISSA,174,60,20293,192,3384,24103
PUNJAB,6,5,376,7,0,394
RAJASTHAN,191,15,2418,47,431,3102
SIKKIM,0,0,838,11,5,854
TAMIL NADU,7306,751,65207,870,10589,84723
TRIPURA,3,0,505,20,72,600
UTTAR PRADESH,401,150,21016,411,1906,23884
WEST BENGAL,2100,780,54176,401,8997,66454
ANDAMAN & NICOBARS,NA,NA,NA,NA,NA,NA
CHANDIGARH,NA,NA,NA,NA,NA,NA
DADRA & NAGAR HAVELI,0,0,11,0,0,11
DAMAN & DIU,NA,NA,NA,NA,NA,NA
DELHI,7,3,1373,0,0,1383
LAKSHADWEEP,NA,NA,NA,NA,NA,NA
PONDICHERRY,74,21,17527,13,10,17645
ALL INDIA,19343,4109,444739,15074,59128,542393
