-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "KarnatakaGSDPcurrent_1.csv", 
 "title": "Download CSV for Karnataka Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/KarnatakaGSDPcurrent_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","1353617","1487047","1702537","1923572","1939077","2359647","2555354","2738866","2275518","2240008","1964086","2311008"
"Foresty and Logging","91376","103910","104989","130334","145942","161617","164108","172986","187141","180488","193314","207263"
"Fishing","16316","30271","36734","58343","56544","54346","59648","58694","54968","66371","56924","63246"
"Mining and Quarrying","30837","33856","38916","47777","60441","50035","56034","57484","69972","74110","98809","124712"
"Sub total of primary","1492146","1655084","1883176","2160026","2202004","2625645","2835144","3028030","2587599","2560977","2313133","2706229"
"Manufacturing","733822","906598","1035864","1160407","1337387","1639990","1568483","1637527","1846936","2144986","2507513","2745807"
"Registered","451766","578322","654627","737040","873782","1113609","1000462","998302","1205351","1374339","1685475","1853034"
"Unregistered","282056","328276","381237","423367","463605","526381","568021","639225","641585","770647","822038","892773"
"Construction","209088","232085","302438","361442","455617","557663","626700","659243","715772","806373","905333","968854"
"Electricity, Gas and water Supply","100636","124434","137843","152154","170563","228614","231479","270837","308800","303205","312856","336381"
"Sub total of secondary","1043546","1263117","1476145","1674003","1963567","2426267","2426662","2567607","2871508","3254564","3725702","4051042"
"Transport Storage and Communication","187704","225687","278543","357425","431672","502356","597063","645804","697296","755199","879471","1010716"
"Railways","12531","13878","17253","28506","19432","21841","28395","31808","44037","52478","53570","61165"
"Transport by other means","103000","122886","148423","189369","243032","285379","341601","378297","418541","464445","532513","599616"
"Storage","698","807","973","1116","1343","1542","1929","2489","3493","2930","2928","3077"
"Communication","71475","88116","111894","138434","167865","193594","225138","233210","231225","235346","290460","346858"
"Trade, hotels and restaurants","449167","570102","685619","831567","921074","1173770","1207094","1426531","1570805","1737295","1928962","2197916"
"Banking and Insurance","197580","245543","324122","354689","433821","443866","538193","600912","703098","861654","960870","1097497"
"Real estate, ownership of dwelling and business","283649","316937","358023","412955","476177","550422","643009","807080","894420","1002507","1271224","1595329"
"Pubic Administration","180700","197726","239610","268804","313353","365582","424783","434619","470510","491107","537370","565102"
"Other Services","273413","317320","376218","458104","562908","696183","825246","943511","1050896","1197059","1395929","1628308"
"Sub total of tertiary","1572213","1873315","2262135","2683544","3139005","3732179","4235388","4858457","5387025","6044821","6973826","8094868"
"State domestic product","4107905","4791516","5621456","6517572","7304576","8784091","9497193","10454093","10846132","11860362","13012661","14852139"

"Figures are in Rs. Lakh"
