-----
{
 "description": "The table refers to District wise Distribution of Dugwells according to Average Pumping Hours. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.11.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells according to Average Pumping Hours", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.11.csv"
}
-----
"State","District","Avg pumping hours (0-4)","Avg pumping hours (4 - 8)","Avg pumping hours (8-12)","Avg pumping hours (12 -16)","Avg pumping hours (16 - 20)","Avg pumping hours (20 - 24)","Total"
"ANDAMAN & NICOBARS","NICOBAR",8,0,0,0,0,0,8
"ANDHRA PRADESH","ADILABAD",18989,7530,681,25,19,146,27390
"ANDHRA PRADESH","ANANTHAPUR",32281,18296,2036,194,117,13,52937
"ANDHRA PRADESH","CHITTOOR",67856,41718,6906,110,18,15,116623
"ANDHRA PRADESH","CUDDAPAH",34717,6251,762,39,4,10,41783
"ANDHRA PRADESH","EAST GODAVARI",695,1204,270,35,3,0,2207
"ANDHRA PRADESH","GUNTUR",11191,1802,335,57,3,3,13391
"ANDHRA PRADESH","KARIMNAGAR",156902,46627,4072,159,87,153,208000
"ANDHRA PRADESH","KHAMMAM",22152,15158,1662,0,0,0,38972
"ANDHRA PRADESH","KRISHNA",7016,8057,1767,65,34,13,16952
"ANDHRA PRADESH","KURNOOL",21456,12271,995,15,1,4,34742
"ANDHRA PRADESH","MAHABOOBNAGAR",74196,13132,4345,65,40,31,91809
"ANDHRA PRADESH","MEDAK",37109,11167,3825,18,0,0,52119
"ANDHRA PRADESH","NALGONDA",43587,41078,24185,303,107,131,109391
"ANDHRA PRADESH","NELLORE",12825,20372,2034,6,0,2,35239
"ANDHRA PRADESH","NIZAMABAD",6446,7766,2625,1,6,2,16846
"ANDHRA PRADESH","PRAKASAM",13930,11787,1368,29,1,0,27115
"ANDHRA PRADESH","RANGAREDDY",21929,7016,996,21,11,67,30040
"ANDHRA PRADESH","SRIKAKULAM",33325,2930,102,19,5,8,36389
"ANDHRA PRADESH","VISAKHAPATNAM",23634,2496,72,7,24,122,26355
"ANDHRA PRADESH","VIZIANAGARAM",33443,2227,105,0,7,14,35796
"ANDHRA PRADESH","WARANGAL",111672,42467,6291,114,66,96,160706
"ANDHRA PRADESH","WEST GODAVARI",863,4933,4617,1,0,0,10414
"ARUNACHAL PRADESH","CHANGLANG",0,1,0,0,0,0,1
"ARUNACHAL PRADESH","EAST SIANG",0,1,0,0,0,0,1
"ARUNACHAL PRADESH","PAPUMPARE",0,1,1,0,0,0,2
"ASSAM","BARPETA",0,13,10,0,0,0,23
"ASSAM","CACHAR",1,0,0,0,0,0,1
"ASSAM","DHUBRI",14,0,0,0,0,0,14
"ASSAM","GOALPARA",13,7,0,0,0,0,20
"ASSAM","JORHAT",3,7,0,0,0,0,10
"ASSAM","KOKRAJHAR",0,4,0,0,0,0,4
"ASSAM","LAKHIMPUR",47,9,2,0,0,0,58
"ASSAM","MORIGAON",9,9,0,0,0,0,18
"ASSAM","NAGOAN",1,1,0,0,0,0,2
"ASSAM","SIBSAGAR",3,0,0,0,0,0,3
"ASSAM","SONITPUR",1,0,0,0,0,0,1
"BIHAR","AURANGABAD",3648,2441,68,23,3,20,6203
"BIHAR","BANKA",6089,1729,28,0,1,0,7847
"BIHAR","BHAGALPUR",3391,1405,75,16,0,1,4888
"BIHAR","BHOJPUR",1707,866,19,5,0,0,2597
"BIHAR","BUXAR",551,238,0,0,0,0,789
"BIHAR","EAST CHAMPARAN",21,1,0,0,0,0,22
"BIHAR","GAYA",9163,8300,340,47,27,5,17882
"BIHAR","GOPAALGANJ",4402,175,2,0,0,1,4580
"BIHAR","JAMUI",6523,2086,53,11,14,8,8695
"BIHAR","JEHANABAD",1391,1112,27,7,0,0,2537
"BIHAR","KAIMUR (BHABUA)",3646,4513,405,30,2,0,8596
"BIHAR","KATIHAR",15,0,0,0,0,0,15
"BIHAR","LAKHISARAI",835,290,10,0,0,0,1135
