-----
{
 "description": "This data pertains to public account disbursements (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Disbursements_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to revenue receipts (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Revenue_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Revenue Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Revenue_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to public account receipts (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to total expenditure and disbursements (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Total_Expenditure_And_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Total Expenditure And Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Total_Expenditure_And_Disbursements_FY_2000-11.xls"
}
-----
"Sector","Data","FY 00","FY 01","FY 02","FY 03","FY 04","FY 05","FY 06","FY 07","FY 08","FY 09","FY 10","FY 11"
"PLAN-SS","A UT Puducherry",149.8929,160.9496,159.0297,209.4425,248.1968,337.2988,502.4038,501.5389,629.5776,623.2485,858.4034,903.2531
"PLAN-SS","Andhra Pradesh",1839.672,1692.8141,2459.5106,3231.2876,4203.8207,4330.8885,4499.9418,6346.7959,10243.9034,15579.6786,12756.9309,17426.8458
"PLAN-SS","Arunachal Pradesh",190.2415,219.454,285.669,253.9916,352.1552,394.9858,494.7712,572.5601,629.3834,738.1938,648.2086,762.2376
"PLAN-SS","Assam",919.2319,967.5948,949.557,939.6397,930.3119,1081.4564,1145.4719,902.3458,1238.1935,1980.5521,2676.8389,3273.6296
"PLAN-SS","Bihar",547.1087,429.7782,433.9949,692.9851,795.0258,1060.6399,1735.4072,2971.1704,3591.7479,4975.54,6255.9943,8855.0122
"PLAN-SS","Chattisgarh",0.0,256.8997,725.0785,881.6882,1096.9918,1326.033,1679.1696,2753.3425,3059.0444,4772.8743,5998.8912,6396.2824
"PLAN-SS","D NCT Delhi",892.2865,1462.6101,1673.0364,1885.1745,1971.3946,2230.631,2483.4229,3020.6379,4839.7255,5525.8876,6101.245,6277.0115
"PLAN-SS","Goa",114.2862,165.7377,168.1044,194.7358,272.997,343.572,370.7813,456.4094,520.3321,602.1105,697.4318,801.8141
"PLAN-SS","Gujarat",1970.3329,2427.0662,1618.5139,2061.7992,3073.0654,3909.2897,4075.0345,4989.6183,6771.8786,8153.6291,9904.8416,12304.338
"PLAN-SS","Haryana",725.0216,812.2548,925.0288,842.6896,1003.2997,1132.525,1728.9022,2234.2646,3134.301,3771.4664,5502.1976,5806.189
