-----
{
 "description": "The table refers to District wise Distribution of Dugwells by Status. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.6.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells by Status", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.6.csv"
}
-----
"State","District","In use","Not in use - Temporarily","Not in use - Salinity","Not in use - Dried up","Not in use - Destroyed","Not in use - Others","Total - Not in use","Grand total ( Use  + Not in use)"
"ANDAMAN & NICOBARS","NICOBAR",6,0,2,0,0,0,2,8
"ANDHRA PRADESH","ADILABAD",24485,1431,604,416,110,344,2905,27390
"ANDHRA PRADESH","ANANTHAPUR",34868,6334,801,9080,1325,529,18069,52937
"ANDHRA PRADESH","CHITTOOR",93609,7571,1704,9989,2995,755,23014,116623
"ANDHRA PRADESH","CUDDAPAH",19561,6777,1356,12012,1490,587,22222,41783
"ANDHRA PRADESH","EAST GODAVARI",1990,106,7,2,11,91,217,2207
"ANDHRA PRADESH","GUNTUR",11870,515,367,297,80,262,1521,13391
"ANDHRA PRADESH","KARIMNAGAR",195999,7394,347,2091,1597,572,12001,208000
"ANDHRA PRADESH","KHAMMAM",34031,1499,283,1934,718,507,4941,38972
"ANDHRA PRADESH","KRISHNA",14125,1701,127,524,170,305,2827,16952
"ANDHRA PRADESH","KURNOOL",29058,1895,509,2504,342,434,5684,34742
"ANDHRA PRADESH","MAHABOOBNAGAR",42640,14371,1143,31677,1384,594,49169,91809
"ANDHRA PRADESH","MEDAK",28604,2787,711,18469,810,738,23515,52119
"ANDHRA PRADESH","NALGONDA",89439,18053,153,1547,163,36,19952,109391
"ANDHRA PRADESH","NELLORE",28824,3128,374,1963,513,437,6415,35239
"ANDHRA PRADESH","NIZAMABAD",13670,177,90,2821,47,41,3176,16846
"ANDHRA PRADESH","PRAKASAM",18330,4418,140,3205,390,632,8785,27115
"ANDHRA PRADESH","RANGAREDDY",20170,3825,574,4671,230,570,9870,30040
"ANDHRA PRADESH","SRIKAKULAM",33796,1157,237,526,194,479,2593,36389
"ANDHRA PRADESH","VISAKHAPATNAM",22634,1670,282,332,510,927,3721,26355
"ANDHRA PRADESH","VIZIANAGARAM",29663,4028,176,747,446,736,6133,35796
"ANDHRA PRADESH","WARANGAL",149301,7937,566,2721,85,96,11405,160706
"ANDHRA PRADESH","WEST GODAVARI",9726,103,130,356,24,75,688,10414
"ARUNACHAL PRADESH","CHANGLANG",1,0,0,0,0,0,0,1
"ARUNACHAL PRADESH","EAST SIANG",1,0,0,0,0,0,0,1
"ARUNACHAL PRADESH","PAPUMPARE",2,0,0,0,0,0,0,2
"ASSAM","BARPETA",23,0,0,0,0,0,0,23
"ASSAM","CACHAR",1,0,0,0,0,0,0,1
"ASSAM","DHUBRI",14,0,0,0,0,0,0,14
"ASSAM","GOALPARA",18,1,1,0,0,0,2,20
"ASSAM","JORHAT",10,0,0,0,0,0,0,10
"ASSAM","KOKRAJHAR",4,0,0,0,0,0,0,4
"ASSAM","LAKHIMPUR",51,6,1,0,0,0,7,58
"ASSAM","MORIGAON",17,1,0,0,0,0,1,18
"ASSAM","NAGOAN",1,1,0,0,0,0,1,2
"ASSAM","SIBSAGAR",0,0,3,0,0,0,3,3
"ASSAM","SONITPUR",0,0,1,0,0,0,1,1
"BIHAR","AURANGABAD",4759,672,84,353,190,145,1444,6203
"BIHAR","BANKA",7637,112,25,45,21,7,210,7847
"BIHAR","BHAGALPUR",4731,125,2,22,4,4,157,4888
"BIHAR","BHOJPUR",1638,339,142,291,172,15,959,2597
"BIHAR","BUXAR",349,199,76,51,99,15,440,789
"BIHAR","EAST CHAMPARAN",22,0,0,0,0,0,0,22
"BIHAR","GAYA",16348,826,143,410,97,58,1534,17882
"BIHAR","GOPAALGANJ",350,1587,1349,632,296,366,4230,4580
"BIHAR","JAMUI",8620,38,3,20,12,2,75,8695
"BIHAR","JEHANABAD",2024,299,44,135,35,0,513,2537
"BIHAR","KAIMUR (BHABUA)",7475,587,129,164,220,21,1121,8596
"BIHAR","KATIHAR",8,6,1,0,0,0,7,15
"BIHAR","LAKHISARAI",1082,25,0,5,23,0,53,1135
"BIHAR","MADHEPURA",0,0,1,2,1,0,4,4
"BIHAR","MADHUBANI",115,3,0,0,3,0,6,121
"BIHAR","MUNGER",3354,70,0,10,26,0,106,3460
