-----
{
 "description": "The table refers to District wise Shallow Tubewells in the command of Major/Medium Projects and Supplimentary Irrigation. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.14.csv", 
 "title": "Download CSV for Districtwise Shallow Tubewells in the command of Major/Medium Projects and Supplimentary Irrigation", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.14.csv"
}
-----
"State","District","Location of Tubewell (Nos) - Inside Command","Location of Tubewell (Nos) - Outside Command","Total","Supplementary Irrigation (Ha) - Kharif","Supplementary Irrigation (Ha) - Rabi","Supplementary Irrigation (Ha) - Perennial","Supplementary Irrigation (Ha) - Others","Total.1"
"RAJASTHAN","RAJSAMAND",6,64,70,0,0,0,0,0
"RAJASTHAN","SAWAI MADHOPUR",98,1529,1627,0,14,0,0,14
"RAJASTHAN","SIKAR",0,218,218,0,0,0,0,0
"RAJASTHAN","SIROHI",0,7,7,0,0,0,0,0
"RAJASTHAN","TONK",7,40,47,0,0,0,0,0
"RAJASTHAN","UDAIPUR",20,653,673,0,0,0,0,0
"TAMIL NADU","COIMBATORE",24,233,257,13,2,16,0,31
"TAMIL NADU","CUDDALORE",978,29858,30836,399,557,174,56,1185
"TAMIL NADU","DHARMAPURI",11,323,334,9,0,0,0,9
"TAMIL NADU","DINDIGUL",5,354,359,2,0,6,0,8
"TAMIL NADU","ERODE",10,1028,1038,11,8,0,0,19
"TAMIL NADU","KANCHEEPURAM",146,4865,5011,71,37,40,1,149
"TAMIL NADU","KANYAKUMARI",7,332,339,0,0,4,0,4
"TAMIL NADU","KARUR",0,555,555,0,0,0,0,0
"TAMIL NADU","MADURAI",40,427,467,45,203,54,0,302
"TAMIL NADU","NAGAPATTINAM",408,16854,17262,75,280,4,9,369
"TAMIL NADU","NAMAKKAL",1,845,846,1,0,0,0,1
"TAMIL NADU","NILGIRIS",0,3,3,0,0,0,0,0
"TAMIL NADU","PERAMBALUR",448,5071,5519,59,76,20,15,171
"TAMIL NADU","PUDUKKOTTAI",0,1244,1244,0,0,0,0,0
"TAMIL NADU","RAMANATHAPURAM",1,793,794,0,2,0,1,3
"TAMIL NADU","SALEM",0,104,104,0,0,0,0,0
"TAMIL NADU","SIVAGANGA",3,322,325,0,1,0,0,1
"TAMIL NADU","THANJAVUR",23465,4019,27484,11979,6227,521,358,19086
"TAMIL NADU","THENI",33,649,682,1,12,4,0,17
"TAMIL NADU","THIRUVALLUR",287,14135,14422,160,78,0,5,242
"TAMIL NADU","THIRUVARUR",6025,9358,15383,3981,4298,103,70,8452
"TAMIL NADU","TIRUCHIRAPPALLI",2421,3819,6240,536,80,140,0,756
"TAMIL NADU","TIRUNELVELI",34,438,472,23,7,0,0,30
"TAMIL NADU","TIRUVANNAMALAI",1,436,437,0,0,0,0,0
"TAMIL NADU","TUTICORIN DISTRICT",6,741,747,0,0,1,0,1
"TAMIL NADU","VELLORE",2,779,781,1,0,0,0,1
"TAMIL NADU","VILLUPPURAM",44,18918,18962,3,24,0,0,27
"TAMIL NADU","VIRUDHUNAGAR",0,347,347,0,0,0,0,0
"TRIPURA","NORTH TRIPURA",0,15,15,1,0,0,0,1
"TRIPURA","SOUTH TRIPURA",15,494,509,19,29,2,2,52
"TRIPURA","WEST TRIPURA",104,550,654,125,459,27,40,651
"UTTAR PRADESH","AGRA",13538,52940,66478,1644,8978,7359,617,18598
"UTTAR PRADESH","ALIGARH",8535,37751,46286,4720,6919,4459,717,16814
"UTTAR PRADESH","ALLAHABAD",6165,23551,29716,2838,3472,321,323,6954
"UTTAR PRADESH","AMBEDAKAR NAGAR",10407,46034,56441,4595,3194,2125,667,10581
"UTTAR PRADESH","AURAIYA",32561,0,32561,32561,65122,0,0,97683
"UTTAR PRADESH","AZAMGARH",21127,44387,65514,6682,8747,3653,1380,20462
"UTTAR PRADESH","BAGHPAT",6178,18712,24890,2288,2908,3388,351,8936
"UTTAR PRADESH","BAHARAICH",7693,43464,51157,348,895,512,180,1935
"UTTAR PRADESH","BALLIA",3563,29980,33543,3756,6234,1617,703,12311
"UTTAR PRADESH","BALRAMPUR",5271,40380,45651,0,0,0,0,0
"UTTAR PRADESH","BANDA",3493,6814,10307,3235,5859,795,71,9960
"UTTAR PRADESH","BARABANKI",29100,60876,89976,6286,6360,3714,2420,18781
"UTTAR PRADESH","BAREILLY",18154,91348,109502,8036,7390,3019,677,19122
"UTTAR PRADESH","BASTI",51,67191,67242,38,56,12,1,107
"UTTAR PRADESH","BIJNOR",4890,80579,85469,0,0,0,0,0
"UTTAR PRADESH","BUDAUN",5668,90840,96508,4986,6799,6650,307,18742
"UTTAR PRADESH","BULAND SAHAR",8553,53119,61672,5479,6837,3811,1045,17171
"UTTAR PRADESH","CHANDAULI",8687,3278,11965,12128,12061,2938,432,27558
"UTTAR PRADESH","CHITRAKOOT",760,2696,3456,204,502,61,3,769
"UTTAR PRADESH","DEORIA",596,55193,55789,11,2,0,0,13
"UTTAR PRADESH","ETAH",21128,45100,66228,18407,25579,4568,3224,51778
"UTTAR PRADESH","ETAWAH",30217,0,30217,30217,60434,0,0,90651
"UTTAR PRADESH","FAIZABAD",11981,51577,63558,3325,2956,2218,998,9497
"UTTAR PRADESH","FARRUKHABAD",2994,22903,25897,6,6,13,2,27
"UTTAR PRADESH","FATEHPUR",10026,25150,35176,8283,8386,2269,1522,20461
"UTTAR PRADESH","FIROZABAD",5266,25006,30272,2844,8829,6927,1159,19759
"UTTAR PRADESH","GAUTAM BUDHA NAGAR",3458,20081,23539,3000,3602,444,73,7118
"UTTAR PRADESH","GHAZIABAD",5313,29929,35242,1873,1853,2056,391,6173
"UTTAR PRADESH","GHAZIPUR",14202,53107,67309,6915,7700,3182,911,18708
"UTTAR PRADESH","GONDA",31549,61256,92805,0,0,0,0,0
"UTTAR PRADESH","GORAKHPUR",994,75614,76608,28,7,0,0,35
"UTTAR PRADESH","HAMIRPUR",3251,7238,10489,229,3193,439,67,3929
"UTTAR PRADESH","HARDOI",12919,52258,65177,14046,12911,878,159,27995
"UTTAR PRADESH","HATHRAS",5057,25427,30484,1,0,0,0,1
"UTTAR PRADESH","JALAUN",3436,6134,9570,101,634,15,1,751
"UTTAR PRADESH","JAUNPUR",17729,58153,75882,9710,11703,2679,992,25084
"UTTAR PRADESH","JHANSI",1714,7644,9358,279,457,17,0,754
"UTTAR PRADESH","JYOTIBA PHULENAGAR",1856,67828,69684,396,380,0,56,832
"UTTAR PRADESH","KANNAUJ",2042,24771,26813,1072,1662,287,35,3055
"UTTAR PRADESH","KANPUR DEHAT",9032,17258,26290,6,27,19,0,52
"UTTAR PRADESH","KANPUR NAGAR",8396,19299,27695,1732,2917,1704,619,6973
"UTTAR PRADESH","KAUSHAMBI",3000,11244,14244,1717,2449,496,453,5114
"UTTAR PRADESH","KHERI",16468,83278,99746,8330,8013,8735,2565,27643
"UTTAR PRADESH","KUSHINAGAR",14668,28039,42707,4133,4610,2681,739,12163
"UTTAR PRADESH","LALITPUR",6,931,937,0,0,0,0,0
"UTTAR PRADESH","LUCKNOW",12304,19662,31966,8135,8238,1390,1681,19444
"UTTAR PRADESH","MAHARAJ GANJ",464,61909,62373,5908,5877,1908,792,14485
"UTTAR PRADESH","MAHOBA",42,711,753,16,42,8,4,70
"UTTAR PRADESH","MAINPURI",11787,46197,57984,7547,18397,5484,2212,33640
"UTTAR PRADESH","MATHURA",9670,44816,54486,2899,9982,4092,140,17113
"UTTAR PRADESH","MAU",9327,21396,30723,5865,6662,1776,1339,15641
"UTTAR PRADESH","MEERUT",12515,39330,51845,2882,3712,7070,282,13945
"UTTAR PRADESH","MIRZAPUR",2910,4102,7012,1565,2467,326,218,4576
"UTTAR PRADESH","MORADABAD",2647,98775,101422,596,572,0,88,1256
"UTTAR PRADESH","MUZZAFARNAGAR",27704,64004,91708,8426,8104,17527,1838,35894
"UTTAR PRADESH","PILIBHIT",13697,60223,73920,6241,6284,1305,9,13839
"UTTAR PRADESH","PRATAPGARH",19116,71631,90747,7887,7860,2327,855,18928
"UTTAR PRADESH","RAEBARELI",23425,45300,68725,13570,14099,1990,1487,31146
"UTTAR PRADESH","RAMPUR",1874,69545,71419,414,398,0,60,872
"UTTAR PRADESH","SAHARANPUR",16747,63363,80110,7603,7629,9794,1799,26825
"UTTAR PRADESH","SANT KABIR NAGAR",4083,32148,36231,1973,2654,581,328,5536
"UTTAR PRADESH","SANT RAVI DAS NAGAR",1161,6023,7184,2044,2702,2009,419,7174
"UTTAR PRADESH","SHAHJAHANPUR",11637,83291,94928,2829,3062,136,151,6177
"UTTAR PRADESH","SHRAWASTI",6187,33757,39944,153,162,19,4,337
"UTTAR PRADESH","SIDDHARTH NAGAR",6892,40114,47006,3516,4357,1627,500,10000
"UTTAR PRADESH","SITAPUR",0,116992,116992,0,0,0,0,0
"UTTAR PRADESH","SONBHADRA",1529,3386,4915,1055,1405,1149,148,3758
"UTTAR PRADESH","SULTANPUR",28224,91701,119925,25652,30012,5406,9086,70157
"UTTAR PRADESH","UNNAO",6853,61846,68699,1967,2455,484,358,5264
"UTTAR PRADESH","VARANASI",3658,10818,14476,3985,5538,3633,774,13929
"UTTARANCHAL","CHAMPAWAT",13,615,628,0,0,0,0,0
"UTTARANCHAL","DEHRA DUN",43,135,178,8,6,2,0,16
"UTTARANCHAL","HARIDWAR",1624,24407,26031,274,257,264,4,799
"UTTARANCHAL","NAINITAL",0,559,559,0,0,0,0,0
"UTTARANCHAL","UDHAM SINGH NAGAR",321,24382,24703,259,253,478,6,996
"WEST BENGAL","BANKURA",8376,19707,28083,2789,385,29,32,3235
"WEST BENGAL","BIRBHUM",16364,1097,17461,1345,96,29,452,1922
"WEST BENGAL","BURDWAN",46422,5288,51710,4904,74,7,427,5412
"WEST BENGAL","COOCHBEHAR",0,41206,41206,21,11,0,13,45
"WEST BENGAL","DAKSHIN DINAJPUR",14,25081,25095,199,0,4,13,216
"WEST BENGAL","DARJEELING",51,1432,1483,0,0,0,0,0
"WEST BENGAL","HAORA",1115,16,1131,0,0,0,0,0
"WEST BENGAL","HOOGHLY",715,20120,20835,222,44,0,242,508
"WEST BENGAL","JALPAIGURI",12,8478,8490,7,5,0,0,12
"WEST BENGAL","MALDA",295,36960,37255,0,0,0,0,0
"WEST BENGAL","MIDNAPORE",2858,75370,78228,1025,100,0,255,1380
"WEST BENGAL","MURSHIDABAD",15804,68163,83967,531,81,0,109,721
"WEST BENGAL","NADIA",282,94507,94789,10,1,0,29,40
"WEST BENGAL","NORTH 24 PARGANAS",0,63202,63202,35,3,0,6,43
"WEST BENGAL","PURULIA",2,0,2,0,0,0,0,0
"WEST BENGAL","SOUTH 24 PARGANAS",35,9417,9452,0,0,0,1,1
"WEST BENGAL","UTTAR DINAJPUR",3748,37530,41278,59,47,116,89,311
