-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "goaGSDPcurrent.csv", 
 "title": "Download CSV for Goa Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/goaGSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","25085","25403","26765","31263","32444","38551","47496","58938","58263","48324","52515","60894"
"Foresty and Logging","1123","1421","1581","1494","1621","1343","1176","1039","1310","1544","1669","2111"
"Fishing","9231","10276","11659","12503","17402","14225","13062","20855","17707","15409","19405","20040"
"Mining and Quarrying","15165","21083","20082","18068","28238","31679","26308","28558","27980","33128","44948","54839"
"Sub total of primary","50604","58183","60087","63328","79705","85798","88042","109390","105260","98405","118537","137884"
"Manufacturing","57364","57401","69605","83987","119659","151664","192198","203137","229219","261915","268783","274076"
"Registered","45453","43784","54547","68663","95025","121556","154597","163130","187526","214534","249526","249776"
"Unregistered","11911","13617","15058","15324","24634","30108","37601","40007","41693","47381","19257","24300"
"Construction","10587","14997","14536","18557","24314","31553","27165","45875","50729","70769","59263","65671"
"Electricity, Gas and water Supply","4368","3908","4869","6557","4925","11491","8728","5619","11896","27070","24952","25118"
"Sub total of secondary","72319","76306","89010","109101","148898","194708","228091","254631","291844","359754","352998","364865"
"Transport Storage and Communication","36353","41981","46303","49577","69393","90737","98825","105958","115431","122499","140226","145588"
"Railways","394","463","591","3598","309","1167","1812","2351","2713","3527","3499","3503"
"Transport by other means","34582","39962","43763","43043","65372","85944","92991","99304","107254","111640","127395","132743"
"Storage","75","86","100","106","117","132","142","161","201","248","252","253"
"Communication","1302","1470","1849","2830","3595","3494","3880","4142","5263","7084","9080","9089"
"Trade, hotels and restaurants","22339","40614","45675","59084","63520","85849","91735","122194","140523","161601","114537","109106"
"Banking and Insurance","14009","17771","34968","52364","54109","51361","57258","45445","48977","66554","71909","71981"
"Real estate, ownership of dwelling and business","16359","18373","20286","22134","28441","36959","46545","54434","62296","70438","71947","73742"
"Pubic Administration","10550","11464","13517","16886","21510","28129","31360","33706","35656","39769","42061","45099"
"Other Services","17135","19101","22073","24018","26574","33965","34312","44047","50336","52798","33248","32167"
"Sub total of tertiary","116745","149304","182822","224063","263547","327000","360035","405784","453219","513659","473928","477683"
"State domestic product","239668","283793","331919","396493","492149","607506","676168","769805","850323","971818","945463","980432"

"Figures are in Rs. Lakh"
