-----
{
 "description": "The table refers to District wise Distribution of Dugwells according to Social status. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.4.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells according to Social status", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.4.csv"
}
-----
"State","District","Scheduled caste","Scheduled tribe","Other social status of farmers","Total"
"ANDAMAN & NICOBARS","NICOBAR",0,0,8,8
"ANDHRA PRADESH","ADILABAD",4593,5848,16842,27283
"ANDHRA PRADESH","ANANTHAPUR",2896,1252,48067,52215
"ANDHRA PRADESH","CHITTOOR",9261,1690,105099,116050
"ANDHRA PRADESH","CUDDAPAH",2468,602,38502,41572
"ANDHRA PRADESH","EAST GODAVARI",223,33,1904,2160
"ANDHRA PRADESH","GUNTUR",1436,426,11463,13325
"ANDHRA PRADESH","KARIMNAGAR",23334,5661,178626,207621
"ANDHRA PRADESH","KHAMMAM",3089,9940,23383,36412
"ANDHRA PRADESH","KRISHNA",2095,736,13838,16669
"ANDHRA PRADESH","KURNOOL",5314,609,27968,33891
"ANDHRA PRADESH","MAHABOOBNAGAR",9881,7526,73008,90415
"ANDHRA PRADESH","MEDAK",6173,1862,43930,51965
"ANDHRA PRADESH","NALGONDA",9139,10512,88893,108544
"ANDHRA PRADESH","NELLORE",6051,1193,27271,34515
"ANDHRA PRADESH","NIZAMABAD",2069,1212,13539,16820
"ANDHRA PRADESH","PRAKASAM",3842,323,22515,26680
"ANDHRA PRADESH","RANGAREDDY",4168,1747,23875,29790
"ANDHRA PRADESH","SRIKAKULAM",4192,1906,29844,35942
"ANDHRA PRADESH","VISAKHAPATNAM",22255,28,3859,26142
"ANDHRA PRADESH","VIZIANAGARAM",2726,807,31878,35411
"ANDHRA PRADESH","WARANGAL",15457,30429,114091,159977
"ANDHRA PRADESH","WEST GODAVARI",1012,301,9092,10405
"ARUNACHAL PRADESH","CHANGLANG",0,0,0,0
"ARUNACHAL PRADESH","EAST SIANG",0,0,0,0
"ARUNACHAL PRADESH","PAPUMPARE",0,2,0,2
"ASSAM","BARPETA",0,0,23,23
"ASSAM","CACHAR",0,1,0,1
"ASSAM","DHUBRI",0,0,14,14
"ASSAM","GOALPARA",0,9,8,17
"ASSAM","JORHAT",0,2,8,10
"ASSAM","KOKRAJHAR",0,4,0,4
"ASSAM","LAKHIMPUR",1,13,43,57
"ASSAM","MORIGAON",0,12,6,18
"ASSAM","NAGOAN",0,0,1,1
"ASSAM","SIBSAGAR",1,0,2,3
"ASSAM","SONITPUR",0,0,1,1
"BIHAR","AURANGABAD",1398,42,4578,6018
"BIHAR","BANKA",951,801,5549,7301
"BIHAR","BHAGALPUR",642,285,3938,4865
"BIHAR","BHOJPUR",74,31,2443,2548
"BIHAR","BUXAR",37,0,707,744
"BIHAR","EAST CHAMPARAN",0,0,22,22
"BIHAR","GAYA",4210,120,13073,17403
"BIHAR","GOPAALGANJ",233,5,4169,4407
"BIHAR","JAMUI",1390,711,5536,7637
"BIHAR","JEHANABAD",115,21,2268,2404
"BIHAR","KAIMUR (BHABUA)",787,145,7611,8543
"BIHAR","KATIHAR",0,0,15,15
"BIHAR","LAKHISARAI",153,72,909,1134
"BIHAR","MADHEPURA",0,0,3,3
"BIHAR","MADHUBANI",8,0,109,117
"BIHAR","MUNGER",394,163,2683,3240
"BIHAR","MUZAFFARPUR",2,2,94,98
"BIHAR","NALANDA",1505,49,18995,20549
"BIHAR","NAWADA",1123,1163,2713,4999
"BIHAR","PATNA",150,42,4558,4750
"BIHAR","ROHTAS(SASARAM)",656,103,5785,6544
"BIHAR","SARAN",584,68,11238,11890
"BIHAR","SHEKHPURA",67,5,520,592
"BIHAR","SIWAN",632,32,13243,13907
"BIHAR","VAISHALI",20,2,996,1018
"CHHATTISGARH","BASTER",56,2348,1134,3538
"CHHATTISGARH","BILASPUR",456,523,2447,3426
"CHHATTISGARH","DANTEWADA",39,413,85,537
"CHHATTISGARH","DHAMTARI",240,2366,2997,5603
"CHHATTISGARH","DURG",777,1954,5455,8186
"CHHATTISGARH","JANJGIR-CHAMPA",1261,335,2787,4383
"CHHATTISGARH","JASHPUR",401,6033,2313,8747
"CHHATTISGARH","KANKER",269,4149,1227,5645
"CHHATTISGARH","KORBA",150,1264,887,2301
"CHHATTISGARH","KORIA",515,2227,3417,6159
"CHHATTISGARH","KVARDHA",178,148,885,1211
"CHHATTISGARH","MAHASAMUND",413,1653,2685,4751
"CHHATTISGARH","RAIGARH",709,2984,2063,5756
"CHHATTISGARH","RAIPUR",1829,3840,9786,15455
"CHHATTISGARH","RAJNANDGAON",629,2754,4004,7387
"CHHATTISGARH","SURGUJA",794,14690,12226,27710
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",3,478,91,572
"GOA","NORTH GOA",24,4,3345,3373
"GOA","SOUTH GOA",4,0,1334,1338
"GUJARAT","AHMEDABAD",313,140,12732,13185
"GUJARAT","AMRELI",375,146,78830,79351
"GUJARAT","ANAND",24,88,1889,2001
"GUJARAT","BANASKANTHA",2364,4831,43737,50932
"GUJARAT","BHARUCH",79,1004,3821,4904
"GUJARAT","BHAVNAGAR",1793,1538,114658,117989
"GUJARAT","DAHOD",369,22480,9071,31920
"GUJARAT","DANG",8,1371,9,1388
"GUJARAT","GANDHINAGAR",0,0,35,35
"GUJARAT","JAMNAGAR",853,1318,80502,82673
"GUJARAT","JUNAGADH",56111,4433,73176,133720
"GUJARAT","KACHCHH",1549,811,27748,30108
"GUJARAT","KHEDA",348,56,14948,15352
"GUJARAT","MEHSANA",480,21,7203,7704
"GUJARAT","NARMADA",34,2381,346,2761
"GUJARAT","NAVSARI",685,7598,4505,12788
"GUJARAT","PANCHMAHAL",1705,13566,28824,44095
"GUJARAT","PATAN",13,0,79,92
"GUJARAT","PORBANDAR",529,244,20877,21650
"GUJARAT","RAJKOT",4149,342,98980,103471
"GUJARAT","SABARKANTHA",4099,18464,61205,83768
"GUJARAT","SURAT",654,10597,9885,21136
"GUJARAT","SURENDRANAGAR",989,237,34940,36166
"GUJARAT","VADODARA",500,11516,7632,19648
"GUJARAT","VALSAD",87,6017,2350,8454
"HARYANA","AMBALA",7,0,190,197
"HARYANA","BHIWANI",110,39,2854,3003
"HARYANA","FATEHABAD",0,0,65,65
"HARYANA","GURGAON",180,96,4951,5227
"HARYANA","HISSAR",1,1,105,107
"HARYANA","JHAJJAR",7,2,1716,1725
"HARYANA","KAITHAL",55,3,695,753
"HARYANA","KARNAL",5,9,1527,1541
"HARYANA","MAHENDRAGARH",46,1,537,584
"HARYANA","PANCHKULA",6,0,85,91
"HARYANA","PANIPAT",7,7,697,711
"HARYANA","REWARI",144,0,487,631
"HARYANA","ROHTAK",3,3,168,174
"HARYANA","SIRSA",5,3,716,724
"HARYANA","SONEPAT",7,26,1576,1609
"HARYANA","YAMUNANAGAR",43,41,525,609
"HIMACHAL PRADESH","Bilaspur",2,0,32,34
"HIMACHAL PRADESH","Hamirpur",13,2,204,219
"HIMACHAL PRADESH","Kangra",25,3,226,254
"HIMACHAL PRADESH","Kullu",2,0,0,2
"HIMACHAL PRADESH","Mandi",2,0,8,10
"HIMACHAL PRADESH","Sirmaur",26,13,351,390
