-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "TripuraNSDPcurrent.csv", 
 "title": "Download CSV for Tripura Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/TripuraNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004"
"Agriculture","50889","47600","58960","74278","84993","98595","119973","112983","142561","144735","151813"
"Foresty and Logging","4379","4159","5630","5509","6339","6231","6436","6829","7955","8380","8959"
"Fishing","5300","5944","9435","10709","12076","12554","14560","16501","16156","7958","6791"
"Mining and Quarrying","987","771","1178","1372","2587","3820","4271","4771","5000","5491","6235"
"Sub total of primary","61555","58474","75203","91868","105995","121200","145240","141084","171672","166564","173798"
"Manufacturing","5289","5563","6562","6932","8154","6286","8003","19165","14518","11251","12432"
"Manu-Registered","1396","1247","1846","1837","2848","987","2105","12166","7373","4405","5248"
"Manu-Unregistered","3893","4316","4716","5095","5306","5299","5898","6999","7145","6846","7184"
"Construction","10881","16591","20412","25732","32624","41779","41854","77271","84756","95223","117615"
"Electricity, Gas and water Supply","-2905","-4463","-4316","-4659","-5171","-3127","1339","-3421","2109","9904","13779"
"Sub total of secondary","13265","17691","22658","28005","35607","44938","51196","93015","101383","116378","143826"
"Transport Storage and Communication","7329","8406","8607","10135","11593","13110","15191","18517","22462","28187","34070"
"Railways","4","8","-2","11","12","9","15","-3","9","33","39"
"Transport by other means","5817","6747","6687","8141","9141","10475","12894","14044","16089","17802","19364"
"Storage","132","200","219","243","379","425","452","492","514","515","533"
"Communication","1376","1451","1703","1740","2061","2201","1830","3984","5850","9837","14134"
"Trade, hotels and restaurants","27485","27274","34471","43469","57623","59523","69185","75123","84954","90705","96794"
"Banking and Insurance","3648","4004","5084","5949","6710","7325","7542","9835","11055","14203","16656"
"Real estate, ownership of dwelling and business","3456","3617","4022","4232","5456","8980","10827","13624","15759","23748","28909"
"Pubic Administration","20854","22492","25942","31739","38177","45923","57300","64469","75840","79904","87273"
"Other Services","24335","26822","31313","34594","40373","46327","62868","71205","72770","84680","91464"
"Sub total of tertiary","87107","92615","109439","130118","159932","181188","222913","252773","282840","321427","355166"
"State domestic product","161927","168780","207300","249991","301534","347326","419349","486872","555895","604369","672790"

"Figures are in Rs. Lakh"
