-----
{
 "description": "The table refers to Block wise Distribution of Shallow Tubewells according to Average Pumping Hours. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.11.csv", 
 "title": "Download CSV for Blockwise Distribution of Shallow Tubewells according to Average Pumping Hours", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.11.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Avg pumping hours (0-4),Avg pumping hours (4 - 8),Avg pumping hours (8-12),Avg pumping hours (12 -16),Avg pumping hours (16 - 20),Avg pumping hours (20 - 24),Total
ANDHRA PRADESH,ADILABAD,ADILABAD,70,63,29,2,0,40,204
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,90,39,11,0,0,0,140
ANDHRA PRADESH,ADILABAD,BEJJUR,17,0,0,0,0,0,17
ANDHRA PRADESH,ADILABAD,BELA,3,3,0,0,0,0,6
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,3,0,0,0,0,0,3
ANDHRA PRADESH,ADILABAD,BHAINSA,371,1306,95,0,0,0,1772
ANDHRA PRADESH,ADILABAD,BHEEMINI,54,0,0,0,0,0,54
ANDHRA PRADESH,ADILABAD,BOATH,212,369,149,0,0,0,730
ANDHRA PRADESH,ADILABAD,CHENNUR,81,202,4,0,0,0,287
ANDHRA PRADESH,ADILABAD,DAHEGAON,53,0,0,0,0,0,53
ANDHRA PRADESH,ADILABAD,DILAWARPUR,110,981,0,0,0,0,1091
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,104,1,2,0,0,0,107
ANDHRA PRADESH,ADILABAD,ICHODA,252,111,4,0,0,1,368
ANDHRA PRADESH,ADILABAD,INDERAVELLY,58,7,0,0,0,0,65
ANDHRA PRADESH,ADILABAD,JAINAD,58,52,23,2,0,6,141
ANDHRA PRADESH,ADILABAD,JAIPUR,53,61,0,0,0,16,130
ANDHRA PRADESH,ADILABAD,KERAMERI,4,5,0,0,0,0,9
ANDHRA PRADESH,ADILABAD,KOTAPALLE,214,273,3,0,0,0,490
ANDHRA PRADESH,ADILABAD,KOUTHALA,1,31,0,0,0,1,33
ANDHRA PRADESH,ADILABAD,KUBEER,110,477,24,0,0,0,611
ANDHRA PRADESH,ADILABAD,KUNTALA,29,546,715,0,0,0,1290
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,22,135,7,0,0,0,164
ANDHRA PRADESH,ADILABAD,LOHESRA,109,1353,48,0,0,0,1510
ANDHRA PRADESH,ADILABAD,MAMDA,404,470,0,0,0,0,874
ANDHRA PRADESH,ADILABAD,MANCHERIAL,0,14,0,0,0,0,14
ANDHRA PRADESH,ADILABAD,MUDHOLE,118,1181,26,0,0,0,1325
ANDHRA PRADESH,ADILABAD,NARNOOR,28,48,18,0,0,0,94
ANDHRA PRADESH,ADILABAD,NERADIGONDA,120,129,21,0,0,0,270
ANDHRA PRADESH,ADILABAD,NIRMAL,100,334,22,0,0,0,456
ANDHRA PRADESH,ADILABAD,REBBANA,10,0,0,0,0,0,10
ANDHRA PRADESH,ADILABAD,SARANGAPUR,237,1299,92,2,0,0,1630
ANDHRA PRADESH,ADILABAD,TALAMADUGU,138,141,0,0,0,0,279
ANDHRA PRADESH,ADILABAD,TAMSI,112,76,7,0,4,6,205
ANDHRA PRADESH,ADILABAD,TANDUR,1,16,0,0,0,0,17
ANDHRA PRADESH,ADILABAD,TANUR,265,331,0,0,0,0,596
ANDHRA PRADESH,ADILABAD,UTNUR,36,6,0,0,1,0,43
ANDHRA PRADESH,ADILABAD,VEMANPALLE,54,41,9,0,0,0,104
ANDHRA PRADESH,ADILABAD,WANKDI,1,0,0,0,0,0,1
ANDHRA PRADESH,ANANTHAPUR,AGALI,117,593,9,0,2,0,721
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,131,155,0,0,0,0,286
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,17,0,328,0,0,0,345
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,221,82,10,6,3,1,323
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,26,115,8,0,0,0,149
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,25,334,119,8,4,0,490
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,0,531,8,0,0,0,539
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,56,312,192,28,0,0,588
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,106,355,101,2,0,0,564
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,142,0,0,0,0,0,142
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,375,492,180,0,1,0,1048
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,6,685,0,0,0,0,691
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,117,331,81,0,0,0,529
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,903,582,0,0,0,0,1485
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,1,34,267,7,0,0,309
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,86,10,0,0,0,0,96
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,123,802,216,1,2,0,1144
ANDHRA PRADESH,ANANTHAPUR,GOOTY,73,340,0,0,0,0,413
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,341,43,0,0,0,0,384
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,37,14,214,0,0,35,300
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATTA,188,209,178,22,1,0,598
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,90,356,5,0,0,0,451
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,12,121,352,77,1,0,563
ANDHRA PRADESH,ANANTHAPUR,KADIRI,233,33,0,0,0,0,266
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,44,326,54,1,0,0,425
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,65,236,40,5,4,0,350
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,79,114,215,38,38,2,486
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,25,776,182,0,0,0,983
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,302,96,2,0,0,2,402
