-----
{
 "description": "The table refers to Block wise Culturable Command Area and Potential Created through Surface Flow Schemes. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.9.csv", 
 "title": "Download CSV for Blockwise Culturable Command Area and Potential Created through Surface Flow Schemes", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.9.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,1079,667,640,0,0
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,590,463,466,0,0
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,1,1,0,0,0
ANDHRA PRADESH,ANANTHAPUR,NAMBULIPULIKUNTA,504,484,445,0,0
ANDHRA PRADESH,ANANTHAPUR,NARPALA,509,505,112,0,0
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,516,512,505,1,0
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,1525,1528,731,0,0
ANDHRA PRADESH,ANANTHAPUR,PARIGI,2106,2602,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,35,35,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,1093,1012,88,0,0
ANDHRA PRADESH,ANANTHAPUR,PENU KONDA,482,473,42,0,0
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,61,61,61,0,0
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,335,243,255,0,0
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,783,669,380,0,0
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,578,518,118,0,0
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,179,64,204,0,0
ANDHRA PRADESH,ANANTHAPUR,RODDAM,1991,1691,1346,0,0
ANDHRA PRADESH,ANANTHAPUR,ROLLA,724,724,724,0,0
ANDHRA PRADESH,ANANTHAPUR,SETTUR,426,384,49,0,0
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,2819,2454,1821,0,0
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,1762,1560,246,1,0
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,799,799,0,0,0
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,838,716,284,5,0
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,714,714,707,0,0
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,1398,899,936,0,0
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,109,120,0,0,0
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,485,137,348,0,0
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,421,421,0,0,0
