-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to major/medium projects and  average pumping hours . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.11.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to major/medium projects and  Average Pumping Hours for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.11.csv"
}
-----
State,District,Block,On the Maj/Med,Outside Command,Total,Avg pumping hours (0-4),Avg pumping hours (4 - 8),Avg pumping hours (8-12),Avg pumping hours (12 -16),Avg pumping hours (16 - 20),Avg pumping hours (20 - 24),Total
ANDHRA PRADESH,ADILABAD,ADILABAD,0,21,21,21,0,0,0,0,0,21
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,0,62,62,43,11,5,2,1,0,62
ANDHRA PRADESH,ADILABAD,BELA,0,24,24,8,9,5,0,0,2,24
ANDHRA PRADESH,ADILABAD,BHAINSA,0,1081,1081,15,400,606,16,42,2,1081
ANDHRA PRADESH,ADILABAD,BOATH,2,680,682,408,274,0,0,0,0,682
ANDHRA PRADESH,ADILABAD,CHENNUR,1,3,4,3,1,0,0,0,0,4
ANDHRA PRADESH,ADILABAD,DAHEGAON,0,12,12,12,0,0,0,0,0,12
ANDHRA PRADESH,ADILABAD,DILAWARPUR,0,648,648,223,415,9,1,0,0,648
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,0,11,11,1,10,0,0,0,0,11
ANDHRA PRADESH,ADILABAD,ICHODA,0,211,211,41,135,35,0,0,0,211
ANDHRA PRADESH,ADILABAD,JAINAD,0,15,15,6,9,0,0,0,0,15
ANDHRA PRADESH,ADILABAD,JAINOOR,0,2,2,1,1,0,0,0,0,2
ANDHRA PRADESH,ADILABAD,JAIPUR,0,1,1,0,0,1,0,0,0,1
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),0,2,2,2,0,0,0,0,0,2
ANDHRA PRADESH,ADILABAD,KOTAPALLE,1,203,204,111,84,8,0,1,0,204
ANDHRA PRADESH,ADILABAD,KUBEER,0,428,428,195,227,6,0,0,0,428
ANDHRA PRADESH,ADILABAD,KUNTALA,0,736,736,119,470,131,8,8,0,736
ANDHRA PRADESH,ADILABAD,LAHESRA,1,1003,1004,1,326,662,14,1,0,1004
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,0,43,43,22,20,1,0,0,0,43
ANDHRA PRADESH,ADILABAD,MUDHOLE,2,948,950,6,944,0,0,0,0,950
ANDHRA PRADESH,ADILABAD,NARNOOR,0,1,1,0,1,0,0,0,0,1
ANDHRA PRADESH,ADILABAD,NENNAL,0,4,4,2,2,0,0,0,0,4
ANDHRA PRADESH,ADILABAD,NERADIGONDA,0,103,103,57,46,0,0,0,0,103
ANDHRA PRADESH,ADILABAD,NIRMAL,1,125,126,18,106,1,0,0,1,126
ANDHRA PRADESH,ADILABAD,SARANGAPUR,3,542,545,4,352,101,34,50,4,545
ANDHRA PRADESH,ADILABAD,SIRPUR (T),0,12,12,12,0,0,0,0,0,12
ANDHRA PRADESH,ADILABAD,TALAMADUGU,0,81,81,68,13,0,0,0,0,81
ANDHRA PRADESH,ADILABAD,TAMSI,0,55,55,15,27,2,11,0,0,55
ANDHRA PRADESH,ADILABAD,TANUR,0,197,197,69,116,11,1,0,0,197
ANDHRA PRADESH,ANANTHAPUR,AGALI,0,172,172,23,138,11,0,0,0,172
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,0,50,50,41,5,4,0,0,0,50
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,2,223,225,2,1,0,0,0,222,225
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,1,291,292,198,71,10,7,5,1,292
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,4,126,130,10,118,2,0,0,0,130
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,0,311,311,6,103,84,29,35,54,311
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,0,375,375,8,269,87,10,1,0,375
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,105,262,367,18,99,77,94,62,17,367
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,79,238,317,17,162,111,26,1,0,317
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,329,768,1097,237,561,285,3,4,7,1097
ANDHRA PRADESH,ANANTHAPUR,CHENNEKOTHAPALLE,0,142,142,46,91,5,0,0,0,142
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,0,239,239,102,118,19,0,0,0,239
ANDHRA PRADESH,ANANTHAPUR,D.HIREHAL,19,713,732,216,386,25,103,0,2,732
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,0,232,232,30,166,29,7,0,0,232
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,0,37,37,33,1,1,1,0,1,37
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,86,672,758,20,399,247,49,7,36,758
ANDHRA PRADESH,ANANTHAPUR,GOOTY,48,205,253,34,206,13,0,0,0,253
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,0,207,207,189,12,5,0,1,0,207
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,1,175,176,39,47,1,0,0,89,176
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATA,115,349,464,131,160,95,24,8,46,464
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,5,208,213,100,110,1,2,0,0,213
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,16,542,558,12,109,355,78,4,0,558
ANDHRA PRADESH,ANANTHAPUR,KADIRI,0,118,118,94,24,0,0,0,0,118
ANDHRA PRADESH,ANANTHAPUR,KALYANDRUG,0,421,421,34,308,61,16,2,0,421
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,0,294,294,98,168,17,9,2,0,294
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,16,231,247,42,63,72,20,36,14,247
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,315,476,791,5,80,624,46,32,4,791
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,0,95,95,63,32,0,0,0,0,95
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,0,347,347,39,307,1,0,0,0,347
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,0,101,101,50,42,9,0,0,0,101
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,1,590,591,24,125,365,65,12,0,591
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,1,312,313,59,219,33,2,0,0,313
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,0,151,151,1,150,0,0,0,0,151
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,0,185,185,69,116,0,0,0,0,185
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,1,144,145,112,24,9,0,0,0,145
ANDHRA PRADESH,ANANTHAPUR,NAMBULAPULIKUNTA,0,67,67,33,26,8,0,0,0,67
ANDHRA PRADESH,ANANTHAPUR,NARPALA,30,344,374,155,219,0,0,0,0,374
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,0,63,63,13,49,1,0,0,0,63
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,53,554,607,323,237,42,3,2,0,607
ANDHRA PRADESH,ANANTHAPUR,PARIGI,1,558,559,21,234,184,119,1,0,559
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,10,1403,1413,26,1344,41,2,0,0,1413
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,0,277,277,42,215,18,2,0,0,277
ANDHRA PRADESH,ANANTHAPUR,PENUKONDA,0,235,235,53,162,20,0,0,0,235
