-----
{
 "description": "The table refers to Block wise Distribution of Deep Tubewells according to Average Pumping Hours. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwldistr3.10.csv", 
 "title": "Download CSV for Blockwise Distribution of Deep Tubewells according to Average Pumping Hours", 
 "url": "http://data.gov.in/sites/default/files/dptbwldistr3.10.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Avg pumping hours (0-4),Avg pumping hours (4 - 8),Avg pumping hours (8-12),Avg pumping hours (12 -16),Avg pumping hours (16 - 20),Avg pumping hours (20 - 24),Total
ANDHRA PRADESH,ADILABAD,CHENNUR,9,11,0,0,0,0,20
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,3,0,0,0,0,0,3
ANDHRA PRADESH,ADILABAD,JAIPUR,9,0,7,0,0,1,17
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,25,0,0,0,0,0,25
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,1,0,1,0,0,0,2
ANDHRA PRADESH,ADILABAD,SIRPUR (T),0,0,1,0,0,0,1
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,1,559,1,0,0,0,561
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,691,137,0,0,0,0,828
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,53,253,32,0,0,0,338
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,284,330,8,0,0,0,622
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,55,115,0,0,0,0,170
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,29,16,31,0,0,0,76
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,23,73,4,0,0,0,100
ANDHRA PRADESH,CHITTOOR,CHITTOOR,228,184,2,0,0,0,414
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,453,142,0,1,0,0,596
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,586,708,2,0,0,0,1296
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,318,653,58,0,0,0,1029
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,0,437,73,0,0,0,510
ANDHRA PRADESH,CHITTOOR,GUDIPALA,53,226,8,0,0,0,287
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,212,499,109,3,0,0,823
ANDHRA PRADESH,CHITTOOR,IRALA,16,519,230,8,1,0,774
ANDHRA PRADESH,CHITTOOR,K V P PURAM,32,45,5,0,0,0,82
ANDHRA PRADESH,CHITTOOR,KALAKADA,86,55,2,0,0,0,143
ANDHRA PRADESH,CHITTOOR,KALIKIRI,2,19,0,0,0,0,21
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,2,241,0,0,0,0,243
ANDHRA PRADESH,CHITTOOR,KUPPAM,9,1186,199,0,0,0,1394
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,206,388,0,0,0,0,594
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,352,165,192,1,1,0,711
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,129,262,13,0,0,0,404
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,193,210,50,0,0,0,453
ANDHRA PRADESH,CHITTOOR,PAKALA,0,0,2,0,0,0,2
ANDHRA PRADESH,CHITTOOR,PALAMANER,149,217,8,1,0,0,375
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,42,112,32,0,0,0,186
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,205,353,221,2,0,0,781
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,24,376,3,0,0,0,403
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,79,108,968,0,0,0,1155
ANDHRA PRADESH,CHITTOOR,PENUMURU,212,659,148,0,0,0,1019
ANDHRA PRADESH,CHITTOOR,PICHATUR,0,45,21,0,0,0,66
ANDHRA PRADESH,CHITTOOR,PILERU,124,299,2,0,0,0,425
ANDHRA PRADESH,CHITTOOR,PULICHERLA,353,442,87,0,0,0,882
ANDHRA PRADESH,CHITTOOR,PUNGANUR,291,888,309,0,0,0,1488
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,18,77,12,0,0,0,107
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,111,64,2,0,0,0,177
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,386,706,116,0,0,0,1208
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,43,152,658,0,0,0,853
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,297,1097,0,0,0,0,1394
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,0,65,0,0,0,0,65
ANDHRA PRADESH,CHITTOOR,SODAM,237,294,145,0,0,0,676
ANDHRA PRADESH,CHITTOOR,SOMALA,281,338,21,0,0,0,640
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,10,3,0,0,0,0,13
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,4,46,21,0,0,0,71
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,148,319,1,0,0,0,468
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,148,1551,47,0,0,0,1746
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,0,0,1,0,0,0,1
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,2,3,0,0,0,0,5
ANDHRA PRADESH,CHITTOOR,VAYALPAD,64,244,420,0,0,0,728
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,6,169,20,0,0,0,195
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,261,760,32,0,1,0,1054
ANDHRA PRADESH,CHITTOOR,YADAMARI,31,516,146,0,0,0,693
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,9,138,2,0,0,0,149
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,30,551,14,0,0,0,595
ANDHRA PRADESH,CUDDAPAH,ATLUR,306,239,1,0,1,0,547
ANDHRA PRADESH,CUDDAPAH,B KODUR,393,89,1,0,0,0,483
ANDHRA PRADESH,CUDDAPAH,BADVEL,194,163,66,0,0,0,423
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,301,490,19,40,0,0,850
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,46,52,0,0,0,0,98
ANDHRA PRADESH,CUDDAPAH,CHENNUR,0,0,31,0,0,0,31
