-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "AndamanGSDPcurrent.csv", 
 "title": "Download CSV for A &amp; N Islands Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/AndamanGSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003"
"Agriculture","12979","13671","15031","17338","17985","18452","17985","19711","24768","32717"
"Foresty and Logging","4637","4943","5073","5269","4246","4375","3917","3344","841","557"
"Fishing","3781","5021","6266","6093","8338","7232","7318","8702","8588","9458"
"Mining and Quarrying","139","155","647","251","226","245","524","635","1835","1202"
"Sub total of primary","21536","23790","27017","28951","30795","30304","29744","32392","36032","43934"
"Manufacturing","4146","5463","5719","7520","7783","4844","4890","2398","2933","2810"
"Manu-Registered","2619","3720","3522","5119","5044","2111","2130","769","530","291"
"Manu-Unregistered","1527","1743","2197","2401","2739","2733","2760","1629","2403","2519"
"Construction","5847","9788","10143","11491","14514","12612","16907","19140","22747","20793"
"Electricity, Gas and water Supply","114","-213","-37","1359","677","-1782","-2580","-3060","-4459","-3988"
"Sub total of secondary","10107","15038","15825","20370","22974","15674","19217","18478","21221","19615"
"Transport Storage and Communication","2912","4149","3199","3238","3867","2197","3163","-2095","-3090","8167"
"Railways","0","0","0","0","0","0","0","0","0","0"
"Transport by other means","2589","3765","2747","2725","3174","1374","2312","-3034","-4066","-2733"
"Storage","0","0","0","0","0","0","0","0","0","0"
"Communication","323","384","452","513","693","823","851","939","976","1002"
"Trade, hotels and restaurants","5027","5851","7033","8324","9079","9543","10460","9120","9589","9898"
"Banking and Insurance","724","770","999","1988","1479","1704","1749","1960","2180","2631"
"Real estate, ownership of dwelling and business","1784","1974","2266","2609","2964","3326","3859","4730","5853","6483"
"Pubic Administration","4969","5195","6024","6992","10150","12564","13967","15256","16686","16353"
"Other Services","3810","4515","5134","6211","8381","9622","12635","15750","15044","17382"
"Sub total of tertiary","19226","22454","24655","29362","35920","38956","45833","44721","46262","51016"
"State domestic product","50869","61282","67497","78683","89689","84934","94794","95590","103515","113321"

"Figures are in Rs. Lakh"
