-----
{
 "description": "The table refers to District wise Deep Tubewells according to Water Distribution System. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwlstate3.7.csv", 
 "title": "Download CSV for Districtwise Deep Tubewells according to Water Distribution System", 
 "url": "http://data.gov.in/sites/default/files/dptbwlstate3.7.csv"
}
-----
"State","District","Sprinkler","Drip Irrigation","Open channel","Under ground channel","Others","Total"
"UTTAR PRADESH","BASTI",1,2,435,47,0,485
"UTTAR PRADESH","BIJNOR",0,0,636,0,0,636
"UTTAR PRADESH","BUDAUN",17,6,668,221,6,918
"UTTAR PRADESH","BULAND SAHAR",8,1,275,40,3,327
"UTTAR PRADESH","CHANDAULI",0,0,191,34,0,225
"UTTAR PRADESH","CHITRAKOOT",10,1,90,6,37,144
"UTTAR PRADESH","DEORIA",1,9,646,195,3,854
"UTTAR PRADESH","ETAH",3,1,642,0,0,646
"UTTAR PRADESH","ETAWAH",0,0,126,391,0,517
"UTTAR PRADESH","FAIZABAD",13,0,432,115,0,560
"UTTAR PRADESH","FARRUKHABAD",11,0,155,125,0,291
"UTTAR PRADESH","FATEHPUR",23,20,504,59,12,618
"UTTAR PRADESH","FIROZABAD",4,3,234,21,1,263
"UTTAR PRADESH","GAUTAM BUDHA NAGAR",2,0,86,44,0,132
"UTTAR PRADESH","GHAZIABAD",4,1,177,20,0,202
"UTTAR PRADESH","GHAZIPUR",24,0,374,369,0,767
"UTTAR PRADESH","GONDA",3,0,299,131,0,433
"UTTAR PRADESH","GORAKHPUR",12,6,623,338,8,987
"UTTAR PRADESH","HAMIRPUR",12,6,568,183,8,777
"UTTAR PRADESH","HARDOI",0,0,551,0,0,551
"UTTAR PRADESH","HATHRAS",2,0,119,11,0,132
"UTTAR PRADESH","JALAUN",85,9,1350,149,20,1613
"UTTAR PRADESH","JAUNPUR",0,0,395,120,0,515
"UTTAR PRADESH","JHANSI",25,22,218,24,29,318
"UTTAR PRADESH","JYOTIBA PHULENAGAR",8,1,287,91,0,387
"UTTAR PRADESH","KANNAUJ",10,0,116,85,0,211
"UTTAR PRADESH","KANPUR DEHAT",31,18,1031,100,46,1226
"UTTAR PRADESH","KANPUR NAGAR",28,3,836,51,1,919
"UTTAR PRADESH","KAUSHAMBI",0,9,203,71,3,286
"UTTAR PRADESH","KHERI",44,9,454,248,0,755
"UTTAR PRADESH","KUSHINAGAR",0,2,130,10,0,142
"UTTAR PRADESH","LALITPUR",0,0,72,12,0,84
"UTTAR PRADESH","LUCKNOW",11,2,297,60,11,381
"UTTAR PRADESH","MAHARAJ GANJ",3,2,86,124,1,216
"UTTAR PRADESH","MAHOBA",0,0,28,0,0,28
"UTTAR PRADESH","MAINPURI",2,0,110,213,2,327
"UTTAR PRADESH","MATHURA",0,0,38,0,0,38
"UTTAR PRADESH","MAU",10,0,155,108,0,273
"UTTAR PRADESH","MEERUT",0,2,333,8,9,352
"UTTAR PRADESH","MIRZAPUR",8,2,330,142,0,482
"UTTAR PRADESH","MORADABAD",50,19,1020,153,0,1242
"UTTAR PRADESH","MUZZAFARNAGAR",0,0,439,52,12,503
"UTTAR PRADESH","PILIBHIT",1,2,32,91,0,126
"UTTAR PRADESH","PRATAPGARH",3,0,72,20,0,95
"UTTAR PRADESH","RAEBARELI",12,0,192,186,0,390
"UTTAR PRADESH","RAMPUR",8,5,677,77,0,767
"UTTAR PRADESH","SAHARANPUR",2,2,523,72,0,599
"UTTAR PRADESH","SANT KABIR NAGAR",8,7,231,77,35,358
"UTTAR PRADESH","SANT RAVI DAS NAGAR",3,2,432,46,0,483
"UTTAR PRADESH","SHAHJAHANPUR",0,0,458,0,0,458
"UTTAR PRADESH","SHRAWASTI",1,1,172,46,0,220
"UTTAR PRADESH","SIDDHARTH NAGAR",3,0,87,205,1,296
"UTTAR PRADESH","SITAPUR",0,0,699,0,0,699
"UTTAR PRADESH","SONBHADRA",2,0,23,5,0,30
"UTTAR PRADESH","SULTANPUR",46,10,469,254,0,779
"UTTAR PRADESH","UNNAO",1,0,137,30,0,168
"UTTAR PRADESH","VARANASI",12,4,646,134,4,800
"UTTARANCHAL","CHAMPAWAT",0,0,6,0,0,6
"UTTARANCHAL","DEHRA DUN",0,0,68,11,0,79
"UTTARANCHAL","HARIDWAR",1,0,187,26,0,214
"UTTARANCHAL","NAINITAL",0,5,114,48,2,169
"UTTARANCHAL","PAURI",0,0,12,3,0,15
"UTTARANCHAL","UDHAM SINGH NAGAR",3,15,281,100,1,400
"WEST BENGAL","BANKURA",0,0,11,149,0,160
"WEST BENGAL","BIRBHUM",0,0,11,114,0,125
"WEST BENGAL","BURDWAN",0,0,48,578,0,626
"WEST BENGAL","COOCHBEHAR",0,0,3,63,0,66
"WEST BENGAL","DAKSHIN DINAJPUR",0,0,9,141,0,150
"WEST BENGAL","DARJEELING",0,0,0,38,0,38
"WEST BENGAL","HAORA",0,0,8,175,0,183
"WEST BENGAL","HOOGHLY",0,0,45,482,0,527
"WEST BENGAL","JALPAIGURI",0,0,29,206,0,235
"WEST BENGAL","MALDA",0,0,42,331,0,373
"WEST BENGAL","MIDNAPORE",0,0,255,517,1,773
"WEST BENGAL","MURSHIDABAD",0,0,85,503,0,588
"WEST BENGAL","NADIA",0,0,120,637,0,757
"WEST BENGAL","NORTH 24 PARGANAS",0,0,82,245,0,327
"WEST BENGAL","SOUTH 24 PARGANAS",0,0,2,27,0,29
"WEST BENGAL","UTTAR DINAJPUR",0,0,9,173,0,182
