-----
{
 "description": "The major objectives of the RMSA are to (i) raise the minimum level of education to class X and universalize access to secondary education; (ii) ensure good quality secondary education with focus on Science, Mathematics, and English; and (iii) reduce the gender, social, and regional gaps in ...", 
 "file_name": "Data_E.xls", 
 "title": "Download XLS for Rashtriya Madhyamik Shiksha Abhiyan ( RMSA), Achievement In The Eleventh Plan", 
 "url": "http://data.gov.in/sites/default/files/Data_E.xls"
}
-----
"Items","Target","Achievement (Approved)"
"Sanction of New schools",11188.0,9636.0
"Strengthening of existing Schools",44000.0,34311.0
"Additional Classrooms",88500.0,49356.0
"Additional Teachers",179000.0,59000.0
"Annual Grants to Schools",75394.0,75394.0
"Minor Repair to Schools",62221.0,62221.0
