-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells according to Social status. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.4.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells according to Social status", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.4.csv"
}
-----
"State","District","Scheduled caste","Scheduled tribe","Other social status of farmers","Total"
"ANDHRA PRADESH","ADILABAD",1600,1596,11982,15178
"ANDHRA PRADESH","ANANTHAPUR",1309,552,31944,33805
"ANDHRA PRADESH","CHITTOOR",993,263,17753,19009
"ANDHRA PRADESH","CUDDAPAH",931,164,15924,17019
"ANDHRA PRADESH","EAST GODAVARI",1634,181,21580,23395
"ANDHRA PRADESH","GUNTUR",1848,714,16582,19144
"ANDHRA PRADESH","KARIMNAGAR",1750,1231,14424,17405
"ANDHRA PRADESH","KHAMMAM",389,1066,6142,7597
"ANDHRA PRADESH","KRISHNA",678,66,14296,15040
"ANDHRA PRADESH","KURNOOL",829,373,14698,15900
"ANDHRA PRADESH","MAHABOOBNAGAR",5814,7538,63246,76598
"ANDHRA PRADESH","MEDAK",7659,4791,75937,88387
"ANDHRA PRADESH","NALGONDA",3476,4427,47553,55456
"ANDHRA PRADESH","NELLORE",3435,563,25964,29962
"ANDHRA PRADESH","NIZAMABAD",9407,7633,79651,96691
"ANDHRA PRADESH","PRAKASAM",1239,576,19823,21638
"ANDHRA PRADESH","RANGAREDDY",3451,2297,30112,35860
"ANDHRA PRADESH","SRIKAKULAM",469,73,5791,6333
"ANDHRA PRADESH","VISAKHAPATNAM",7003,6,378,7387
"ANDHRA PRADESH","VIZIANAGARAM",290,142,5091,5523
"ANDHRA PRADESH","WARANGAL",2471,3841,22647,28959
"ANDHRA PRADESH","WEST GODAVARI",711,556,14602,15869
"ASSAM","BARPETA",522,946,8314,9782
"ASSAM","BONGAIGAON",464,1096,4713,6273
"ASSAM","DARRANG",403,921,4546,5870
"ASSAM","DHEMAJI",72,526,504,1102
"ASSAM","DHUBRI",219,311,9276,9806
"ASSAM","DIBRUGARH",163,465,3540,4168
"ASSAM","GOALPARA",84,346,2122,2552
"ASSAM","GOLAGHAT",155,591,2475,3221
"ASSAM","HAILAKANDI",0,0,0,0
"ASSAM","JORHAT",121,325,1258,1704
"ASSAM","KAMRUP",1115,591,5260,6966
"ASSAM","KARBIANGLONG",0,58,7,65
"ASSAM","KARIMGANJ",0,0,4,4
"ASSAM","KOKRAJHAR",97,888,1486,2471
"ASSAM","LAKHIMPUR",84,223,770,1077
"ASSAM","MORIGAON",400,1535,3542,5477
"ASSAM","NAGOAN",569,453,5636,6658
"ASSAM","NALBARI",300,439,2571,3310
"ASSAM","SIBSAGAR",57,123,1860,2040
"ASSAM","SONITPUR",220,218,2270,2708
"ASSAM","TINSUKIA",59,295,1911,2265
"BIHAR","ARARIA",1280,283,12089,13652
"BIHAR","AURANGABAD",851,33,7695,8579
"BIHAR","BANKA",246,87,5173,5506
"BIHAR","BEGUSARAI",1615,55,19420,21090
"BIHAR","BHAGALPUR",413,442,11041,11896
"BIHAR","BHOJPUR",1164,251,16877,18292
"BIHAR","BUXAR",587,212,12983,13782
"BIHAR","DARBHANGA",941,59,11569,12569
"BIHAR","EAST CHAMPARAN",2626,289,31987,34902
"BIHAR","GAYA",2550,84,21999,24633
"BIHAR","GOPAALGANJ",1475,90,19673,21238
"BIHAR","JAMUI",255,7,3696,3958
"BIHAR","JEHANABAD",1586,153,18055,19794
"BIHAR","KAIMUR (BHABUA)",929,54,11680,12663
"BIHAR","KATIHAR",821,1645,31681,34147
"BIHAR","KHAGARIA",775,66,13239,14080
"BIHAR","KISHANGANJ",352,319,9761,10432
