-----
{
 "description": "This data provides details of Hon\u2019ble Members of the Tenth Lok Sabha from 20th June 1991 to 10th May 1996. It consists of name of members, constituency name, state name and party name.", 
 "file_name": "Members_of_Tenth_Lok_Sabha_From_20th_June_1991_to_10th_May_1996.xls", 
 "title": "Download XLS for Members of Tenth Lok Sabha from 20th June 1991 to 10th May 1996", 
 "url": "http://data.gov.in/sites/default/files/Members_of_Tenth_Lok_Sabha_From_20th_June_1991_to_10th_May_1996.xls"
}
-----
"Lok Sabha","Member Name","Gender","Constituency Name","State Name","Party Name"
"Tenth Lok Sabha","Prof. (Smt.) Malini Bhattacharya","Female","Jadavpur                                                                                            ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Tenth Lok Sabha","Shri Nani Bhattacharya","Male","Berhampore                                                                                          ","West Bengal                                                 ","Revolutionary Socialist Party"
"Tenth Lok Sabha","Dr. Krupasindhu Bhoi","Male","Sambalpur                                                                                           ","Odisha                                                      ","Congress (I)"
"Tenth Lok Sabha","Shri Tejsingh Rao Raje Laxman Rao Bhonsle","Male","Ramtek                                                                                              ","Maharashtra                                                 ","Congress (I)"
"Tenth Lok Sabha","Shri Prataprao Baburao Bhosale","Male","Satara                                                                                              ","Maharashtra                                                 ","Congress (I)"
"Tenth Lok Sabha","Shri Vijaya Kumar Raju Bhupathiraju","Male","Narsapur                                                                                            ","Andhra Pradesh                                              ","T.D.(V)"
"Tenth Lok Sabha","Shri Dileep Singh Bhuria","Male","Jhabua-ST                                                                                           ","Madhya Pradesh                                              ","Congress (I)"
"Tenth Lok Sabha","Maharani   Bibhu Kumari Devi","Female","Tripura East-ST                                                                                     ","Tripura                                                     ","Congress (I)"
"Tenth Lok Sabha","Shri   Birbal Ram","Male","Ganganagar-SC                                                                                       ","Rajasthan                                                   ","Congress (I)"
"Tenth Lok Sabha","Sardar Jagmeet Singh Brar","Male","Faridkot                                                                                            ","Punjab                                                      ","Congress (I)"
"Tenth Lok Sabha","Shri Satyendra Nath Brohmo Chaudhury","Male","Kokrajhar-ST                                                                                        ","Assam                                                       ","Independent"
"Tenth Lok Sabha","Sardar  Buta Singh","Male","Jalore-SC                                                                                           ","Rajasthan                                                   ","Congress (I)"
"Tenth Lok Sabha","Shri P.C. Chacko","Male","Trichur                                                                                             ","Kerala                                                      ","Congress (I)"
"Tenth Lok Sabha","Shri Susanta Chakraborty","Male","Howrah                                                                                              ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Tenth Lok Sabha","Shri Kirip Chaliha","Male","Guwahati                                                                                            ","Assam                                                       ","Congress (I)"
"Tenth Lok Sabha","Shri  Chandra Shekhar","Male","Ballia                                                                                              ","Uttar Pradesh                                               ","Janata Party"
"Tenth Lok Sabha","Shri Chandulal Chandrakar","Male","Durg                                                                                                ","Madhya Pradesh                                              ","Congress (I)"
"Tenth Lok Sabha","Smt. Maragatham Chandrasekhar","Female","Sriperumbudur-SC                                                                                    ","Tamil Nadu                                                  ","Congress (I)"
"Tenth Lok Sabha","Shri A. Charles","Male","Thiruvananthapuram                                                                                  ","Kerala                                                      ","Congress (I)"
"Tenth Lok Sabha","Shri Nirmal Kanti Chatterjee","Male","Dumdum                                                                                              ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Tenth Lok Sabha","Shri Somnath Chatterjee","Male","Bolpur                                                                                              ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Tenth Lok Sabha","Shri Manphool Singh  Bhadu Chaudhary","Male","Bikaner                                                                                             ","Rajasthan                                                   ","Congress (I)"
"Tenth Lok Sabha","Shri Pankaj Chaudhary","Male","Maharajganj                                                                                         ","Uttar Pradesh                                               ","Bharatiya Janata Party"
"Tenth Lok Sabha","Shri Ram Prakash Chaudhary","Male","Ambala-SC                                                                                           ","Haryana                                                     ","Congress (I)"
"Tenth Lok Sabha","Shri Rudrasen Chaudhary","Male","Bahraich                                                                                            ","Uttar Pradesh                                               ","Bharatiya Janata Party"
"Tenth Lok Sabha","Sqn.Ldr.(Retd.) Kamal Chaudhry","Male","Hoshiarpur                                                                                          ","Punjab                                                      ","Congress (I)"
"Tenth Lok Sabha","Shri Chetan Chauhan","Male","Amroha                                                                                              ","Uttar Pradesh                                               ","Bharatiya Janata Party"
"Tenth Lok Sabha","Shri Bapu Hari Chaure","MALE","Dhule-ST                                                                                            ","Maharashtra                                                 ","Congress (I)"
"Tenth Lok Sabha","Shri Prithviraj D. Chavan","Male","Karad                                                                                               ","Maharashtra                                                 ","Congress (I)"
"Tenth Lok Sabha","Shri Harisinh Pratapsinh Chavda","Male","Banaskantha                                                                                         ","Gujarat                                                     ","Bharatiya Janata Party"
"Tenth Lok Sabha","Shri Ishwarbhai Khodabhai Chavda","Male","Anand                                                                                               ","Gujarat                                                     ","Congress (I)"
"Tenth Lok Sabha","Shri Ramesh Chennithala","Male","Kottayam                                                                                            ","Kerala                                                      ","Congress (I)"
"Tenth Lok Sabha","Shri Sartaj Singh Chhatwal","Male","Hoshangabad                                                                                         ","Madhya Pradesh                                              ","Bharatiya Janata Party"
"Tenth Lok Sabha","Shri   Chhotey Lal","Male","Mohanlalganj-SC                                                                                     ","Uttar Pradesh                                               ","Bharatiya Janata Party"
"Tenth Lok Sabha","Shri Palaniappan Chidambaram","Male","Sivaganga                                                                                           ","Tamil Nadu                                                  ","Congress (I)"
"Tenth Lok Sabha","Smt. Bhavna Devraj Chikhalia","Female","Junagadh                                                                                            ","Gujarat                                                     ","Bharatiya Janata Party"
"Tenth Lok Sabha","Swami  Chinmayanand","Male","Budaun                                                                                              ","Uttar Pradesh                                               ","Bharatiya Janata Party"
"Tenth Lok Sabha","Dr.  Chinta Mohan","Male","Tirupathi-SC                                                                                        ","Andhra Pradesh                                              ","Congress (I)"
"Tenth Lok Sabha","Dr. K.V.R. Choudhary","Male","Rajahmundry                                                                                         ","Andhra Pradesh                                              ","T.D.(V)"
"Tenth Lok Sabha","Shri Lokanath Choudhary","Male","Jagatsinghpur                                                                                       ","Odisha                                                      ","Communist Party of India"
"Tenth Lok Sabha","Shri Ram Tahal Choudhary","Male","Ranchi                                                                                              ","Bihar                                                       ","Bharatiya Janata Party"
"Tenth Lok Sabha","Shri A.B.A. Ghani Khan Choudhury","Male","Malda                                                                                               ","West Bengal                                                 ","Congress (I)"
"Tenth Lok Sabha","Shri Narain Singh Choudhury","Male","Hissar                                                                                              ","Haryana                                                     ","Congress (I)"
"Tenth Lok Sabha","Shri Saifuddin Choudhury","Male","Katwa                                                                                               ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Tenth Lok Sabha","Shri Shivraj Singh Chouhan","Male","Vidisha                                                                                             ","Madhya Pradesh                                              ","Bharatiya Janata Party"
"Tenth Lok Sabha","Smt. Santosh Chowdhary","Female","Phillaur-SC                                                                                         ","Punjab                                                      ","Congress (I)"
"Tenth Lok Sabha","Shri Gurcharan Singh Dadhahoor","Male","Sangrur                                                                                             ","Punjab                                                      ","Congress (I)"
"Tenth Lok Sabha","Shri   Dalbir Singh","Male","Shahdol-ST                                                                                          ","Madhya Pradesh                                              ","Congress (I)"
