-----
{
 "description": "This table contains data related to Production and Value of Minerals  covered under Mineral Conservation & Development Rules during 2007-08 to 2011-12", 
 "file_name": "MineralState5YearProdValF.xls", 
 "title": "Download XLS for Production and Value of  Minerals during 2007-08 to 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/MineralState5YearProdValF.xls"
}
-----
"Produaction and Value for MCDR Minerals during 2007-08 to 2011-12","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","Unit","Quantity 2007-08","Value 2007-08","Quantity 2008-09","Value 2008-09","Quantity 2009-10","Value 2009-10","Quantity 2010-11","Value 2010-11","Quantity 2011-12 (P)","Value 2011-12 (P)"
"BAUXITE","CHHATTISGARH","TONNE",1793819.0,708262.0,1674427.0,557371.0,1687069.0,607911.0,2109949.0,777273.0,2365304.0,1268221.0
"BAUXITE","GOA","TONNE",129259.0,9694.0,463150.0,34736.0,31050.0,3105.0,100900.0,10090.0,84700.0,8470.0
"BAUXITE","GUJARAT","TONNE",11922675.0,2272525.0,3514016.0,897680.0,2687306.0,667424.0,938574.0,570664.0,843497.0,430400.0
"BAUXITE","JHARKHAND","TONNE",1249605.0,406395.0,1585356.0,552684.0,1670577.0,673016.0,1855993.0,627327.0,1830850.0,692085.0
"BAUXITE","KARNATAKA","TONNE",161529.0,31875.0,127830.0,24418.0,123316.0,32748.0,64643.0,11348.0,83019.0,20157.0
"BAUXITE","MADHYA PRADESH","TONNE",533664.0,158624.0,1037724.0,376581.0,1056847.0,365097.0,616319.0,262437.0,617146.0,205571.0
"BAUXITE","MAHARASHTRA","TONNE",1805366.0,565635.0,2053512.0,625275.0,1985006.0,628556.0,2133736.0,549201.0,1937898.0,505268.0
"BAUXITE","ORISSA","TONNE",4685998.0,1486174.0,4734421.0,1591786.0,4879580.0,1909188.0,4856808.0,2305022.0,5045888.0,2372555.0
"BAUXITE","TAMIL NADU","TONNE",343045.0,44682.0,269766.0,42690.0,3342.0,852.0,45898.0,8789.0,69092.0,17305.0
