-----
{
 "description": "The table refers to District wise Construction of Shallow Tubewells over the years. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.1.csv", 
 "title": "Download CSV for Districtwise Construction of Shallow Tubewells over the years", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.1.csv"
}
-----
"State","District","Upto 1993-94","During 1994-95","During 1995-96","During 1996-97","During 1997-98","During 1998-99","During 1999-00","During 2000-01","Total (1994-01)"
"UTTAR PRADESH","GONDA",23955,10414,8440,12265,12987,9967,8527,6250,92805
"UTTAR PRADESH","GORAKHPUR",37113,10042,8593,6905,5061,3670,2525,2699,76608
"UTTAR PRADESH","HAMIRPUR",3140,1684,1541,1312,1163,846,440,363,10489
"UTTAR PRADESH","HARDOI",36458,5143,5368,4685,3741,3648,2576,3558,65177
"UTTAR PRADESH","HATHRAS",15322,3882,3239,2342,2230,1683,872,914,30484
"UTTAR PRADESH","JALAUN",2938,1086,1275,1171,928,847,611,714,9570
"UTTAR PRADESH","JAUNPUR",50647,8015,6411,4165,2522,1716,1080,1326,75882
"UTTAR PRADESH","JHANSI",4864,1500,1092,636,405,361,267,233,9358
"UTTAR PRADESH","JYOTIBA PHULENAGAR",20874,12909,9566,9036,7275,5831,2788,1405,69684
"UTTAR PRADESH","KANNAUJ",13404,3005,2415,1877,1970,1245,1160,1737,26813
"UTTAR PRADESH","KANPUR DEHAT",12579,3617,2795,2272,1708,1339,869,1111,26290
"UTTAR PRADESH","KANPUR NAGAR",14888,3162,2622,2085,1713,1228,904,1093,27695
"UTTAR PRADESH","KAUSHAMBI",7497,2072,1459,1037,809,557,438,375,14244
"UTTAR PRADESH","KHERI",39320,14552,13059,10426,8335,6322,4028,3704,99746
"UTTAR PRADESH","KUSHINAGAR",15120,5753,5676,5049,4146,3199,2018,1746,42707
"UTTAR PRADESH","LALITPUR",695,133,50,32,14,12,1,0,937
"UTTAR PRADESH","LUCKNOW",14380,3893,3984,2711,1681,1378,1066,2873,31966
"UTTAR PRADESH","MAHARAJ GANJ",24371,8436,7761,7382,5373,4056,2902,2092,62373
"UTTAR PRADESH","MAHOBA",138,51,94,101,126,84,71,88,753
"UTTAR PRADESH","MAINPURI",21018,8281,8392,5860,4303,3356,2227,4547,57984
"UTTAR PRADESH","MATHURA",20479,8174,7001,6204,4348,3198,2104,2978,54486
"UTTAR PRADESH","MAU",16635,3669,3158,2466,1557,1142,873,1223,30723
"UTTAR PRADESH","MEERUT",32088,5703,4409,3165,2138,1551,1183,1608,51845
