-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "KarnatakaNSDPcurrent.csv", 
 "title": "Download CSV for Karnataka Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/KarnatakaNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","1283946","1407432","1610262","1818054","1822837","2232184","2420588","2597137","2122804","2074026","1788917","2118712"
"Foresty and Logging","87932","99975","100391","125069","139979","154804","156563","164758","178223","171088","183178","194896"
"Fishing","14395","26810","32387","53376","50969","47685","52856","51871","48287","58428","47974","52783"
"Mining and Quarrying","22661","23877","27040","33289","45300","34159","40134","45436","55178","61500","85262","109635"
"Sub total of primary","1408934","1558094","1770080","2029788","2059085","2468832","2670141","2859202","2404492","2365042","2105331","2476026"
"Manufacturing","650282","800832","867509","966598","1074908","1350107","1212944","1250407","1421855","1683933","2008250","2175091"
"Registered","395685","506240","530415","593880","667308","884640","710295","683740","858800","999600","1283635","1398254"
"Unregistered","254597","294592","337094","372718","407600","465467","502649","566667","563055","684333","724615","776837"
"Construction","199081","221442","288115","344239","435565","535470","602914","634831","688366","776819","871746","929782"
"Electricity, Gas and water Supply","38205","51819","53806","55217","63069","109588","101343","131155","155894","140085","135308","134567"
"Sub total of secondary","887568","1074093","1209430","1366054","1573542","1995165","1917201","2016393","2266115","2600837","3015304","3239440"
"Transport Storage and Communication","116276","140658","178211","240690","305930","367223","450075","478564","523655","569741","677632","780130"
"Railways","6274","6962","9518","19872","12182","13699","19434","21310","31245","40802","39693","44672"
"Transport by other means","49665","59704","74363","103757","150682","189207","238672","263760","303080","347629","405455","450672"
"Storage","625","724","877","1009","1232","1429","1805","2309","3261","2713","2665","2728"
"Communication","59712","73268","93453","116052","141834","162888","190164","191185","186069","178597","229819","282058"
"Trade, hotels and restaurants","437370","555999","668487","812680","901012","1152331","1183272","1400261","1542117","1707376","1895961","2159492"
"Banking and Insurance","187275","232090","306426","333133","409764","417331","509373","569459","665821","821988","917175","1049364"
"Real estate, ownership of dwelling and business","241199","269752","300092","348944","406188","472594","556631","711428","784871","884312","1139967","1438820"
"Pubic Administration","153984","167655","204815","230237","271331","321941","377111","381628","413690","428599","469896","487687"
"Other Services","265622","308169","365278","445552","548837","680207","805820","921639","1022267","1164740","1362142","1588886"
"Sub total of tertiary","1401726","1674323","2023309","2411236","2843062","3411627","3882282","4462979","4952421","5576756","6462773","7504379"
"State domestic product","3698228","4306510","5002819","5807078","6475689","7875624","8469623","9338573","9623028","10542635","11583408","13219845"

"Figures are in Rs. Lakh"
