-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 2004-05. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "NagalandNSDPconst_1.csv", 
 "title": "Download CSV for Nagaland Net State Domestic Product at factor cost at Constant Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/NagalandNSDPconst_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12 (A)","2012-13"
"Agriculture","152336","155308","156166","156430","168303","173773","185937","197651","208324"
"Foresty and Logging","39869","41949","43184","44080","49128","49392","51362","52390","53516"
"Fishing","2044","2315","2407","2480","3224","3354","3488","3704","4109"
"Ag and Allied","194249","199572","201757","202990","220655","226519","240787","253745","265949"
"Mining and Quarrying","595","646","744","833","854","968","1120","1232","1364"
"Sub total of primary","194844","200218","202501","203823","221509","227487","241907","254977","267313"
"Manufacturing","8511","10474","12028","13918","11885","16841","18242","19147","20285"
"Registered","1672","3094","3201","3244","2576","7341","8038","8651","9490"
"Unregistered","6839","7380","8827","10674","9309","9500","10204","10496","10795"
"Construction","54514","64392","74211","81107","95772","96309","100659","109231","118519"
"Electricity, Gas and water Supply","3587","3700","4127","4831","7086","7329","7752","8140","8498"
"Sub total of secondary","66612","78566","90366","99856","114743","120479","126653","136518","147302"
"Industry","67207","79212","91110","100689","115597","121447","127773","137750","148666"
"Transport Storage and Communication","52317","56125","64074","75888","67471","82849","91589","94144","96923"
"Railways","194","195","278","371","316","360","489","494","500"
"Transport by other means","44175","45173","48416","51261","51329","51858","52392","52998","53730"
"Storage","77","78","89","100","112","124","149","165","182"
"Communication","7871","10679","15291","24156","15714","30507","38559","40487","42511"
"Trade, hotels and restaurants","19216","20975","21865","26794","28470","30727","32291","34229","36282"
"Banking and Insurance","8207","9925","13478","16082","15864","18959","24338","26774","29453"
"Real estate, ownership of dwelling and business","101405","122365","135965","150763","150968","151628","154003","155542","155668"
"Pubic Administration","55455","60520","63789","66594","82981","90489","93677","99485","105653"
"Other Services","44090","49915","53329","58036","60163","61578","65358","70167","75477"
"Sub total of tertiary","280690","319825","352500","394157","405917","436230","461256","480341","499456"
"State domestic product","542146","598609","645367","697836","742169","784196","829816","871836","914071"

"Figures are in Rs. Lakh"
