-----
{
 "description": "The table refers to Statewise Distribution of Surface Lift Schemes by type. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftNat5.5.csv", 
 "title": "Download CSV for Statewise Distribution of Surface Lift Schemes by type", 
 "url": "http://data.gov.in/sites/default/files/srfcliftNat5.5.csv"
}
-----
"State","On river","On stream","On drain/canal","On tank/pond","Total"
"ANDHRA PRADESH",9579,11832,1480,1302,24193
"ARUNACHAL PRADESH",9,2,5,5,21
"ASSAM",946,222,192,348,1708
"BIHAR",1537,210,267,873,2887
"CHHATTISGARH",15129,3194,214,6889,25426
"GOA",840,50,5,89,984
"GUJARAT",1209,81,1521,380,3191
"HARYANA",414,39,17,176,646
"HIMACHAL PRADESH",250,430,22,22,724
"JAMMU & KASHMIR",258,160,64,23,505
"JHARKHAND",1998,929,554,8516,11997
"KARNATAKA",41488,11420,3539,3922,60369
"KERALA",5105,1749,843,5796,13493
"MADHYA PRADESH",129466,49292,8309,9075,196142
"MAHARASHTRA",52010,17354,17588,12950,99902
"MANI PUR",42,2,0,0,44
"MEGHALAYA",5,2,0,4,11
"MIZORAM",6,187,23,0,216
"NAGALAND",4,5,7,22,38
"ORISSA",14740,2199,6487,9418,32844
"PUNJAB",508,268,491,174,1441
"RAJASTHAN",1118,855,110,141,2224
"TAMIL NADU",7044,808,1743,491,10086
"TRIPURA",715,241,53,158,1167
"UTTAR PRADESH",2202,2461,1124,757,6544
"UTTARANCHAL",344,308,45,11,708
"WEST BENGAL",13449,2575,22429,69142,107595
"ANDAMAN & NICOBARS",127,455,62,1052,1696
"DADRA & NAGAR HAVELI",71,0,0,0,71
"DELHI",0,0,38,0,38
"PONDICHERRY",7,0,0,0,7
"ALL INDIA",300620,107330,67232,131736,606918
