-----
{
 "description": "The table refers to District wise Distribution of Surface Flow Schemes according to ownership. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.2.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes according to ownership", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.2.csv"
}
-----
"State","District","Government","Cooperative Societies","Panchayat","Group of farmers","Individual farmers","Others","Total"
"ANDHRA PRADESH","ADILABAD",1678,2,158,78,972,234,3122
"ANDHRA PRADESH","ANANTHAPUR",2186,6,272,56,109,57,2686
"ANDHRA PRADESH","CHITTOOR",6686,1,676,50,411,3,7827
"ANDHRA PRADESH","CUDDAPAH",1901,3,64,20,36,64,2088
"ANDHRA PRADESH","EAST GODAVARI",1774,2,87,11,41,18,1933
"ANDHRA PRADESH","GUNTUR",169,0,52,2,4,7,234
"ANDHRA PRADESH","KARIMNAGAR",4668,0,650,0,0,0,5318
"ANDHRA PRADESH","KHAMMAM",322,10,2097,41,323,7,2800
"ANDHRA PRADESH","KRISHNA",527,4,394,12,89,5,1031
"ANDHRA PRADESH","KURNOOL",475,8,94,5,51,1,634
"ANDHRA PRADESH","MAHABOOBNAGAR",2804,140,3079,443,2007,25,8498
"ANDHRA PRADESH","MEDAK",974,0,4191,0,0,0,5165
"ANDHRA PRADESH","NALGONDA",2651,35,882,96,966,11,4641
"ANDHRA PRADESH","NELLORE",973,1,401,9,286,30,1700
"ANDHRA PRADESH","NIZAMABAD",553,4,1349,5,14,92,2017
"ANDHRA PRADESH","PRAKASAM",718,6,102,189,111,0,1126
"ANDHRA PRADESH","RANGAREDDY",1007,1,30,16,509,18,1581
"ANDHRA PRADESH","SRIKAKULAM",7529,1,77,36,101,0,7744
"ANDHRA PRADESH","VISAKHAPATNAM",5098,8,951,27,12,138,6234
"ANDHRA PRADESH","VIZIANAGARAM",9463,6,6,34,9,0,9518
"ANDHRA PRADESH","WARANGAL",3817,15,651,45,389,92,5009
"ANDHRA PRADESH","WEST GODAVARI",1137,0,377,22,1,0,1537
"ARUNACHAL PRADESH","CHANGLANG",188,1,2,42,62,1,296
"ARUNACHAL PRADESH","DIBANG VALLEY",88,0,0,28,11,0,127
"ARUNACHAL PRADESH","EAST KAMENG",179,0,0,5,0,0,184
"ARUNACHAL PRADESH","EAST SIANG",136,3,3,433,329,1,905
"ARUNACHAL PRADESH","LOHIT",67,0,1,0,0,0,68
"ARUNACHAL PRADESH","LOWER SUBANSIRI",476,0,0,109,0,0,585
"ARUNACHAL PRADESH","PAPUMPARE",55,2,0,63,85,0,205
"ARUNACHAL PRADESH","TAWANG",86,0,0,22,0,0,108
"ARUNACHAL PRADESH","TIRAP",76,1,0,24,28,0,129
"ARUNACHAL PRADESH","UPPER SIANG",105,1,0,303,137,0,546
"ARUNACHAL PRADESH","UPPER SUBANSIRI",82,3,12,33,353,2,485
"ARUNACHAL PRADESH","WEST KAMENG",70,0,0,0,0,0,70
"ARUNACHAL PRADESH","WEST SIANG",155,0,0,55,35,0,245
"ASSAM","BARPETA",0,0,0,3,68,0,71
"ASSAM","BONGAIGAON",4,0,0,0,111,0,115
"ASSAM","CACHAR",11,1,0,15,0,0,27
"ASSAM","DARRANG",16,0,0,23,600,0,639
"ASSAM","DHUBRI",6,0,0,0,62,0,68
"ASSAM","GOALPARA",24,7,2,3,22,5,63
"ASSAM","GOLAGHAT",0,0,0,0,209,0,209
"ASSAM","HAILAKANDI",2,0,0,0,0,0,2
"ASSAM","JORHAT",2,0,0,6,32,0,40
"ASSAM","KAMRUP",38,0,0,1,5,0,44
"ASSAM","KARBIANGLONG",111,0,0,140,21,0,272
"ASSAM","KARIMGANJ",1,0,0,0,0,0,1
"ASSAM","KOKRAJHAR",19,3,0,100,122,0,244
"ASSAM","LAKHIMPUR",24,0,0,0,0,0,24
"ASSAM","MORIGAON",1,0,0,0,1,0,2
"ASSAM","NAGOAN",9,0,0,7,8,0,24
"ASSAM","NALBARI",27,0,0,1,0,0,28
"ASSAM","NC HILLS",5,0,0,0,270,0,275
"ASSAM","SIBSAGAR",5,0,0,0,2,0,7
"ASSAM","SONITPUR",27,0,0,23,1,0,51
"BIHAR","ARARIA",0,0,0,0,114,0,114
"BIHAR","AURANGABAD",1297,3,4,308,62,19,1693
"BIHAR","BANKA",1994,12,17,21,212,7,2263
"BIHAR","BEGUSARAI",4,0,0,0,128,0,132
"BIHAR","BHAGALPUR",357,1,74,62,28,0,522
"BIHAR","BHOJPUR",99,0,4,21,0,0,124
"BIHAR","BUXAR",0,0,0,0,69,0,69
"BIHAR","EAST CHAMPARAN",6,0,0,0,32,0,38
"BIHAR","GAYA",6574,14,43,541,40,52,7264
"BIHAR","GOPAALGANJ",29,0,0,1,0,0,30
"BIHAR","JAMUI",2239,4,2,144,127,6,2522
"BIHAR","JEHANABAD",472,3,26,65,37,0,603
"BIHAR","KAIMUR (BHABUA)",143,11,3,0,1242,2,1401
"BIHAR","KATIHAR",0,0,0,0,1,0,1
"BIHAR","LAKHISARAI",264,0,0,1,0,1,266
"BIHAR","MADHEPURA",0,0,0,0,0,1,1
"BIHAR","MADHUBANI",17,3,0,1,440,0,461
"BIHAR","MUNGER",165,0,0,0,1,0,166
"BIHAR","MUZAFFARPUR",1,0,0,0,23,0,24
"BIHAR","NALANDA",290,1,1,13,14,1,320
"BIHAR","NAWADA",2683,46,1,127,1,1,2859
"BIHAR","PATNA",227,0,0,0,71,0,298
"BIHAR","ROHTAS(SASARAM)",403,0,0,7,7,0,417
"BIHAR","SARAN",11,0,2,1,48,0,62
"BIHAR","SHEKHPURA",128,0,0,21,2,0,151
"BIHAR","SITAMARHI",3,0,0,2,12,0,17
"BIHAR","SIWAN",39,0,0,0,48,2,89
"BIHAR","SUPAUL",0,0,0,0,87,0,87
"BIHAR","VAISHALI",2,0,0,0,0,0,2
"BIHAR","WEST CHAMPARAN",23,0,0,0,182,0,205
"CHHATTISGARH","BASTER",219,2,3,15,1614,560,2413
"CHHATTISGARH","BILASPUR",1262,3,4,3,226,0,1498
"CHHATTISGARH","DANTEWADA",87,0,20,4,98,294,503
"CHHATTISGARH","DHAMTARI",88,1,9,3,18,570,689
"CHHATTISGARH","DURG",499,0,11,9,40,815,1374
"CHHATTISGARH","JANJGIR-CHAMPA",12769,18,510,93,517,1,13908
"CHHATTISGARH","JASHPUR",1667,2,1,2,174,9,1855
"CHHATTISGARH","KANKER",68,0,1,1,24,102,196
"CHHATTISGARH","KORBA",6450,20,21,7,2397,96,8991
"CHHATTISGARH","KORIA",1337,6,0,31,82,2,1458
"CHHATTISGARH","KVARDHA",317,1,1,297,2179,720,3515
"CHHATTISGARH","MAHASAMUND",632,2,93,6,201,769,1703
"CHHATTISGARH","RAIGARH",5218,1,193,61,1899,48,7420
"CHHATTISGARH","RAIPUR",495,1,200,22,1676,659,3053
"CHHATTISGARH","RAJNANDGAON",228,7,12,67,479,319,1112
"CHHATTISGARH","SURGUJA",1593,7,3,67,67,24,1761
