-----
{
 "description": "The table refers to Block wise Construction of Shallow Tubewells over the years. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.1.csv", 
 "title": "Download CSV for Blockwise Construction of Shallow Tubewells over the years", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.1.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Upto 1993-94,During 1994-95,During 1995-96,During 1996-97,During 1997-98,During 1998-99,During 1999-00,During 2000-01,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,31,6,23,52,50,34,7,1,204
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,95,30,9,2,2,1,1,0,140
ANDHRA PRADESH,ADILABAD,BEJJUR,15,1,0,0,1,0,0,0,17
ANDHRA PRADESH,ADILABAD,BELA,1,0,1,2,2,0,0,0,6
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,3,0,0,0,0,0,0,0,3
ANDHRA PRADESH,ADILABAD,BHAINSA,268,313,254,289,243,203,188,14,1772
ANDHRA PRADESH,ADILABAD,BHEEMINI,2,52,0,0,0,0,0,0,54
ANDHRA PRADESH,ADILABAD,BOATH,311,56,60,51,45,158,42,7,730
ANDHRA PRADESH,ADILABAD,CHENNUR,10,55,78,50,47,45,2,0,287
ANDHRA PRADESH,ADILABAD,DAHEGAON,17,0,0,15,2,19,0,0,53
ANDHRA PRADESH,ADILABAD,DILAWARPUR,201,195,192,177,172,108,34,12,1091
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,20,65,18,0,0,4,0,0,107
ANDHRA PRADESH,ADILABAD,ICHODA,129,66,44,31,34,41,16,7,368
ANDHRA PRADESH,ADILABAD,INDERAVELLY,22,23,8,4,5,3,0,0,65
ANDHRA PRADESH,ADILABAD,JAINAD,49,25,18,5,23,8,13,0,141
ANDHRA PRADESH,ADILABAD,JAIPUR,23,12,9,6,18,17,45,0,130
ANDHRA PRADESH,ADILABAD,KERAMERI,4,0,2,1,2,0,0,0,9
ANDHRA PRADESH,ADILABAD,KOTAPALLE,35,112,117,107,89,21,2,7,490
ANDHRA PRADESH,ADILABAD,KOUTHALA,0,0,1,2,1,16,10,3,33
ANDHRA PRADESH,ADILABAD,KUBEER,71,97,157,73,56,92,38,27,611
ANDHRA PRADESH,ADILABAD,KUNTALA,218,127,143,230,341,127,66,38,1290
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,89,29,8,6,8,9,3,12,164
ANDHRA PRADESH,ADILABAD,LOHESRA,150,115,158,183,350,248,189,117,1510
ANDHRA PRADESH,ADILABAD,MAMDA,118,405,250,57,31,11,2,0,874
ANDHRA PRADESH,ADILABAD,MANCHERIAL,0,0,0,0,0,14,0,0,14
ANDHRA PRADESH,ADILABAD,MUDHOLE,359,196,153,200,123,115,103,76,1325
ANDHRA PRADESH,ADILABAD,NARNOOR,23,14,18,9,7,7,8,8,94
