-----
{
 "description": "The table give index of industrial production - annual averages from 2005-06 to 2011-12 (Base: 2004-05=100) for industries such as Mining & Quarrying, Manufacturing, Food Products and Beverages, Tobacco Products, Textiles, Furniture, Electricity, etc.\r", 
 "file_name": "INDEX_OF_INDUSTRIAL_PRODUCTION_-_ANNUAL_AVERAGES.xls", 
 "title": "Download XLS for Index of Industrial Production - Annual Averages (2- Digit Level)", 
 "url": "http://data.gov.in/sites/default/files/INDEX_OF_INDUSTRIAL_PRODUCTION_-_ANNUAL_AVERAGES.xls"
}
-----
"Industry code","Description","Weight (Base : 2004-05=100)","2005-2006 (Base : 2004-05=100)","2006-2007 (Base : 2004-05=100)","2007-2008 (Base : 2004-05=100)","2008-2009 (Base : 2004-05=100)","2009-2010 (Base : 2004-05=100)","2010-2011 (Base : 2004-05=100)","2011-12 (Base : 2004-05=100)"
"NA","Mining & Quarrying",141.57,102.2675,107.549166667,112.5075,115.4,124.518333333,131.028333333,"NA"
"NA","Manufacturing",755.27,110.287848092,126.78744581,150.110877951,153.817312266,161.252072121,175.703466358,"NA"
15.0,"Food products and beverages",72.7572421601,113.166666667,131.183333333,147.516666667,135.35,133.508333333,142.866666667,"NA"
16.0,"Tobacco products",15.7033630415,101.033333333,102.883333333,98.3916666667,102.675,102.025,104.075,"NA"
17.0,"Textiles",61.6360956515,108.325,116.8,124.566666667,120.066666667,127.358333333,135.866666667,134.0
18.0,"Wearing apparel; dressing and dyeing of fur",27.8205643984,114.083333333,137.191666667,149.908333333,134.55,137.116666667,142.175,130.7
19.0,"Luggage, handbags, saddlery, harness & footwear; tanning and dressing of leather products",5.82054294973,90.8666666667,103.966666667,109.958333333,104.358333333,105.758333333,114.291666667,"NA"
20.0,"Wood and products of wood & cork except furniture; articles of straw & plating materials",10.5094249977,106.841666667,126.025,148.025,155.283333333,160.058333333,156.491666667,"NA"
21.0,"Paper and paper products",9.99113999099,106.325,111.008333333,112.55,118.0,121.075,131.433333333,"NA"
22.0,"Publishing, printing & reproduction of recorded media",10.7844461816,113.683333333,122.8,140.183333333,142.358333333,133.816666667,148.825,"NA"
23.0,"Coke, refined petroleum products & nuclear fuel",67.1531452689,100.641666667,112.583333333,119.583333333,123.4,121.75,121.516666667,"NA"
24.0,"Chemicals and chemical products",100.588636611,101.016666667,110.433333333,118.433333333,114.958333333,120.733333333,123.108333333,"NA"
25.0,"Rubber and plastics products",20.2471609803,112.258333333,119.641666667,135.683333333,142.6,167.408333333,185.208333333,"NA"
26.0,"Other non-metallic mineral products",43.1427908085,107.808333333,119.541666667,130.625,134.941666667,145.441666667,151.366666667,"NA"
27.0,"Basic metals",113.351572584,115.533333333,132.566666667,156.316666667,158.991666667,162.4,176.691666667,"NA"
28.0,"Fabricated metal products, except machinery & equipment",30.8477093828,111.141666667,133.308333333,143.766666667,143.95,158.591666667,182.783333333,"NA"
29.0,"Machinery and equipment n.e.c.",37.6298602517,126.066666667,150.925,184.991666667,170.966666667,198.041666667,256.258333333,"NA"
30.0,"Office, accounting & computing machinery",3.05297049426,145.333333333,155.508333333,164.833333333,148.816666667,154.441666667,146.333333333,"NA"
31.0,"Electrical machinery & apparatus n.e.c.",19.8040394038,116.775,131.558333333,372.991666667,530.791666667,459.175,472.058333333,"NA"
32.0,"Radio, TV and communication equipment & apparatus",9.89438635541,122.683333333,312.816666667,604.158333333,726.65,809.083333333,911.475,"NA"
33.0,"Medical, precision & optical instruments, watches and clocks",5.66810850745,95.35,104.783333333,111.391666667,119.766666667,100.883333333,107.775,"NA"
34.0,"Motor vehicles, trailers & semi-trailers",40.6433659571,110.133333333,138.041666667,151.191666667,138.033333333,179.108333333,233.275,"NA"
35.0,"Other transport equipment",18.2498396842,115.308333333,132.858333333,129.008333333,133.975,171.116666667,210.741666667,"NA"
36.0,"Furniture; manufacturing n.e.c.",29.9735943387,116.208333333,111.725,132.666666667,142.5,152.666666667,141.175,"NA"
"NA","Electricity",103.16,105.163029595,112.804967353,119.965462862,123.263010181,130.774577056,138.032144402,"NA"
"NA","General Index",1000.0,108.623731136,122.621450154,141.677566714,145.226591565,152.90761833,165.492634203,"NA"
