-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "BiharNSDPcurrent.csv", 
 "title": "Download CSV for Bihar Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/BiharNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","994671","1139592","939153","1395417","1241731","1537958","1430260","1596027","1507427","1785699","1567234","1736018","1753655"
"Foresty and Logging","44030","49298","53223","57997","64763","74191","82482","89901","92103","97253","102992","109279","115907"
"Fishing","28982","31170","37089","44868","46218","51556","61681","70726","90137","98671","104039","97589","110042"
"Mining and Quarrying","2452","5761","1959","2381","2715","8218","7530","8567","14103","6966","7334","7334","7325"
"Sub total of primary","1070135","1225821","1031424","1500663","1355427","1671923","1581953","1765221","1703770","1988589","1781599","1950220","1986929"
"Manufacturing","92695","87080","78826","79340","160566","57287","149744","120900","109993","180110","192753","207682","223339"
"Registered","43508","27467","34152","29767","57933","16937","85440","56131","43407","108882","119951","132987","147206"
"Unregistered","49187","59613","44674","49573","102633","40350","64304","64769","66586","71228","72802","74695","76133"
"Construction","73695","70557","83368","95244","103292","135196","188387","234111","198652","200344","227889","241783","256338"
"Electricity, Gas and water Supply","12080","17580","19152","29573","34341","18386","38301","10896","26726","29729","35361","42220","50048"
"Sub total of secondary","178470","175217","181346","204157","298199","210869","376432","365907","335371","410183","456003","491685","529725"
"Transport Storage and Communication","74830","91492","90211","95639","112465","124269","143246","172452","194272","213145","225685","244214","264423"
"Railways","41741","51487","50194","49230","58434","53969","65069","81411","95308","101321","97409","97406","97406"
"Transport by other means","21357","23304","22180","28721","33113","41574","49009","51210","53771","60997","64507","71276","77551"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","11732","16701","17837","17688","20918","28726","29168","39831","45193","50827","63769","75532","89466"
"Trade, hotels and restaurants","315194","362653","309901","463771","499248","588110","622974","731720","675900","775589","733870","798754","831922"
"Banking and Insurance","56523","65129","84341","116040","139656","151797","156257","176726","204540","225960","244351","264239","285745"
"Real estate, ownership of dwelling and business","54018","60501","64568","69700","76599","90780","98971","119021","154702","181928","210650","244050","282654"
"Pubic Administration","148928","170863","177840","206776","237961","294752","343741","352761","443426","429325","494086","548766","608992"
"Other Services","179909","211303","243834","288109","311182","351183","494203","541285","504043","572459","526998","577450","633089"
"Sub total of tertiary","829402","961941","970695","1240035","1377111","1600891","1859392","2093965","2176883","2398406","2435640","2677473","2906825"
"State domestic product","2078007","2362979","2183465","2944855","3030737","3483683","3817777","4225093","4216024","4797178","4673242","5119378","5423479"

"Figures are in Rs. Lakh"
