-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "BiharGSDPconst.csv", 
 "title": "Download CSV for Bihar Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/BiharGSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","1032734","1209648","926081","1259855","997171","1185014","1076188","1399831","1153179","1435946","1129894","1343006","1182454"
"Foresty and Logging","44197","45299","44837","44609","45625","50087","53172","55316","55848","56927","58374","59789","61471"
"Fishing","32582","35324","40043","43721","37810","42360","45456","50191","64275","69782","71250","71523","71795"
"Mining and Quarrying","3354","5859","2416","2437","2437","6153","6453","9224","18138","7703","8126","8144","8127"
"Sub total of primary","1112867","1296130","1013377","1350622","1083043","1283614","1181269","1514562","1291440","1570358","1267644","1482462","1323847"
"Manufacturing","121232","108001","93027","98481","175487","108191","144977","136150","115421","168018","178993","192476","206348"
"Registered","57798","33846","35145","33913","67123","51909","70404","52724","44233","79671","87842","97652","108110"
"Unregistered","63434","74155","57882","64568","108364","56282","74573","83426","71188","88347","91151","94824","98238"
"Construction","77202","67651","74602","82269","88528","111162","150195","170688","140646","147516","167857","180003","191381"
"Electricity, Gas and water Supply","28052","33203","39477","43621","47713","45505","54350","51553","51814","51567","55969","60150","64508"
"Sub total of secondary","226486","208855","207106","224371","311728","264858","349522","358391","307881","367101","402819","432629","462237"
"Transport Storage and Communication","108726","117364","120026","126126","133903","145553","158731","182147","195022","222374","242638","270150","298019"
"Railways","59967","60609","62954","64120","66125","69059","72039","75113","80212","82150","87422","90780","94268"
"Transport by other means","33734","36470","34795","39092","40900","43020","45421","48803","46819","50447","48481","52474","52885"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","15025","20285","22277","22914","26878","33474","41271","58231","67991","89777","106735","126896","150866"
"Trade, hotels and restaurants","334743","376678","290992","409334","397348","438817","443447","559634","449316","533920","456127","518472","484502"
"Banking and Insurance","57820","60955","65794","90669","124897","110225","110214","113343","129011","155690","167283","179739","193123"
"Real estate, ownership of dwelling and business","81640","85368","89573","94090","99522","107777","113384","122094","129417","137360","146616","157207","169047"
"Pubic Administration","174194","183782","176177","178136","202656","208750","229530","264530","316577","292821","312790","332957","354331"
"Other Services","184722","201078","215023","222612","238979","229198","305300","335397","307272","336337","295033","314580","334713"
"Sub total of tertiary","941845","1025225","957585","1120967","1197305","1240320","1360606","1577145","1526615","1678502","1620487","1773105","1833735"
"State domestic product","2281198","2530210","2178068","2695960","2592076","2788792","2891397","3450098","3125936","3615961","3290950","3688196","3619819"

"Figures are in Rs. Lakh"
