-----
{
 "description": "Data covers year-wise details of Industrial Entrepreneurs Memorandum (IEM) filed, Letters of Intent (LoI)/ Direct Industrial Licenses (DILs) issued by DIPP along with comparison of data of current month with previous month and cumulative figures of current period with corresponding period of ...", 
 "file_name": "Industrial_Investment_Proposals_August_1991_To_May_2013.xls", 
 "title": "Download XLS for Year-wise Industrial Investment Proposals Received From Industrial Undertakings During August 1991 to May 2013", 
 "url": "http://data.gov.in/sites/default/files/Industrial_Investment_Proposals_August_1991_To_May_2013.xls"
}
-----
"Details","Category","1991-2006",2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,"2013 (Jan-May)","Total"
"Number of Proposals","IEMs",68769.0,3725.0,3979.0,3465.0,4296.0,3868.0,2826.0,1136.0,92064.0
"Number of Proposals","LOIs",3958.0,8.0,4.0,0.0,1.0,0.0,0.0,0.0,3971.0
"Number of Proposals","DILs",276.0,85.0,102.0,10.0,39.0,32.0,2.0,13.0,559.0
"Number of Proposals","TOTAL",73003.0,3818.0,4085.0,3475.0,4336.0,3900.0,2828.0,1149.0,96594.0
"Proposed Investment (Rs.Crore)","IEMs",2365420.0,827500.0,1522566.0,1039848.0,1731731.0,1537710.0,567830.0,219410.0,9812015.0
"Proposed Investment (Rs.Crore)","LOIs",109590.0,74.0,38.0,0.0,8.0,0.0,0.0,0.0,109710.0
"Proposed Investment (Rs.Crore)","DILs",12572.0,6675.0,1248.0,411.0,4583.0,2018.0,38.0,218.0,27763.0
"Proposed Investment (Rs.Crore)","TOTAL",2487582.0,834249.0,1523852.0,1040259.0,1736322.0,1539728.0,567868.0,219628.0,9949488.0
"Proposed Employment (Numbers)","IEMs",13214937.0,1342153.0,1793741.0,953285.0,1233553.0,2093222.0,707709.0,423269.0,21761869.0
"Proposed Employment (Numbers)","LOIs",851079.0,579.0,251.0,0.0,8.0,0.0,0.0,0.0,851917.0
"Proposed Employment (Numbers)","DILs",55637.0,18255.0,24095.0,546.0,14319.0,2178.0,66.0,3481.0,118577.0
"Proposed Employment (Numbers)","TOTAL",14121653.0,1360987.0,1818087.0,953831.0,1247880.0,2095400.0,707775.0,426750.0,22732363.0
