-----
{
 "description": "The table refers to district wise construction of shallow tubewells over the years . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.1.csv", 
 "title": "Download CSV for District wise Construction of Shallow Tubewells over the years for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.1.csv"
}
-----
State,District,Upto 1986-87,During 1987-88,During 1988-89,During 1989-90,During 1990-91,During 1991-92,During 1992-93,During 1993-94,Total
ANDHRA PRADESH,ADILABAD,1048,465,795,922,1172,1264,923,676,7265
ANDHRA PRADESH,ANANTHAPUR,3667,1497,1895,2911,3311,3400,2647,1973,21301
ANDHRA PRADESH,CHITTOOR,3033,509,906,945,1067,1325,1291,1062,10138
ANDHRA PRADESH,CUDDAPAH,4028,811,959,1611,1850,1766,1190,594,12809
ANDHRA PRADESH,EAST GODAVARI,12515,1903,1226,1712,1149,1077,749,516,20847
ANDHRA PRADESH,GUNTUR,8606,1452,1310,1458,916,841,760,577,15920
ANDHRA PRADESH,KARIMNAGAR,325,59,45,76,82,129,114,160,990
ANDHRA PRADESH,KHAMMAM,1317,307,292,347,361,290,500,420,3834
ANDHRA PRADESH,KRISHNA,8103,728,708,784,720,720,489,443,12695
ANDHRA PRADESH,KURNOOL,1368,484,764,1121,1354,1652,1231,768,8742
ANDHRA PRADESH,MAHABOOB NAGAR,2348,570,1117,1641,2532,3806,4925,4489,21428
ANDHRA PRADESH,MEDAK,3451,1922,2269,3206,5147,6242,5199,3470,30906
ANDHRA PRADESH,NALGONDA,2052,718,1148,1660,1839,2354,2102,1846,13719
ANDHRA PRADESH,NELLORE,17189,3335,2630,2498,1882,1291,752,617,30194
ANDHRA PRADESH,NIZAMABAD,9274,3062,4087,5811,8125,6617,5607,3624,46207
ANDHRA PRADESH,PRAKASAM,1444,873,975,2126,1839,1770,1037,898,10962
ANDHRA PRADESH,RANGA REDDY,2745,810,1697,2226,2414,2280,2395,1887,16454
ANDHRA PRADESH,SRIKAKULUM,3119,452,549,422,400,290,264,187,5683
ANDHRA PRADESH,VIJAYA NAGARAM,1723,278,329,511,428,418,245,196,4128
ANDHRA PRADESH,VISAKHAPATNAM,3111,237,510,387,259,239,360,285,5388
ANDHRA PRADESH,WARANGAL,675,148,258,370,570,462,546,482,3511
ANDHRA PRADESH,WEST GODAVARI,7293,846,1057,1133,1307,1241,644,555,14076
ASSAM,BARPETA,1295,244,265,173,168,110,74,34,2363
ASSAM,BONGAIGAON,417,141,79,78,96,22,14,5,852
ASSAM,CACHAR,0,0,0,0,0,0,1,0,1
ASSAM,DARRANG,1057,228,189,211,176,84,219,87,2251
ASSAM,DHEMAJI,357,87,94,62,113,4,0,0,717
ASSAM,DHUBRI,989,210,246,256,274,145,149,219,2488
ASSAM,DIBRUGARH,981,189,129,82,55,22,1,2,1461
ASSAM,GOALPARA,129,37,40,60,43,43,16,13,381
ASSAM,GOLAGHAT,354,39,45,34,9,4,4,6,495
ASSAM,HAILAKANDI,2,22,5,0,2,1,48,0,80
ASSAM,JORHAT,750,131,163,228,102,91,24,1,1490
ASSAM,KAMRUP,656,164,113,104,27,22,46,136,1268
ASSAM,KARBI ANGLONG,55,0,1,0,5,10,10,0,81
ASSAM,KARIMGANJ,1,0,0,0,0,0,83,0,84
ASSAM,KOKRAJHAR,520,77,23,8,5,56,47,22,758
ASSAM,LAKHIMPUR,517,113,146,210,153,20,7,0,1166
ASSAM,MARIGAON,263,130,208,355,250,96,26,67,1395
ASSAM,NAGAON,855,331,717,595,404,183,157,15,3257
ASSAM,NALBARI,811,178,165,123,83,16,33,8,1417
ASSAM,SIBSAGAR,496,116,79,52,37,8,0,0,788
ASSAM,SONITPUR,1515,360,402,243,124,80,113,30,2867
ASSAM,TINSUKIA,558,212,274,144,153,53,12,6,1412
BIHAR,ARARIA,3676,696,1674,2049,1617,1489,1518,372,13091
BIHAR,AURANGABAD,2125,442,665,1069,1383,1378,1018,697,8777
BIHAR,BANKA,1750,526,623,902,896,467,466,295,5925
BIHAR,BEGUSARAI,3491,2262,3792,4375,4523,1623,958,499,21523
BIHAR,BHABUA,2947,1142,1277,1665,1674,1293,893,750,11641
BIHAR,BHAGALPUR,2287,958,1361,1371,1488,1141,1257,735,10598
BIHAR,BHOJPUR,3554,1204,1426,2045,2111,2108,1592,765,14805
BIHAR,BUXAR,3740,1584,1312,1307,1646,1293,1087,1057,13026
BIHAR,CHAMPARAN EAST,4771,2614,3078,3931,5109,5241,3318,2545,30607
BIHAR,CHAMPARAN WEST,2352,1162,2176,3060,4647,3530,2369,1862,21158
BIHAR,CHATRA,45,15,38,12,11,12,5,4,142
BIHAR,DARBHANGA,2749,921,1198,1967,2156,1327,1145,421,11884
BIHAR,DEOGHAR,0,0,0,0,0,0,1,0,1
BIHAR,DHANBAD,4,0,1,0,0,0,0,0,5
BIHAR,GAYA,8890,2185,2516,2976,2957,2056,1708,1409,24697
BIHAR,GIRIDIH,70,12,56,94,49,46,16,26,369
BIHAR,GODDA,318,21,53,48,61,33,36,44,614
BIHAR,GOPALGANJ,4736,1724,1902,2075,1830,2611,1615,687,17180
BIHAR,HAZARIBAG,2,0,1,0,0,0,0,0,3
BIHAR,JAMUI,296,278,456,551,595,512,286,179,3153
BIHAR,JEHANABAD,3331,1560,1912,2811,2858,2379,1708,1266,17825
BIHAR,KATIHAR,2589,2112,2672,3344,4342,4064,2995,2400,24518
BIHAR,KHAGARIA,1456,703,961,1320,1720,2015,1436,1097,10708
BIHAR,KISHANGANJ,258,212,396,1966,1181,1861,1593,1480,8947
BIHAR,KODARMA,91,34,28,24,16,10,8,3,214
BIHAR,LAKHISARAI,671,173,232,699,861,836,483,481,4436
BIHAR,MADHEPURA,3795,1339,2091,2240,1172,1607,1549,381,14174
BIHAR,MADHUBANI,5991,1370,1487,1570,1253,1315,709,699,14394
BIHAR,MUNGER,748,137,458,479,384,397,306,192,3101
BIHAR,MUZAFFARPUR,7605,2713,3241,4193,5150,3296,2882,1816,30896
BIHAR,NALANDA,4666,1836,1976,1913,2003,1801,1326,1088,16609
BIHAR,NAWADA,3674,1680,2240,1662,2395,1712,1360,1178,15901
BIHAR,PAKUR,39,51,24,7,9,34,26,11,201
BIHAR,PATNA,5301,1993,3017,2511,3245,3241,2635,1506,23449
BIHAR,PURNIA,2795,1635,2978,4147,3510,3498,2918,2603,24084
BIHAR,RANCHI,11,60,5,0,4,7,0,3,90
BIHAR,ROHTAS,5284,1369,1605,2161,2593,1427,1639,1231,17309
BIHAR,SAHARSA,1273,232,2067,2177,911,1151,1651,349,9811
BIHAR,SAHEBGANJ,89,8,195,803,306,194,150,19,1764
BIHAR,SAMASTIPUR,10402,3261,3556,3870,3434,2257,1659,1401,29840
BIHAR,SARAN,7435,3359,3172,2691,2499,2107,1752,1376,24391
BIHAR,SHEIKHPURA,687,458,397,708,1735,707,236,418,5346
BIHAR,SHEOHAR,1061,391,329,424,570,544,693,444,4456
BIHAR,SINGHBHUM EAST,189,52,248,79,194,172,132,212,1278
BIHAR,SINGHBHUM WEST,7,0,0,0,0,1,4,3,15
BIHAR,SITAMARHI,4214,805,964,1594,1390,1776,2629,1540,14912
BIHAR,SIWAN,9057,2048,2030,3878,3600,2978,2048,1238,26877
BIHAR,SUPAUL,2681,967,1805,2187,1277,2024,1710,687,13338
BIHAR,VAISHALI,5737,2029,2238,2358,3108,2432,2368,1166,21436
GOA,NORTH GOA,0,0,0,9,6,4,1,0,20
GOA,SOUTH GOA,6,0,0,0,0,0,2,0,8
HARYANA,AMBALA,7183,2220,1776,1522,957,561,306,219,14744
HARYANA,BHIWANI,6279,1769,2044,2620,1860,1421,1238,1241,18472
HARYANA,FARIDABAD,13779,3604,2665,2210,1438,978,669,262,25605
HARYANA,GURGAON,13740,2165,1820,9226,988,454,245,102,28740
HARYANA,HISAR,16849,6031,5690,4909,3653,3276,2733,2231,45372
HARYANA,JIND,8496,5608,4065,4001,3205,2399,1160,785,29719
HARYANA,KAITHAL,5280,6152,5392,5374,3824,2943,1334,666,30965
HARYANA,KARNAL,22318,9127,6703,5468,3555,2546,1549,1036,52302
HARYANA,KURUKSHETRA,17885,5159,3866,3266,2759,1648,892,432,35907
HARYANA,MEHANDERGARH,11505,3944,2720,2676,1415,948,603,419,24230
HARYANA,PANCHKULA,258,115,166,153,195,141,85,70,1183
HARYANA,PANIPAT,7387,4288,3998,3469,2550,2015,1800,843,26350
HARYANA,RIWARI,10283,3665,2667,2751,1771,1156,633,332,23258
HARYANA,ROHTAK,12183,9662,7437,7851,5982,4256,2075,1209,50655
HARYANA,SIRSA,8663,3596,2974,2971,2680,1870,1209,759,24722
HARYANA,SONIPAT,11904,6738,5459,4571,3044,2295,1402,717,36130
HARYANA,YAMUNA NAGAR,14212,3346,2658,2346,1585,893,612,288,25940
HIMACHAL PRADESH,Bilaspur,15,5,2,0,0,0,0,0,22
HIMACHAL PRADESH,Hamirpur,11,1,0,0,0,0,0,0,12
HIMACHAL PRADESH,Kangra,125,33,27,67,30,16,8,3,309
HIMACHAL PRADESH,Mandi,57,1,5,2,2,2,3,7,79
HIMACHAL PRADESH,Sirmaur,102,7,7,7,18,9,11,16,177
HIMACHAL PRADESH,Solan,65,9,8,1,0,0,2,0,85
HIMACHAL PRADESH,Una,423,66,88,111,57,49,110,36,940
JAMMU & KASHMIR,Budgam,1,0,0,0,0,0,0,0,1
JAMMU & KASHMIR,Jammu,712,166,147,43,0,0,0,0,1068
JAMMU & KASHMIR,Kathua,19,30,41,37,35,25,18,22,227
JAMMU & KASHMIR,Kupwara,11,0,0,0,0,0,0,0,11
JAMMU & KASHMIR,Srinagar,6,0,0,0,0,0,0,0,6
KARNATAKA,BANGALORE RURAL,868,614,951,1055,1147,1105,841,998,7579
