-----
{
 "description": "The table refers to District wise Dugwells in the command of Major/Medium Projects and Supplimentary Irrigation. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.14.csv", 
 "title": "Download CSV for Districtwise Dugwells in the command of Major/Medium Projects and Supplimentary Irrigation", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.14.csv"
}
-----
"State","District","Location of Dugwell (Nos) - Inside Command","Location of Dugwell (Nos) - Outside Command","Total","Supplementary Irrigation (Ha) - Kharif","Supplementary Irrigation (Ha) - Rabi","Supplementary Irrigation (Ha) - Perennial","Supplementary Irrigation (Ha) - Others","Total.1"
"ANDAMAN & NICOBARS","NICOBAR",4,4,8,0,0,0,0,0
"ANDHRA PRADESH","ADILABAD",548,26842,27390,351,159,58,0,568
"ANDHRA PRADESH","ANANTHAPUR",1065,51872,52937,948,185,163,0,1296
"ANDHRA PRADESH","CHITTOOR",0,116623,116623,0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH",419,41364,41783,501,117,0,0,618
"ANDHRA PRADESH","EAST GODAVARI",269,1938,2207,833,443,6,1,1283
"ANDHRA PRADESH","GUNTUR",2680,10711,13391,611,111,0,7,730
"ANDHRA PRADESH","KARIMNAGAR",48363,159637,208000,5066,3193,92,12,8363
"ANDHRA PRADESH","KHAMMAM",1220,37752,38972,1644,742,0,0,2386
"ANDHRA PRADESH","KRISHNA",2089,14863,16952,1793,379,133,246,2552
"ANDHRA PRADESH","KURNOOL",1189,33553,34742,955,768,1,0,1724
"ANDHRA PRADESH","MAHABOOBNAGAR",128,91681,91809,198,97,0,0,295
"ANDHRA PRADESH","MEDAK",0,52119,52119,0,0,0,0,0
"ANDHRA PRADESH","NALGONDA",7415,101976,109391,1115,946,24,8,2093
"ANDHRA PRADESH","NELLORE",125,35114,35239,19,87,4,6,116
"ANDHRA PRADESH","NIZAMABAD",1212,15634,16846,1262,270,12,0,1544
"ANDHRA PRADESH","PRAKASAM",1016,26099,27115,970,468,50,85,1572
