-----
{
 "description": "It provides the details of Central Plan.", 
 "file_name": "stat02.xls", 
 "title": "Download XLS for Expenditure by Ministries/Departments(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/ub2013-14/eb/stat02.xls"
}
-----
"Expenditure Budget Vol. I, 2013-2014","","","","","","","","","","","","",4.0
"","","","","","","","","","","","","",""
"STATEMENT 2","","","","","","","","","","","","",""
"TOTAL EXPENDITURE OF MINISTRIES/DEPARTMENTS","","","","","","","","","","","","",""
"(In crores of Rupees)","","","","","","","","","","","","",""
"","","Actuals 2011-2012","","","Budget 2012-2013","","","Revised 2012-2013","","","Budget 2013-2014","",""
"MINISTRY/DEPARTMENT","","Plan","Non-Plan","Total","Plan","Non-Plan","Total","Plan","Non-Plan","Total","Plan","Non-Plan","Total"
"","","","","","","","","","","","","",""
"I. CENTRAL SECTOR","",308359.38,887566.54,1195925.92,391027.0,965607.37,1356634.37,317184.62,997058.1,1314242.72,419068.0,1105135.1,1524203.1
"Revenue","",241276.16,807627.36,1048903.52,303528.49,861207.34,1164735.83,243771.57,915035.1,1158806.67,320038.66,987998.6,1308037.26
"Capital","",67083.22,79939.18,147022.4,87498.51,104400.03,191898.54,73413.05,82023.0,155436.05,99029.34,117136.5,216165.84
"Agriculture and Cooperation","",8679.49,194.97,8874.46,10991.0,322.22,11313.22,9467.32,306.62,9773.94,11655.0,324.5,11979.5
"Revenue","",8632.58,194.62,8827.2,10928.15,321.62,11249.77,9422.03,306.02,9728.05,11596.55,323.79,11920.34
"Capital","",46.91,0.35,47.26,62.85,0.6,63.45,45.29,0.6,45.89,58.45,0.71,59.16
"Agriculture Research and Education","",2572.97,2156.34,4729.31,3220.0,2172.0,5392.0,2520.0,2100.0,4620.0,3415.0,2314.17,5729.17
"Revenue","",2572.97,2156.34,4729.31,3220.0,2172.0,5392.0,2520.0,2100.0,4620.0,3415.0,2314.17,5729.17
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"Animal Husbandry, Dairying and Fisheries","",1230.01,103.07,1333.08,1910.0,99.37,2009.37,1800.0,78.2,1878.2,2025.0,85.16,2110.16
"Revenue","",1219.24,103.07,1322.31,1887.2,99.37,1986.57,1783.08,78.2,1861.28,1999.74,83.68,2083.42
"Capital","",10.77,"...",10.77,22.8,"...",22.8,16.92,"...",16.92,25.26,1.48,26.74
"Atomic Energy","",4289.84,4014.21,8304.05,5600.0,3632.0,9232.0,3175.0,3653.59,6828.59,5880.0,3953.32,9833.32
"Revenue","",1544.26,3286.95,4831.21,1875.63,3009.2,4884.83,1154.99,2963.36,4118.35,2309.93,3219.03,5528.96
"Capital","",2745.58,727.26,3472.84,3724.37,622.8,4347.17,2020.01,690.23,2710.24,3570.07,734.29,4304.36
"Chemicals and Petrochemicals","",927.15,339.04,1266.19,1757.0,45.62,1802.62,1637.0,110.22,1747.22,1200.0,143.01,1343.01
"Revenue","",927.15,337.94,1265.09,1717.0,44.5,1761.5,1608.27,110.22,1718.49,1190.0,142.98,1332.98
"Capital","","...",1.1,1.1,40.0,1.12,41.12,28.73,"...",28.73,10.0,0.03,10.03
"Fertilisers","",222.3,70746.89,70969.19,256.0,61000.0,61256.0,10.0,66000.0,66010.0,269.0,66000.0,66269.0
"Revenue","",4.81,70746.89,70751.7,12.0,60999.96,61011.96,9.95,65999.96,66009.91,15.56,65999.96,66015.52
"Capital","",217.49,"...",217.49,244.0,0.04,244.04,0.05,0.04,0.09,253.44,0.04,253.48
"Pharmaceuticals","",40.33,37.46,77.79,188.0,43.09,231.09,85.0,36.79,121.79,188.0,40.33,228.33
"Revenue","",35.12,37.46,72.58,168.0,43.04,211.04,75.0,36.79,111.79,158.34,40.29,198.63
"Capital","",5.21,"...",5.21,20.0,0.05,20.05,10.0,"...",10.0,29.66,0.04,29.7
"Civil Aviation","",1357.43,682.46,2039.89,4500.0,738.8,5238.8,6200.0,1008.72,7208.72,5200.0,682.18,5882.18
"Revenue","",137.02,682.46,819.48,344.18,738.8,1082.98,170.86,1008.72,1179.58,170.2,682.18,852.38
"Capital","",1220.41,"...",1220.41,4155.82,"...",4155.82,6029.14,"...",6029.14,5029.8,"...",5029.8
"Coal","",327.57,45.6,373.17,450.0,48.35,498.35,416.0,46.03,462.03,450.0,47.7,497.7
"Revenue","",327.57,45.64,373.21,450.0,48.35,498.35,416.0,46.03,462.03,450.0,47.7,497.7
"Capital","","...",-0.04,-0.04,"...","...","...","...","...","...","...","...","..."
"Commerce","",1794.86,2648.74,4443.6,2100.0,2923.0,5023.0,1800.0,2908.0,4708.0,2226.0,3165.0,5391.0
"Revenue","",1059.67,2648.74,3708.41,1128.32,2923.0,4051.32,973.85,2908.0,3881.85,1213.0,3165.0,4378.0
"Capital","",735.19,"...",735.19,971.68,"...",971.68,826.15,"...",826.15,1013.0,"...",1013.0
"Industrial Policy and Promotion","",1046.11,188.3,1234.41,1365.0,202.25,1567.25,1200.0,199.26,1399.26,1501.0,215.29,1716.29
"Revenue","",1044.87,188.3,1233.17,1291.9,202.25,1494.15,1128.4,199.26,1327.66,1198.0,215.29,1413.29
"Capital","",1.24,"...",1.24,73.1,"...",73.1,71.6,"...",71.6,303.0,"...",303.0
"Posts","",295.54,5720.61,6016.15,800.0,5737.12,6537.12,300.0,5843.06,6143.06,800.0,6727.09,7527.09
"Revenue","",89.61,5716.31,5805.92,194.23,5727.12,5921.35,97.4,5838.06,5935.46,376.69,6717.09,7093.78
"Capital","",205.93,4.3,210.23,605.77,10.0,615.77,202.6,5.0,207.6,423.31,10.0,433.31
"Telecommunications","",1891.42,5112.79,7004.21,4800.0,5294.04,10094.04,2393.0,5688.88,8081.88,5800.0,5903.14,11703.14
"Revenue","",1833.55,5112.79,6946.34,3293.34,5294.04,8587.38,805.7,5688.88,6494.58,3289.72,5903.14,9192.86
"Capital","",57.87,"...",57.87,1506.66,"...",1506.66,1587.3,"...",1587.3,2510.28,"...",2510.28
"Electronics and Information Technology","",2020.94,43.49,2064.43,3000.0,51.0,3051.0,2000.0,47.95,2047.95,3000.0,52.0,3052.0
"Revenue","",1881.51,43.49,1925.0,2826.53,51.0,2877.53,1847.5,47.95,1895.45,2820.5,52.0,2872.5
"Capital","",139.43,"...",139.43,173.47,"...",173.47,152.5,"...",152.5,179.5,"...",179.5
"Consumer Affairs","",172.79,304.56,477.35,241.0,361.29,602.29,150.0,331.3,481.3,241.0,315.9,556.9
"Revenue","",150.65,304.56,455.21,221.3,361.29,582.59,137.83,331.3,469.13,221.25,315.9,537.15
"Capital","",22.14,"...",22.14,19.7,"...",19.7,12.17,"...",12.17,19.75,"...",19.75
"Food and Public Distribution","",91.16,73708.96,73800.12,126.0,76141.16,76267.16,85.0,86141.16,86226.16,259.0,90775.55,91034.55
"Revenue","",29.22,73708.96,73738.18,74.2,76141.15,76215.35,61.42,86141.16,86202.58,217.47,90775.55,90993.02
