-----
{
 "description": "The table refers to District wise Distribution of Surface Flow Schemes according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.7.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.7.csv"
}
-----
"State","District","Government Funds","Farmer's saving","Loan & Saving","Subsidy & Bank loan","Subsidy only","Others","Total"
"ANDHRA PRADESH","ADILABAD",2438,198,35,12,436,3,3122
"ANDHRA PRADESH","ANANTHAPUR",2109,96,27,7,123,324,2686
"ANDHRA PRADESH","CHITTOOR",7667,60,78,21,0,1,7827
"ANDHRA PRADESH","CUDDAPAH",1959,4,1,0,114,10,2088
"ANDHRA PRADESH","EAST GODAVARI",1859,13,9,5,25,22,1933
"ANDHRA PRADESH","GUNTUR",135,39,5,7,12,36,234
"ANDHRA PRADESH","KARIMNAGAR",5312,1,0,0,5,0,5318
"ANDHRA PRADESH","KHAMMAM",2263,227,88,168,54,0,2800
"ANDHRA PRADESH","KRISHNA",745,114,76,46,29,21,1031
"ANDHRA PRADESH","KURNOOL",580,18,10,5,6,15,634
"ANDHRA PRADESH","MAHABOOBNAGAR",8339,23,15,1,0,120,8498
"ANDHRA PRADESH","MEDAK",5149,10,4,0,2,0,5165
"ANDHRA PRADESH","NALGONDA",4177,233,152,48,25,6,4641
"ANDHRA PRADESH","NELLORE",1596,7,9,20,30,38,1700
"ANDHRA PRADESH","NIZAMABAD",1989,6,13,4,3,2,2017
"ANDHRA PRADESH","PRAKASAM",764,331,14,8,5,4,1126
"ANDHRA PRADESH","RANGAREDDY",1325,195,16,20,12,13,1581
"ANDHRA PRADESH","SRIKAKULAM",7499,75,90,40,39,1,7744
"ANDHRA PRADESH","VISAKHAPATNAM",4706,150,41,21,77,1239,6234
"ANDHRA PRADESH","VIZIANAGARAM",9330,57,56,8,40,27,9518
"ANDHRA PRADESH","WARANGAL",1901,281,58,197,49,2523,5009
"ANDHRA PRADESH","WEST GODAVARI",1514,23,0,0,0,0,1537
"ARUNACHAL PRADESH","CHANGLANG",184,102,0,5,3,2,296
"ARUNACHAL PRADESH","DIBANG VALLEY",88,38,0,0,1,0,127
"ARUNACHAL PRADESH","EAST KAMENG",179,4,0,0,0,1,184
"ARUNACHAL PRADESH","EAST SIANG",116,632,1,1,84,71,905
"ARUNACHAL PRADESH","LOHIT",67,0,0,0,1,0,68
"ARUNACHAL PRADESH","LOWER SUBANSIRI",553,22,1,0,9,0,585
"ARUNACHAL PRADESH","PAPUMPARE",93,88,1,0,7,16,205
"ARUNACHAL PRADESH","TAWANG",90,18,0,0,0,0,108
"ARUNACHAL PRADESH","TIRAP",82,47,0,0,0,0,129
"ARUNACHAL PRADESH","UPPER SIANG",97,420,1,0,28,0,546
"ARUNACHAL PRADESH","UPPER SUBANSIRI",89,255,20,3,81,37,485
"ARUNACHAL PRADESH","WEST KAMENG",69,0,0,0,1,0,70
"ARUNACHAL PRADESH","WEST SIANG",194,51,0,0,0,0,245
"ASSAM","BARPETA",59,0,12,0,0,0,71
"ASSAM","BONGAIGAON",10,21,2,79,1,2,115
"ASSAM","CACHAR",24,1,0,1,0,1,27
"ASSAM","DARRANG",486,22,35,4,90,2,639
"ASSAM","DHUBRI",6,62,0,0,0,0,68
"ASSAM","GOALPARA",32,14,1,2,3,11,63
"ASSAM","GOLAGHAT",0,89,15,29,76,0,209
"ASSAM","HAILAKANDI",2,0,0,0,0,0,2
"ASSAM","JORHAT",3,0,0,5,21,11,40
"ASSAM","KAMRUP",41,3,0,0,0,0,44
"ASSAM","KARBIANGLONG",191,42,6,3,20,10,272
"ASSAM","KARIMGANJ",1,0,0,0,0,0,1
"ASSAM","KOKRAJHAR",41,172,0,1,20,10,244
"ASSAM","LAKHIMPUR",10,0,14,0,0,0,24
"ASSAM","MORIGAON",1,0,0,0,0,1,2
"ASSAM","NAGOAN",11,2,4,4,0,3,24
"ASSAM","NALBARI",25,1,0,0,0,2,28
"ASSAM","NC HILLS",174,91,10,0,0,0,275
"ASSAM","SIBSAGAR",4,0,2,0,0,1,7
"ASSAM","SONITPUR",46,3,1,1,0,0,51
"BIHAR","ARARIA",2,112,0,0,0,0,114
"BIHAR","AURANGABAD",727,175,173,554,58,6,1693
"BIHAR","BANKA",1003,90,77,924,158,11,2263
"BIHAR","BEGUSARAI",4,55,0,0,73,0,132
"BIHAR","BHAGALPUR",254,25,9,94,123,17,522
"BIHAR","BHOJPUR",39,21,0,40,24,0,124
"BIHAR","BUXAR",6,0,0,63,0,0,69
"BIHAR","EAST CHAMPARAN",0,0,0,32,6,0,38
"BIHAR","GAYA",4277,75,133,2326,444,9,7264
"BIHAR","GOPAALGANJ",18,0,0,10,1,1,30
"BIHAR","JAMUI",766,63,86,1294,289,24,2522
"BIHAR","JEHANABAD",448,45,20,39,47,4,603
"BIHAR","KAIMUR (BHABUA)",454,609,28,230,73,7,1401
"BIHAR","KATIHAR",1,0,0,0,0,0,1
"BIHAR","LAKHISARAI",135,9,30,77,15,0,266
"BIHAR","MADHEPURA",0,0,0,1,0,0,1
"BIHAR","MADHUBANI",401,4,37,6,12,1,461
"BIHAR","MUNGER",87,9,2,38,29,1,166
"BIHAR","MUZAFFARPUR",1,0,0,0,23,0,24
"BIHAR","NALANDA",182,8,33,83,11,3,320
"BIHAR","NAWADA",705,328,790,771,212,53,2859
"BIHAR","PATNA",154,1,4,111,1,27,298
"BIHAR","ROHTAS(SASARAM)",232,6,12,130,29,8,417
"BIHAR","SARAN",7,48,0,0,7,0,62
"BIHAR","SHEKHPURA",70,0,15,49,13,4,151
"BIHAR","SITAMARHI",3,13,0,1,0,0,17
"BIHAR","SIWAN",75,0,0,10,4,0,89
"BIHAR","SUPAUL",75,12,0,0,0,0,87
"BIHAR","VAISHALI",1,0,0,0,1,0,2
"BIHAR","WEST CHAMPARAN",23,178,0,0,4,0,205
"CHHATTISGARH","BASTER",407,843,19,104,581,459,2413
"CHHATTISGARH","BILASPUR",1301,28,126,4,5,34,1498
"CHHATTISGARH","DANTEWADA",124,55,6,7,278,33,503
"CHHATTISGARH","DHAMTARI",88,3,21,1,574,2,689
"CHHATTISGARH","DURG",459,41,5,15,828,26,1374
"CHHATTISGARH","JANJGIR-CHAMPA",13395,239,19,3,51,201,13908
"CHHATTISGARH","JASHPUR",1583,179,4,3,7,79,1855
"CHHATTISGARH","KANKER",84,7,1,1,100,3,196
"CHHATTISGARH","KORBA",7398,1013,46,109,59,366,8991
"CHHATTISGARH","KORIA",1380,44,4,7,4,19,1458
"CHHATTISGARH","KVARDHA",1651,5,71,1,1784,3,3515
"CHHATTISGARH","MAHASAMUND",664,185,3,14,820,17,1703
"CHHATTISGARH","RAIGARH",5496,942,31,7,24,920,7420
"CHHATTISGARH","RAIPUR",1503,71,12,11,1306,150,3053
"CHHATTISGARH","RAJNANDGAON",523,91,19,72,365,42,1112
"CHHATTISGARH","SURGUJA",1404,157,16,30,7,147,1761
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",28,4,1,13,0,0,46
"DELHI","ALIPUR",0,55,0,0,0,0,55
"GOA","NORTH GOA",579,1033,10,12,6,1176,2816
"GOA","SOUTH GOA",80,827,19,4,40,75,1045
"GUJARAT","AHMEDABAD",890,1076,27,23,142,336,2494
"GUJARAT","AMRELI",345,0,0,0,0,1,346
"GUJARAT","BANASKANTHA",242,0,0,114,4,4,364
"GUJARAT","BHARUCH",193,1,0,0,0,0,194
"GUJARAT","BHAVNAGAR",825,0,0,0,0,0,825
"GUJARAT","DAHOD",293,0,3,452,2,0,750
"GUJARAT","DANG",225,0,0,0,0,0,225
"GUJARAT","GANDHINAGAR",2,0,0,0,0,0,2
"GUJARAT","JAMNAGAR",986,0,0,0,30,0,1016
"GUJARAT","JUNAGADH",1915,0,0,0,1,0,1916
"GUJARAT","KACHCHH",642,3,0,5,20,82,752
"GUJARAT","KHEDA",26,0,0,0,0,0,26
"GUJARAT","MEHSANA",199,0,0,0,2,0,201
"GUJARAT","NARMADA",101,0,0,0,0,0,101
"GUJARAT","NAVSARI",131,0,0,0,0,0,131
"GUJARAT","PANCHMAHAL",372,1,0,0,1,0,374
"GUJARAT","PATAN",257,0,0,0,2,5,264
"GUJARAT","PORBANDAR",509,2,0,0,1,0,512
"GUJARAT","RAJKOT",2456,52,23,3,46,929,3509
"GUJARAT","SABARKANTHA",547,1,11,260,0,0,819
"GUJARAT","SURAT",321,0,0,0,0,0,321
"GUJARAT","SURENDRANAGAR",2690,32,87,57,156,2,3024
"GUJARAT","VADODARA",328,1,2,3,41,1,376
"GUJARAT","VALSAD",183,0,0,0,1,0,184
"HARYANA","AMBALA",2,5,0,0,0,0,7
"HARYANA","BHIWANI",1,87,0,0,1,0,89
"HARYANA","GURGAON",0,0,0,0,7,0,7
"HARYANA","KARNAL",2,383,0,0,0,0,385
"HARYANA","PANCHKULA",37,86,56,1,36,47,263
"HARYANA","REWARI",20,0,0,0,0,0,20
"HIMACHAL PRADESH","Bilaspur",141,290,19,6,17,416,889
"HIMACHAL PRADESH","Chamba",68,211,0,6,0,332,617
"HIMACHAL PRADESH","Hamirpur",25,53,1,0,0,125,204
"HIMACHAL PRADESH","Kangra",45,560,30,38,50,1150,1873
"HIMACHAL PRADESH","Kinnaur",77,26,0,0,0,132,235
"HIMACHAL PRADESH","Kullu",33,28,3,2,0,53,119
"HIMACHAL PRADESH","Lahul & Spiti",4,375,0,0,0,195,574
"HIMACHAL PRADESH","Mandi",104,974,3,0,5,2951,4037
"HIMACHAL PRADESH","Shimla",30,469,3,8,1,840,1351
"HIMACHAL PRADESH","Sirmaur",67,842,16,5,32,981,1943
"HIMACHAL PRADESH","Solan",228,344,19,6,36,1343,1976
"HIMACHAL PRADESH","Una",8,59,1,1,1,41,111
"JAMMU & KASHMIR","ANANTNAG",290,304,2,79,9,53,737
"JAMMU & KASHMIR","BADGAM",82,71,74,21,18,162,428
"JAMMU & KASHMIR","BARAMULLA",227,101,5,24,30,243,630
"JAMMU & KASHMIR","DODA",130,68,7,17,0,103,325
"JAMMU & KASHMIR","JAMMU",6,0,0,0,0,0,6
"JAMMU & KASHMIR","KARGIL",0,356,0,0,0,0,356
"JAMMU & KASHMIR","KATHUA",139,145,9,5,91,89,478
"JAMMU & KASHMIR","KUPWARA",106,224,10,0,0,296,636
"JAMMU & KASHMIR","LEH",90,28,2,0,0,0,120
"JAMMU & KASHMIR","POONCH",27,46,0,0,1,103,177
"JAMMU & KASHMIR","PULWAMA",259,239,0,1,6,150,655
"JAMMU & KASHMIR","RAJOURI",87,51,44,123,43,77,425
"JAMMU & KASHMIR","SRINAGAR",79,26,1,12,13,146,277
"JAMMU & KASHMIR","UDHAMPUR",144,117,25,25,23,279,613
"JHARKHAND","BOKARO",722,231,45,322,63,17,1400
"JHARKHAND","CHATRA",1654,23,49,517,29,0,2272
"JHARKHAND","DEOGHAR",2683,1382,133,912,221,8,5339
"JHARKHAND","DHANBAD",719,343,122,147,51,2,1384
"JHARKHAND","DUMKA",1024,598,163,1082,530,2,3399
"JHARKHAND","GARHWA",619,107,26,1372,596,20,2740
"JHARKHAND","GIRIDIH",868,197,80,448,360,5,1958
"JHARKHAND","GODDA",236,56,63,587,37,0,979
"JHARKHAND","GUMLA",263,70,2,272,219,23,849
"JHARKHAND","HAZARIBAGH",746,55,32,136,39,12,1020
"JHARKHAND","JAMTARA",644,489,173,1487,648,13,3454
"JHARKHAND","KODERMA",203,0,3,180,10,0,396
"JHARKHAND","LATEHAR",509,61,29,1279,495,28,2401
"JHARKHAND","LOHARDAGA",1,2,1,0,0,0,4
"JHARKHAND","PAKUR",459,160,91,696,296,33,1735
"JHARKHAND","PALAMU",3428,18,64,1628,823,3,5964
"JHARKHAND","RANCHI",149,23,4,106,10,0,292
"JHARKHAND","SAHEBGANJ",593,94,40,391,426,2,1546
"JHARKHAND","SARAIKELA",696,639,26,569,872,19,2821
"JHARKHAND","SIMDEGA",227,11,9,139,81,2,469
"JHARKHAND","WEST SINGHBHUM",255,53,10,2430,55,3,2806
"KARNATAKA","Bagalkote",29,26,10,4,5,3,77
"KARNATAKA","Bangalore",355,15,1,41,15,90,517
"KARNATAKA","Bangalore Rural",763,219,6,51,39,62,1140
"KARNATAKA","Belgaum",280,11,8,33,1,21,354
"KARNATAKA","Bellary",65,8,1,11,6,13,104
"KARNATAKA","Bidar",978,232,335,5,2,4,1556
"KARNATAKA","Bijapur",86,30,0,0,15,131,262
"KARNATAKA","Chamaraja Nagara",25,11,2,3,0,55,96
"KARNATAKA","Chikmagalur",1098,236,316,144,71,73,1938
"KARNATAKA","Chitradurga",123,0,1,10,3,20,157
"KARNATAKA","Dakshina Kannada",456,617,103,5,39,154,1374
"KARNATAKA","Davanagere",71,312,202,7,0,68,660
"KARNATAKA","Dharwar",68,26,27,14,5,709,849
"KARNATAKA","Gadag",31,2,0,3,1,0,37
"KARNATAKA","Gulbarga",373,67,3,31,40,24,538
"KARNATAKA","Hassan",2528,43,13,155,522,1152,4413
"KARNATAKA","Haveri",607,427,293,125,92,155,1699
"KARNATAKA","Kodagu",418,227,59,74,9,76,863
"KARNATAKA","Kolar",2348,218,29,559,87,297,3538
"KARNATAKA","Koppal",48,4,0,1,4,1,58
"KARNATAKA","Mandya",248,16,4,18,29,48,363
"KARNATAKA","Mysore",168,12,54,111,100,55,500
"KARNATAKA","Raichur",103,29,0,59,74,264,529
"KARNATAKA","Shimoga",3606,183,76,161,74,617,4717
"KARNATAKA","Tumkur",1055,21,11,25,24,125,1261
"KARNATAKA","Udupi",707,498,45,37,60,212,1559
"KARNATAKA","Uttara Kannada",459,588,91,81,158,237,1614
"KERALA","ALAPPUZHA",90,107,2,0,39,51,289
"KERALA","ERANAKULAM",345,43,50,28,54,47,567
"KERALA","IDDUKKI",373,7,8,23,7,2,420
"KERALA","KANNUR",726,66,60,2,0,4,858
"KERALA","KASARAGODE",621,23,34,8,10,1,697
"KERALA","KOLLAM",500,8,5,2,0,3,518
"KERALA","KOTTAYAM",167,126,44,145,35,16,533
"KERALA","KOZHIKODE",227,105,17,21,0,7,377
"KERALA","MALAPPURAM",777,152,21,29,18,32,1029
"KERALA","PALAKKAD",496,1238,130,56,32,347,2299
"KERALA","PATHANAMTHITTA",185,15,6,19,0,24,249
"KERALA","THIRUVANANTHAPURAM",1216,266,15,61,40,83,1681
"KERALA","THRISSUR",430,307,37,31,82,35,922
"KERALA","WAYANAD",405,40,11,11,22,29,518
"MADHYA PRADESH","BALAGHAT",5156,1506,50,125,51,139,7027
"MADHYA PRADESH","BARWANI",1148,307,10,0,0,0,1465
"MADHYA PRADESH","BETUL",3665,1210,40,10,267,50,5242
"MADHYA PRADESH","BHIND",17,0,1,26,0,0,44
"MADHYA PRADESH","BHOPAL",118,307,8,60,3,208,704
"MADHYA PRADESH","CHHATARPUR",1363,596,6,30,229,744,2968
"MADHYA PRADESH","CHHINDWARA",752,297,34,2,0,71,1156
"MADHYA PRADESH","DAMOH",749,740,145,102,238,280,2254
"MADHYA PRADESH","DATIA",3,0,0,0,2,2,7
"MADHYA PRADESH","DEWAS",297,350,8,3,0,7,665
"MADHYA PRADESH","DHAR",833,357,11,0,16,80,1297
"MADHYA PRADESH","GUNA",2243,1010,88,13,60,416,3830
"MADHYA PRADESH","GWALIOR",114,46,0,30,18,268,476
"MADHYA PRADESH","HARDA",62,47,5,1,0,38,153
"MADHYA PRADESH","HOSHANGABAD",550,119,3,36,0,0,708
"MADHYA PRADESH","INDORE",439,0,0,0,0,0,439
"MADHYA PRADESH","JABALPUR",206,53,7,1,0,254,521
"MADHYA PRADESH","JHABUA",482,748,19,26,2,66,1343
"MADHYA PRADESH","KATNI",2145,212,183,51,8,114,2713
"MADHYA PRADESH","KHANDWA",254,110,34,1,0,41,440
"MADHYA PRADESH","KHARGONE",498,158,55,5,1,299,1016
"MADHYA PRADESH","MANDLA",50,44,7,0,0,24,125
"MADHYA PRADESH","MANDSAUR",56,20,1,1,0,0,78
"MADHYA PRADESH","MORENA",126,0,0,0,0,0,126
"MADHYA PRADESH","NARSINGHPUR",506,255,33,2,1,16,813
"MADHYA PRADESH","NEEMUCH",20,3,0,0,9,8,40
"MADHYA PRADESH","PANNA",2482,445,78,88,163,390,3646
"MADHYA PRADESH","RAISEN",5,1,0,1,1,0,8
"MADHYA PRADESH","RAJGARH",792,99,1,3,211,4,1110
"MADHYA PRADESH","RATLAM",1844,422,9,4,3,110,2392
"MADHYA PRADESH","REWA",83,160,1,13,0,112,369
"MADHYA PRADESH","SAGAR",442,557,18,143,5,531,1696
"MADHYA PRADESH","SATNA",138,40,5,4,0,17,204
"MADHYA PRADESH","SEHORE",262,85,13,20,0,12,392
"MADHYA PRADESH","SEONI",511,213,23,26,8,33,814
"MADHYA PRADESH","SHAHDOL",1375,409,30,2,11,435,2262
"MADHYA PRADESH","SHAJAPUR",322,142,47,0,0,1,512
"MADHYA PRADESH","SHEOPUR",381,3,22,85,1,152,644
"MADHYA PRADESH","SHIVPURI",1418,1287,56,200,35,155,3151
"MADHYA PRADESH","SIDHI",70,14,8,5,0,44,141
"MADHYA PRADESH","TIKAMGARH",915,248,201,2,40,216,1622
"MADHYA PRADESH","UJJAIN",185,76,9,1,1,46,318
"MADHYA PRADESH","UMARIA",236,34,8,0,0,0,278
"MADHYA PRADESH","VIDISHA",758,368,7,8,0,374,1515
"MAHARASHTRA","AHMEDNAGAR",189,958,511,2353,145,88,4244
"MAHARASHTRA","AKOLA",1873,11,60,6574,4701,14,13233
"MAHARASHTRA","AMRAVATI",208,6,0,145,55,0,414
"MAHARASHTRA","AURANGABAD",266,0,0,0,0,0,266
"MAHARASHTRA","BEED",314,415,58,133,214,0,1134
"MAHARASHTRA","BHANDARA",119,9,33,196,150,47,554
"MAHARASHTRA","BULDANA",969,3,8,15,188,0,1183
"MAHARASHTRA","CHANDRAPUR",581,76,311,252,117,0,1337
"MAHARASHTRA","DHULE",289,29,35,291,10,262,916
"MAHARASHTRA","GADCHIROLI",1259,13,22,2691,1098,234,5317
"MAHARASHTRA","GONDIYA",85,1,89,368,47,86,676
"MAHARASHTRA","HINGOLI",19,0,0,6,6,0,31
"MAHARASHTRA","JALGAON",150,0,5,1,30,0,186
"MAHARASHTRA","JALNA",30,0,0,0,0,0,30
"MAHARASHTRA","KOLHAPUR",188,3,0,12,0,0,203
"MAHARASHTRA","LATUR",301,544,1,264,80,0,1190
"MAHARASHTRA","NAGPUR",70,162,18,49,6,8,313
"MAHARASHTRA","NANDED",54,44,22,63,64,3,250
"MAHARASHTRA","NANDURBAR",451,0,9,475,1,642,1578
"MAHARASHTRA","NASHIK",3284,292,247,782,1,664,5270
"MAHARASHTRA","OSMANABAD",400,63,48,124,512,150,1297
"MAHARASHTRA","PARBHANI",16,0,0,6,0,0,22
"MAHARASHTRA","PUNE",2705,2665,199,4340,0,0,9909
"MAHARASHTRA","RAIGHAR",116,2,37,120,6,0,281
"MAHARASHTRA","RATNAGIRI",424,332,16,340,151,0,1263
"MAHARASHTRA","SANGLI",557,142,38,495,2250,101,3583
"MAHARASHTRA","SATARA",5189,103,682,1796,526,0,8296
"MAHARASHTRA","SINDHUDURGA",109,2,248,293,12,2,666
