-----
{
 "description": "The table refers to Village wise Construction of Dugwells over the years. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "tab1.1.csv", 
 "title": "Download CSV for Villagewise Construction of Dugwells over the years(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/tab1.1.csv"
}
-----
-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes (on Stream) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.17.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes (on Stream) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.17.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. in use - Public,No. in use - Private,No. in use - Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Potential created (Ha) - Total,Potential utilised (Ha) - Public,Potential utilised (Ha) - Private,Potential utilised (Ha) - Total
ANDHRA PRADESH,GUNTUR,CHEBROLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,0,47,47,0,91,91,0,51,51
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,1,48,49,55,120,175,55,119,174
ANDHRA PRADESH,GUNTUR,DACHEPALLE,0,86,86,0,258,258,0,258,258
ANDHRA PRADESH,GUNTUR,EDLAPADU,0,15,15,0,39,39,0,27,27
ANDHRA PRADESH,GUNTUR,GUNTUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,IPURU,1,0,1,85,0,85,81,0,81
ANDHRA PRADESH,GUNTUR,KAKUMANU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,KARLAPALEM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,KOLLUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,KROSURU,1,100,101,63,1123,1186,63,802,865
ANDHRA PRADESH,GUNTUR,MACHAVARAM,1,0,1,59,0,59,48,0,48
ANDHRA PRADESH,GUNTUR,MACHERLA,0,1,1,0,11,11,0,6,6
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,0,4,4,0,333,333,0,263,263
ANDHRA PRADESH,GUNTUR,MUPPALLA,0,20,20,0,86,86,0,86,86
ANDHRA PRADESH,GUNTUR,NADENDLA,5,14,19,306,170,476,306,169,475
ANDHRA PRADESH,GUNTUR,NAGARAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,6,27,33,361,267,627,361,267,627
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,NUZENDLA,0,82,82,0,1086,1086,0,1020,1020
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,PEDAKURAPADU,4,2,6,271,13,284,81,0,81
ANDHRA PRADESH,GUNTUR,PEDANANDIPADU,0,1,1,0,191,191,0,94,94
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,1,1,2,91,2,93,51,2,53
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,PONNUR,0,1,1,0,2,2,0,0,0
ANDHRA PRADESH,GUNTUR,RAJUPALEM,15,19,34,28,56,84,26,56,83
ANDHRA PRADESH,GUNTUR,REPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,2,96,98,148,423,572,24,397,421
ANDHRA PRADESH,GUNTUR,SAVALYAPURAM,1,20,21,20,184,204,20,184,204
ANDHRA PRADESH,GUNTUR,TADIKONDA,0,3,3,0,56,56,0,56,56
ANDHRA PRADESH,GUNTUR,THADEPALLE,0,62,62,0,203,203,0,203,203
ANDHRA PRADESH,GUNTUR,VATTICHERUKURU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,VEMURU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,VINUKONDA,0,177,177,0,784,784,0,784,784
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,0,3,3,0,114,114,0,56,56
ANDHRA PRADESH,KARIMNAGAR,ELEGADE,0,36,36,0,154,154,0,154,154
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,0,13,13,0,34,34,0,21,21
ANDHRA PRADESH,KARIMNAGAR,JULAPALLE,0,32,32,0,90,90,0,90,90
ANDHRA PRADESH,KARIMNAGAR,KAMANPUR,0,116,116,0,250,250,0,201,201
ANDHRA PRADESH,KARIMNAGAR,MALHARRAO,2,0,2,324,0,324,71,0,71
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,MUTHARAM MANTHANI,0,63,63,0,254,254,0,212,212
ANDHRA PRADESH,KARIMNAGAR,ODELA,0,4,4,0,38,38,0,38,38
ANDHRA PRADESH,KARIMNAGAR,SRIRAMPUR,0,27,27,0,103,103,0,103,103
ANDHRA PRADESH,KARIMNAGAR,SULTANABAD,0,12,12,0,46,46,0,45,45
ANDHRA PRADESH,KARIMNAGAR,THIMMAPUR,6,5,11,372,36,408,163,23,186
ANDHRA PRADESH,KARIMNAGAR,VELGATOOR,0,56,56,0,171,171,0,123,123
ANDHRA PRADESH,KARIMNAGAR,YELLA REDDI PETA,0,28,28,0,32,32,0,32,32
ANDHRA PRADESH,KHAMMAM,ASWAPURAM,0,36,36,0,87,87,0,87,87
ANDHRA PRADESH,KHAMMAM,ASWARAOPETA,1,15,16,8,33,41,4,20,24
ANDHRA PRADESH,KHAMMAM,BAYYARAM,9,13,22,148,43,191,148,43,191
ANDHRA PRADESH,KHAMMAM,BHADRACHALAM,1,9,10,10,18,28,10,18,28
ANDHRA PRADESH,KHAMMAM,BONAKAL,0,106,106,0,204,204,0,193,193
ANDHRA PRADESH,KHAMMAM,BURGAMPADU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,CHANDRUGONDA,0,1,1,0,2,2,0,2,2
ANDHRA PRADESH,KHAMMAM,CHERLA,0,2,2,0,89,89,0,89,89
ANDHRA PRADESH,KHAMMAM,CHINTHAKANI,2,0,2,57,0,57,57,0,57
ANDHRA PRADESH,KHAMMAM,CHINTUR,0,94,94,0,161,161,0,121,121
