-----
{
 "description": "The table refers to Block wise Distribution of Shallow Tubewells by Status. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.6.csv", 
 "title": "Download CSV for Blockwise Distribution of Shallow Tubewells by Status", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.6.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,In use,Not in use - Temporarily,Not in use - Salinity,Not in use - Dried up,Not in use - Destroyed,Not in use - Others,Total - Not in Use,Grand Total (Use + Not in Use)
ANDHRA PRADESH,ADILABAD,ADILABAD,171,3,9,1,20,0,33,204
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,140,0,0,0,0,0,0,140
ANDHRA PRADESH,ADILABAD,BEJJUR,0,0,16,0,1,0,17,17
ANDHRA PRADESH,ADILABAD,BELA,6,0,0,0,0,0,0,6
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,3,0,0,0,0,0,0,3
ANDHRA PRADESH,ADILABAD,BHAINSA,1762,2,0,7,1,0,10,1772
ANDHRA PRADESH,ADILABAD,BHEEMINI,2,52,0,0,0,0,52,54
ANDHRA PRADESH,ADILABAD,BOATH,726,0,3,0,1,0,4,730
ANDHRA PRADESH,ADILABAD,CHENNUR,287,0,0,0,0,0,0,287
ANDHRA PRADESH,ADILABAD,DAHEGAON,53,0,0,0,0,0,0,53
ANDHRA PRADESH,ADILABAD,DILAWARPUR,1081,2,1,0,6,1,10,1091
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,107,0,0,0,0,0,0,107
ANDHRA PRADESH,ADILABAD,ICHODA,358,4,1,1,2,2,10,368
ANDHRA PRADESH,ADILABAD,INDERAVELLY,64,0,0,0,1,0,1,65
ANDHRA PRADESH,ADILABAD,JAINAD,140,0,0,0,1,0,1,141
ANDHRA PRADESH,ADILABAD,JAIPUR,130,0,0,0,0,0,0,130
ANDHRA PRADESH,ADILABAD,KERAMERI,5,4,0,0,0,0,4,9
ANDHRA PRADESH,ADILABAD,KOTAPALLE,488,2,0,0,0,0,2,490
ANDHRA PRADESH,ADILABAD,KOUTHALA,33,0,0,0,0,0,0,33
ANDHRA PRADESH,ADILABAD,KUBEER,609,1,0,1,0,0,2,611
ANDHRA PRADESH,ADILABAD,KUNTALA,1276,7,3,1,3,0,14,1290
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,159,0,0,0,5,0,5,164
ANDHRA PRADESH,ADILABAD,LOHESRA,1507,0,1,1,1,0,3,1510
ANDHRA PRADESH,ADILABAD,MAMDA,702,0,0,172,0,0,172,874
ANDHRA PRADESH,ADILABAD,MANCHERIAL,14,0,0,0,0,0,0,14
ANDHRA PRADESH,ADILABAD,MUDHOLE,1305,0,3,15,2,0,20,1325
ANDHRA PRADESH,ADILABAD,NARNOOR,80,5,5,3,1,0,14,94
ANDHRA PRADESH,ADILABAD,NERADIGONDA,260,0,0,0,10,0,10,270
ANDHRA PRADESH,ADILABAD,NIRMAL,455,0,0,0,1,0,1,456
ANDHRA PRADESH,ADILABAD,REBBANA,6,4,0,0,0,0,4,10
ANDHRA PRADESH,ADILABAD,SARANGAPUR,1630,0,0,0,0,0,0,1630
ANDHRA PRADESH,ADILABAD,TALAMADUGU,277,0,2,0,0,0,2,279
ANDHRA PRADESH,ADILABAD,TAMSI,193,0,1,1,0,10,12,205
ANDHRA PRADESH,ADILABAD,TANDUR,17,0,0,0,0,0,0,17
ANDHRA PRADESH,ADILABAD,TANUR,596,0,0,0,0,0,0,596
ANDHRA PRADESH,ADILABAD,UTNUR,43,0,0,0,0,0,0,43
ANDHRA PRADESH,ADILABAD,VEMANPALLE,102,0,0,0,2,0,2,104
ANDHRA PRADESH,ADILABAD,WANKDI,1,0,0,0,0,0,0,1
ANDHRA PRADESH,ANANTHAPUR,AGALI,710,3,3,1,4,0,11,721
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,286,0,0,0,0,0,0,286
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,344,1,0,0,0,0,1,345
