-----
{
 "description": "This table gives an overview of Physical Achievements under NHDP during 11th Five Year Plan.", 
 "file_name": "Physical_Achievements_Under_NHDP.xls", 
 "title": "Download XLS for Physical Achievements Under NHDP During 11th Five Year Plan", 
 "url": "http://data.gov.in/sites/default/files/Physical_Achievements_Under_NHDP.xls"
}
-----
"NHDP Phases","Total length completed (km)"
"NHDP Phase I",639.0
"NHDP Phase II",5210.0
"NHDP Phase III",3599.0
"NHDP Phase V",913.0
"NHDP Phase VII",13.0
"Other Projects",235.0
"Total",10609.0
