-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "RajasthanNSDPcurrent.csv", 
 "title": "Download CSV for Rajasthan Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/RajasthanNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","958726","1273551","1384445","1892953","1935866","2194349","2040518","1736327","2088222","1340370","2566925","2297763","2547031"
"Foresty and Logging","57516","59674","67130","71430","77529","83508","90631","101257","120224","118513","125215","126242","127706"
"Fishing","3330","4219","4015","5239","5544","4221","4879","4785","5866","4846","5351","6742","7981"
"Mining and Quarrying","56016","62903","76797","68687","99325","123102","143639","150980","147575","150209","184067","210189","240588"
"Sub total of primary","1075588","1400347","1532387","2038309","2118264","2405180","2279667","1993349","2361887","1613938","2881558","2640936","2923306"
"Manufacturing","324001","493265","601977","635896","724682","752757","899289","909742","912348","909520","957546","1118502","1233321"
"Registered","149892","260783","317679","301309","384769","362681","492059","510118","459169","442760","478765","579450","650665"
"Unregistered","174109","232482","284298","334587","339913","390076","407230","399624","453179","466760","478781","539052","582656"
"Construction","283963","340903","389996","455910","569589","589452","724020","706015","800603","912913","1018530","1194153","1404534"
"Electricity, Gas and water Supply","68744","74282","79679","79890","111808","255528","220904","242110","262532","301395","347800","374695","408317"
"Sub total of secondary","676708","908450","1071652","1171696","1406079","1597737","1844213","1857867","1975483","2123828","2323876","2687350","3046172"
"Transport Storage and Communication","120740","151061","172824","190425","227605","268841","297619","373140","321530","408615","464916","539859","628498"
"Railways","41296","54343","62983","66924","71107","60557","62433","65779","81090","103643","102034","118880","138507"
"Transport by other means","56389","66868","76179","82364","106669","126918","155577","214765","141623","206291","243186","274332","310210"
"Storage","2720","3203","3681","3988","4417","7084","7623","9172","10482","10836","10920","12555","14481"
"Communication","20335","26647","29981","37149","45412","74282","71986","83424","88335","87845","108776","134092","165300"
"Trade, hotels and restaurants","417843","503243","599540","762297","844388","944744","988546","1069853","1237218","1118811","1381864","1418257","1506729"
"Banking and Insurance","93599","108601","137383","174030","193659","209769","231768","258000","295694","375074","409283","478247","558831"
"Real estate, ownership of dwelling and business","180869","193023","197778","209862","254499","285557","326667","358737","443922","493857","523223","551825","579272"
"Pubic Administration","113550","128701","150379","173316","204023","281255","308166","330777","346109","364543","399138","427721","456700"
"Other Services","218792","279893","307053","378711","442637","566551","672488","748085","827054","887720","1000777","1113134","1262813"
"Sub total of tertiary","1145393","1364522","1564957","1888641","2166811","2556717","2825254","3138592","3471527","3648620","4179201","4529043","4992843"
"State domestic product","2897690","3673319","4168996","5098646","5691154","6559636","6949133","6989807","7808896","7386385","9384637","9857330","10962321"

"Figures are in Rs. Lakh"
