-----
{
 "description": "This data provides details of Hon\u2019ble Members of the Third Lok Sabha from 2nd April 1962 to 3rd March 1967. It consists of name of members, constituency name, state name and party name.", 
 "file_name": "Members_of_Third_Lok_Sabha_From_2nd_April_1962_to_3rd_March_1967.xls", 
 "title": "Download XLS for Members of Third Lok Sabha from 2nd April 1962 to 3rd March 1967", 
 "url": "http://data.gov.in/sites/default/files/Members_of_Third_Lok_Sabha_From_2nd_April_1962_to_3rd_March_1967.xls"
}
-----
"Lok Sabha","Member Name","Gender","Constituency Name","State Name","Party Name"
"Third Lok Sabha","Shri P.H.D. Bheel","Male","Dohad-ST                                                                                            ","Gujarat                                                     ","Swatantra Party"
"Third Lok Sabha","Shri Bibhuti Mishra","Male","Motihari                                                                                            ","Bihar                                                       ","Congress"
"Third Lok Sabha","Major Raja Bahadur Birendra Bahadur Singh","Male","Rajnandgaon                                                                                         ","Madhya Pradesh                                              ","Congress"
"Third Lok Sabha","Shri Jang Bahadur Singh Bisht","Male","Almora                                                                                              ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri Rajagopala Rao Boddiapalli","Male","Srikakulam                                                                                          ","Andhra Pradesh                                              ","Congress"
"Third Lok Sabha","Shri Prafulla Chandra Borooah","Male","Sibsagar                                                                                            ","Assam                                                       ","Congress"
"Third Lok Sabha","Chowdhury Brahm Perkash","Male","Outer Delhi-SC                                                                                      ","Delhi                                                       ","Congress"
"Third Lok Sabha","Shri Brajeshwar Prasad","Male","Gaya-SC                                                                                             ","Bihar                                                       ","Congress"
"Third Lok Sabha","Shri Brij Basi Lal","Male","Faizabad                                                                                            ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri Brijraj Singh","Male","Jhalawar                                                                                            ","Rajasthan                                                   ","Congress"
"Third Lok Sabha","Sardar Buta Singh","Male","Moga-SC                                                                                             ","Punjab                                                      ","Akali Dal"
"Third Lok Sabha","Shri P.R. Chakravarti","Male","Dhanbad                                                                                             ","Bihar                                                       ","Congress"
"Third Lok Sabha","Smt. Renu Chakravartty","Female","Barrackpore                                                                                         ","West Bengal                                                 ","Communist Party"
"Third Lok Sabha","Smt. Jyotsna Chanda","Female","Cachar-SC                                                                                           ","Assam                                                       ","Congress"
"Third Lok Sabha","Shri BHikulal Lachhimichand Chandak","Male","Chhindwara                                                                                          ","Madhya Pradesh                                              ","Congress"
"Third Lok Sabha","Dr. Chandrabhan Singh","Male","Bilaspur-SC                                                                                         ","Madhya Pradesh                                              ","Congress"
"Third Lok Sabha","Smt. Maragatham Chandrasekhar","Female","Mayuram-SC                                                                                          ","Madras                                                      ","Congress"
"Third Lok Sabha","Shri Jagannath Rao Chandriki","Male","Raichur                                                                                             ","Mysore                                                      ","Congress"
"Third Lok Sabha","Shri Chattar Singh","Male","Chamba                                                                                              ","Himachal Pradesh                                            ","Congress"
"Third Lok Sabha","Shri Hari Pada Chatterjee","Male","Nabadwip-SC                                                                                         ","West Bengal                                                 ","Independent"
"Third Lok Sabha","Shri N.C. Chatterjee","Male","Burdwan                                                                                             ","West Bengal                                                 ","Independent"
"Third Lok Sabha","Shri Shambunath Chaturvedi","Male","Firozabad-SC                                                                                        ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri Yudhvir Singh Chaudhary","Male","Mahendragarh                                                                                        ","Punjab                                                      ","Jan Sangh"
"Third Lok Sabha","Smt. Kamala Chaudhri","Female","Hapur                                                                                               ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri Sachindra Nath Chaudhuri","Male","Ghatal                                                                                              ","West Bengal                                                 ","Congress"
"Third Lok Sabha","Shri Tridib Chaudhuri","Male","Berhampore                                                                                          ","West Bengal                                                 ","Revolutionary Socialist Party"
"Third Lok Sabha","Shri Dajisaheb Ramrao Chavan","Male","Karad                                                                                               ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Shri Yashwantrao Balwantrao Chavan","Male","Nashik                                                                                              ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Smt. Zohraben Akbarbhai Chavda","Female","Banaskantha                                                                                         ","Gujarat                                                     ","Congress"
"Third Lok Sabha","Dr. Chandra Mani Lal Chawdhary","Male","Moahna-SC                                                                                           ","Bihar                                                       ","Congress"
"Third Lok Sabha","Shri Chuni Lal","Male","Ambala-SC                                                                                           ","Punjab                                                      ","Congress"
"Third Lok Sabha","Shri Vijayasinhrao Ramarao Dafle","Male","Miraj                                                                                               ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Shri Homi F. Daji","Male","Indore                                                                                              ","Madhya Pradesh                                              ","Communist Party"
"Third Lok Sabha","Sardar Daljit Singh","Male","Una-SC                                                                                              ","Punjab                                                      ","Congress"
"Third Lok Sabha","Shri N. Dandekar","Male","Gonda                                                                                               ","Uttar Pradesh                                               ","Swatantra Party"
"Third Lok Sabha","Shri Basanta Kumar Das","Male","Contai                                                                                              ","West Bengal                                                 ","Congress"
"Third Lok Sabha","Dr. Mono Mohan Das","Male","Ausgram-SC                                                                                          ","West Bengal                                                 ","Congress"
"Third Lok Sabha","Shri Nayan Tara Das","Male","Jamui-SC                                                                                            ","Bihar                                                       ","Congress"
"Third Lok Sabha","Shri Ram Dhani Das","Male","Nawada-SC                                                                                           ","Bihar                                                       ","Congress"
"Third Lok Sabha","Shri Shree Narayan Das","Male","Darbhanga                                                                                           ","Bihar                                                       ","Congress"
"Third Lok Sabha","Shri Sudhansu Bhushan Das","Male","Diamond Harbour                                                                                     ","West Bengal                                                 ","Congress"
"Third Lok Sabha","Shri H.C. Dasappa","Male","Bangalore                                                                                           ","Mysore                                                      ","Congress"
"Third Lok Sabha","Shri C. Dass","Male","Tirupathi-SC                                                                                        ","Andhra Pradesh                                              ","Congress"
"Third Lok Sabha","Shri Balwantrao Nageshrao Datar","Male","Belgaum                                                                                             ","Mysore                                                      ","Congress"
"Third Lok Sabha","Shri Dasaratha Deb","Male","Tripura East-ST                                                                                     ","Tripura                                                     ","Communist Party"
"Third Lok Sabha","Shri Laxmi Narayan Bhanja Deo","Male","Keonjhar-ST                                                                                         ","Odisha                                                      ","Congress"
"Third Lok Sabha","Shri Pratap Keshari Deo","Male","Kalahandi                                                                                           ","Odisha                                                      ","Swatantra Party"
"Third Lok Sabha","Shri Vijaya Bhushan Singh Deo","Male","Raigarh-ST                                                                                          ","Madhya Pradesh                                              ","Ram Rajya Parishad"
"Third Lok Sabha","Raja Purna Chandra Deo Bhanj","Male","Bhubaneswar                                                                                         ","Odisha                                                      ","Congress"
"Third Lok Sabha","Shri Morarji Ranchhodji Desai","Male","Surat                                                                                               ","Gujarat                                                     ","Congress"
"Third Lok Sabha","Shri Bhaurao Dagdurao Deshmukh","Male","Aurangabad                                                                                          ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Dr. Punjabrao Shamrao Deshmukh","Male","Amravati                                                                                            ","Maharashtra                                                 ","Congress"
