-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "TripuraNSDPconst.csv", 
 "title": "Download CSV for Tripura Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/TripuraNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004"
"Agriculture","50889","46646","50780","55237","56560","61663","63792","62377","68838","68981","71234"
"Foresty and Logging","4379","4356","4823","4377","4546","4313","5094","4863","4962","4286","4105"
"Fishing","5300","5447","5239","5925","5393","5598","5558","5897","5785","2467","1953"
"Mining and Quarrying","987","724","1132","1323","2332","3644","2645","1769","1772","1764","1710"
"Sub total of primary","61555","57173","61974","66862","68831","75218","77089","74906","81357","77498","79002"
"Manufacturing","5289","4965","5159","5118","5170","2479","4878","10971","8049","5522","5781"
"Manu-Registered","1396","1116","1459","1385","1596","248","1269","7033","4185","2165","2463"
"Manu-Unregistered","3893","3849","3700","3733","3574","2231","3609","3938","3864","3357","3318"
"Construction","10881","14784","15903","18312","23110","29236","31802","68230","55261","62746","74828"
"Electricity, Gas and water Supply","-2905","-4106","-3591","-3579","-3733","-2407","520","-2499","989","4988","6932"
"Sub total of secondary","13265","15643","17471","19851","24547","29308","37200","76702","64299","73256","87541"
"Transport Storage and Communication","7329","7682","7689","8807","9436","10071","11262","12773","17846","26450","35242"
"Railways","4","9","0","10","9","0","0","-8","5","9","12"
"Transport by other means","5817","6142","5831","6837","7053","7292","8469","8221","8656","10110","10606"
"Storage","132","180","184","191","285","297","311","316","319","307","307"
"Communication","1376","1351","1674","1769","2089","2482","2482","4244","8866","16024","24317"
"Trade, hotels and restaurants","27485","25808","28685","32516","36716","37373","37943","40831","41452","40630","41395"
"Banking and Insurance","3648","3967","4544","4996","5667","6158","6158","6727","7096","8876","9737"
"Real estate, ownership of dwelling and business","3456","3607","3676","3749","4028","6818","7138","7298","7468","10505","11644"
"Pubic Administration","20854","21323","22832","28455","34758","35763","36501","40046","46131","48572","52391"
"Other Services","24335","24862","26398","27106","29172","32566","39917","40666","43412","48515","51081"
"Sub total of tertiary","87107","87249","93824","105629","119777","128749","138919","148341","163405","183548","201490"
"State domestic product","161927","160065","173269","192342","213155","233275","253208","299949","309061","334302","368033"

"Figures are in Rs. Lakh"
