-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells in use and their Potential Created/Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.16.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells in use and their Potential Created/Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.16.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"BIHAR","SAHARSA",0,11266,11266,0,65639,65639,0,52823,52823
"BIHAR","SAMASTIPUR",0,30350,30350,0,149375,149375,0,134611,134611
"BIHAR","SARAN",38,22301,22339,164,105651,105815,99,71157,71256
"BIHAR","SHEKHPURA",2,4690,4692,15,26222,26237,11,20265,20276
"BIHAR","SHEOHAR",1,5719,5720,4,25621,25625,4,19897,19901
"BIHAR","SITAMARHI",5,16665,16670,21,81647,81668,21,65861,65881
"BIHAR","SIWAN",4,27553,27557,23,167903,167926,8,93380,93388
"BIHAR","SUPAUL",1,13927,13928,5,79625,79630,3,73740,73743
"BIHAR","VAISHALI",1,24573,24574,2,104086,104088,2,85786,85788
"BIHAR","WEST CHAMPARAN",10,16819,16829,144,99900,100044,128,70072,70199
"CHANDIGARH","UT CHANDIGARH",0,132,132,0,515,515,0,508,508
"CHHATTISGARH","BASTER",46,300,346,227,1067,1295,82,446,528
"CHHATTISGARH","BILASPUR",9662,3665,13327,14892,16387,31279,1088,14917,16005
"CHHATTISGARH","DANTEWADA",2,29,31,3,127,130,2,90,92
"CHHATTISGARH","DHAMTARI",14,8595,8609,73,57105,57177,25,17332,17357
"CHHATTISGARH","DURG",157,14174,14331,1903,82315,84218,1243,46833,48076
"CHHATTISGARH","JANJGIR-CHAMPA",5871,2545,8416,6082,11343,17425,2464,8143,10607
"CHHATTISGARH","JASHPUR",73,20,93,85,12,97,27,12,39
"CHHATTISGARH","KANKER",1,893,894,17,5279,5296,12,2680,2692
"CHHATTISGARH","KORBA",158,44,202,162,86,248,0,67,67
"CHHATTISGARH","KORIA",59,15,74,61,42,103,14,31,45
"CHHATTISGARH","KVARDHA",24,2067,2091,242,10816,11058,193,7250,7442
"CHHATTISGARH","MAHASAMUND",29,2389,2418,167,14386,14553,84,6453,6537
"CHHATTISGARH","RAIGARH",11786,5263,17049,11912,16935,28846,7681,14970,22651
"CHHATTISGARH","RAIPUR",45,6927,6972,1599,44475,46074,408,22284,22692
"CHHATTISGARH","RAJNANDGAON",91,1056,1147,10488,12001,22489,4738,6756,11494
"CHHATTISGARH","SURGUJA",643,219,862,729,569,1298,690,564,1254
"DELHI","ALIPUR",23,5864,5887,232,27514,27746,196,26744,26939
"DELHI","NAJAFGARH",31,3091,3122,121,6781,6902,117,6761,6878
"DELHI","NANGLOI",0,642,642,0,1626,1626,0,1549,1549
"DELHI","SHADARA-NORTHEAST",0,144,144,0,382,382,0,335,335
"DELHI","SHAHDARA-EAST",0,507,507,0,1181,1181,0,1167,1167
"GOA","NORTH GOA",7,6,13,8,16,25,8,16,24
"GOA","SOUTH GOA",8,8,16,24,27,51,20,15,35
"GUJARAT","AHMEDABAD",4,560,564,24,6526,6550,7,5179,5186
"GUJARAT","AMRELI",1,271,272,1,636,637,0,2,2
"GUJARAT","ANAND",3,3572,3575,144,112091,112235,71,59863,59934
"GUJARAT","BANASKANTHA",0,4636,4636,0,25767,25767,0,25116,25116
"GUJARAT","BHARUCH",9,3370,3379,290,14455,14745,205,12517,12722
"GUJARAT","DAHOD",0,8,8,0,5,5,0,3,3
"GUJARAT","GANDHINAGAR",0,660,660,0,8712,8712,0,8372,8372
"GUJARAT","KACHCHH",73,798,871,286,3714,4001,256,3118,3374
"GUJARAT","KHEDA",41,3817,3858,123,63602,63724,64,21967,22031
"GUJARAT","MEHSANA",3,203,206,5,1354,1359,3,1174,1177
"GUJARAT","NARMADA",0,2,2,0,4,4,0,4,4
"GUJARAT","NAVSARI",5,5001,5006,6,7416,7423,6,6625,6631
"GUJARAT","PANCHMAHAL",0,258,258,0,592,592,0,461,461
"GUJARAT","PATAN",1,186,187,5,1478,1483,5,1441,1446
"GUJARAT","PORBANDAR",8,337,345,24,502,526,0,0,0
"GUJARAT","RAJKOT",201,1078,1279,369,2975,3344,6,2636,2641
"GUJARAT","SABARKANTHA",19,4825,4844,36,12088,12124,35,9733,9768
"GUJARAT","SURAT",1,11868,11869,1,23243,23243,1,23206,23206
"GUJARAT","SURENDRANAGAR",316,231,547,406,600,1006,16,481,497
"GUJARAT","VADODARA",128,2291,2419,3978,46140,50117,3500,41520,45020
"GUJARAT","VALSAD",0,874,874,0,1432,1432,0,1432,1432
"HARYANA","AMBALA",42,12917,12959,337,61256,61593,323,59501,59825
"HARYANA","BHIWANI",77,20619,20696,346,125022,125368,317,104262,104579
"HARYANA","FARIDABAD",224,22566,22790,2102,134083,136185,2036,127414,129449
"HARYANA","FATEHABAD",92,17891,17983,905,124853,125759,831,119487,120318
"HARYANA","GURGAON",148,17054,17202,679,72207,72887,659,69228,69887
"HARYANA","HISSAR",104,21277,21381,417,98541,98958,413,96637,97049
"HARYANA","JHAJJAR",42,16285,16327,119,55789,55907,117,53874,53991
"HARYANA","JIND",143,24961,25104,1141,128192,129333,1084,123043,124127
