-----
{
 "description": "The table shows the percentage of AWC having toilet facilities. The table provides state-wise details regarding availability of toilet facilities, Bihar, UP and Orissa fared the worst. It has a direct bearing on the surrounding environment of AWC in these states and serves as a critical indicator ...", 
 "file_name": "ICDS_Table6.8.xls", 
 "title": "Download XLS for Percentage of AWC having toilet Facilities", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table6.8.xls"
}
-----
"States/UTs ","Flush system","Pit/urinal","No facility"
"Andhra Pradesh",7.5,22.3,70.2
"Assam",16.2,27.7,56.1
"Bihar",3.2,12.5,84.3
"Chhattisgarh",4.5,45.4,50.1
"Gujarat",16.3,29.9,53.8
"Haryana",40.8,1.7,57.5
"Himachal Pradesh",22.6,74.8,2.6
"Jammu and Kashmir",5.7,59.7,34.7
"Jharkhand",0.0,31.2,68.8
"Karnataka",9.8,25.1,65.1
"Kerala",15.3,61.8,22.9
"Madhya Pradesh",4.2,39.7,56.1
"Maharashtra",22.4,36.0,41.6
"Orissa",2.1,17.5,80.4
"Punjab",23.3,17.7,59.1
"Rajasthan",5.8,22.9,71.4
"Tamil Nadu",60.0,19.0,21.0
"Uttar Pradesh",3.6,13.3,83.1
"Uttrakhand",46.7,8.9,44.4
"West Bengal",1.8,26.7,71.5
"Delhi",70.8,0.0,29.2
"Chandigarh",100.0,0.0,0.0
"Arunachal Pradesh",0.0,0.0,100.0
"Manipur",40.0,24.0,36.0
"Meghalaya",27.1,19.4,53.5
"Mizoram",20.0,40.0,40.0
"Nagaland",13.8,22.4,63.8
"Tripura",40.0,0.0,60.0
"Sikkim",100.0,0.0,0.0
"Dadar & Nagar Haveli",40.0,60.0,0.0
"Daman & Diu",60.0,0.0,40.0
"Goa",20.0,20.0,60.0
"Puducherry",0.0,20.0,80.0
"Andaman & Nicobar Island",0.0,69.3,30.8
"All India",12.4,26.1,61.5
