-----
{
 "description": "This table gives the Production of Selected Industries in India since 1950-51. It gives details regarding production in various Industries by categories such as Mining Industries, Metallurgical Industries, Mechanical Engineering Industries and Electrical Engineering Industries.", 
 "file_name": "tab130.xls", 
 "title": "Download XLS for Production of Selected Industries(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab130.xls"
}
-----
"1.30 : PRODUCTION OF SELECTED INDUSTRIES","","","","","","","","","","","","","",""
"Industry","Unit","1950-51","1960-61","1970-71","1980-81","1990-91","2000-01","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12a"
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
"I. MINING","","","","","","","","","","","","","",""
"1. Coal (incl. lignite)","Million tonnes",32.3,55.2,76.3,119.0,225.5,332.6,437.1,462.1,491.1,525.2,566.1,570.4,583.05
"2. Petroleum, crude","-do-",0.3,0.5,6.8,10.5,33.0,32.4,32.2,34.0,34.1,33.5,33.7,37.7,38.1
"(i) On-shore","-do-",0.3,0.5,6.8,5.5,11.8,11.8,11.4,11.3,11.2,11.3,11.8,16.4,18.0
"(ii) Off-shore","-do-","na","na","na",5.0,21.2,20.6,20.8,22.7,22.9,22.2,21.9,21.3,20.1
"3. Iron ore","-do-",3.0,10.9,32.5,42.2,53.7,80.6,154.4,187.7,213.2,213.0,218.6,208.0,167.29
"II. METALLURGICAL INDUSTRIES","","","","","","","","","","","","","",""
"4. Hot metal (incl. Pig iron)","-do-",1.7,4.3,7.0,9.6,12.2,22.6,36.5,39.7,42.1,43.3,47.4,42.9,42.5
"5. Crude Steel","-do-",1.5,3.5,6.1,10.3,"na",30.6,46.5,50.82,53.86,58.44,65.84,70.7,73.8
"6. Semi-finished steel (main producers)","-do-",1.2,1.0,0.9,2.0,4.3,3.3,3.2,3.1,2.8,3.2,4.1,4.3,4.5
