-----
{
 "description": "For bridging the gap, the following possible sources are identified. Table gives the proposed flow of funds. The actual allocation provided for JNNURM is Rs 50000 crore during 2005\u201312 out of which the amount available for Urban Water Supply, Sewerage, Solid Waste Management is expected to be in ...", 
 "file_name": "Flow_of_Funds.xls", 
 "title": "Download XLS for Proposed Flow of Funds For Urban Water Supply, Sewerage, Solid Waste Management", 
 "url": "http://data.gov.in/sites/default/files/Flow_of_Funds.xls"
}
-----
"Source of Funding","Amount (in Rs Crore)"
"Central sector outlay ",70000.0
"State sector outlay ",35000.0
"Institutional financing ",10000.0
"Assistance from external support agencies ",10000.0
"FDI and private sector ",4237.0
"Total ",129237.0
