-----
{
 "description": "The table shows the advances to agriculture and other priority sectors by Public Sector Banks. It gives details of advances to agriculture, micro and small enterprises, self-help groups,etc.. The Adjusted Net Bank Credit is given for the years 2009-10, 2010-11 and 2011-12. \r", 
 "file_name": "tab46.xls", 
 "title": "Download XLS for Advances to Agriculture and other Priority Sectors by Public Sector Banks(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab46.xls"
}
-----
"         4.6   ADVANCES TO AGRICULTURE AND OTHER PRIORITY SECTORS BY PUBLIC SECTOR BANKS","","","","","","",""
"","","","","","","",""
"SECTORS","NUMBER OF ACCOUNTS (in thousand)","","","","AMOUNT OUTSTANDING (Rs in CRORE)","",""
"","March","March","March ","","March","March","March"
"",2010.0,2011.0,2012.0,"",2010.0,2011.0,2012.0
"1.Agriculture",31616.0,33910.0,38461.0,"",372463.0,414973.0,479400.0
"1 (a) Direct Finance a",31015.0,33214.0,37586.0,"",265826.0,300190.0,367052.0
"1 (b) Indirect Finance a",600.0,696.0,875.0,"",106637.0,114783.0,112348.0
"2. Small Scale Industries b","","","","","","",""
"3.Micro & Small Enterprises",7217.0,7398.0,7129.0,"",276319.0,369430.0,396993.0
"4. Setting up of Industrial Estates","","","","","","",""
"5. Small road & water transport Operators","","","","","","",""
"6. Retail Trade ","","","","","","",""
"7. Small Business","","","","","","",""
"8. Professional &self employed persons","","","","","","",""
"9. Micro Credit",1354.0,864.0,1222.0,"",5916.0,7243.0,6631.0
"10. Education",1911.0,2211.0,2373.0,"",35855.0,41341.0,46727.0
"11.Consumption","","","","","","",""
"12. State sponsored corpns/Organisations","","","","","","",""
"for on lending to Other Priority Sector","","","","","","",""
"13. State sponsored organisation for SC/ST",14.0,9.0,25.0,"",41.0,36.0,114.0
"purchase &supply of inputs &marketing of outputs","","","","","","",""
"14. Housing Loans",3671.0,3945.0,3973.0,"",173184.0,188472.0,194283.0
"15. Funds provided to RRBs","","","","","","",""
"16. Advances to Self Help Groups","","","","","","",""
"17. Advances to Software Industries","","","","","","",""
"18.Advances to Food & Agro Processing Sector","","","","","","",""
"19. Investment in Venture Capital","","","","","","",""
"20. Total Priority Sector Advances d",45783.0,48339.0,53183.0,"",863778.0,1021495.0,1124148.0
"21. ANBC c","","","","",2078397.0,2493499.0,3018476.0
"","","","","","","",""
"","","","","","","",""
"Percentage to ANBC","","","","","","",""
"","","","","",2010.0,2011.0,2012.0
"1.Agriculture","","","","",17.92,16.64,15.8821869049
"1 (a) Direct Finance a","","","","",12.78,12.03,12.1601761949
"1 (b) Indirect Finance a","","","","",5.13,4.6,3.72201071004
"2. Small Scale Industries b","","","","","","",""
"3.Micro & Small Enterprises","","","","",13.29,14.81,13.1521005965
"4. Setting up of Industrial Estates","","","","","","",""
"5. Small road & water transport Operators","","","","","","",""
"6. Retail Trade","","","","","","",""
"7. Small Business","","","","","","",""
"8. Professional &self employed persons","","","","","","",""
"9. Micro Credit","","","","",0.28,0.29,0.219680395007
"10. Education","","","","",1.72,1.65,1.54803284836
"11.Consumption","","","","","","",""
"12. State sponsored corpns/Organisations","","","","","","",""
"for on lending to Other Priority Sector","","","","","","",""
"13. State sponsored organisation for SC/ST","","","","","","",""
"purchase &supply of inputs &marketing of outputs","","","","","","",""
"14. Housing Loans","","","","",8.33,7.55,6.43645998842
"15. Funds provided to RRBs","","","","","","",""
"16. Advances to Self Help Groups","","","","","","",""
"17. Advances to Software Industries","","","","","","",""
"18.Advances to Food & Agro Processing Sector","","","","","","",""
"19. Investment in Venture Capital","","","","","","",""
"20. Total Priority Sector Advances","","","","",41.55,40.96,37.2422374735
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"a Excludes advances to plantations other than development finance","","","","","","",""
"b Includes small business","","","","","","",""
"c ANBC stands for Adjusted Net Bank Credit","","","","","","",""
"d Total priority sector advances is the total of items 1 to 12 & 14 to 17 and half of item 13","","","","","","",""
