-----
{
 "description": "This table gives the physical performance of Indira Awaas Yojana (IAY) during Eleventh Plan from 2007-08 to 2011-12 (Twelfth Five Year Plan document) including year-wise total target of IAY houses to be constructed and achieved in terms of contracted IAY Houses.", 
 "file_name": "Physical_Performance_of_Indira_Awaas_Yojana_1.xls", 
 "title": "Download XLS for Physical Performance of Indira Awaas Yojana During Eleventh Plan From 2007-08 To 2011-12", 
 "url": "http://data.gov.in/sites/default/files/Physical_Performance_of_Indira_Awaas_Yojana_1.xls"
}
-----
"Year","IAY Houses : Target - in Lakh","IAY Houses : Constructed - in Lakh","Percentage IAY Houses Constructed to Target"
"2007–2008",21.27,19.92,93.66
"2008–2009",21.27,21.34,100.32
"2009–2010",40.52,33.85,83.55
"2010–2011",29.09,27.15,93.36
"2011–2012",27.27,22.3,81.8
