-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells according to Average Pumping Hours. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.11.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells according to Average Pumping Hours", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.11.csv"
}
-----
"State","District","Avg pumping hours (0-4)","Avg pumping hours (4 - 8)","Avg pumping hours (8-12)","Avg pumping hours (12 -16)","Avg pumping hours (16 - 20)","Avg pumping hours (20 - 24)","Total"
"ANDHRA PRADESH","ADILABAD",3702,10101,1309,6,5,70,15193
"ANDHRA PRADESH","ANANTHAPUR",7447,21533,4521,326,97,40,33964
"ANDHRA PRADESH","CHITTOOR",5318,11623,2797,87,21,3,19849
"ANDHRA PRADESH","CUDDAPAH",3504,10136,3359,56,3,1,17059
"ANDHRA PRADESH","EAST GODAVARI",1097,14579,7024,425,327,71,23523
"ANDHRA PRADESH","GUNTUR",2854,9064,6976,156,102,40,19192
"ANDHRA PRADESH","KARIMNAGAR",8245,6894,2240,85,9,5,17478
"ANDHRA PRADESH","KHAMMAM",1629,5234,869,0,0,0,7732
"ANDHRA PRADESH","KRISHNA",2929,8213,3564,391,248,69,15414
"ANDHRA PRADESH","KURNOOL",4212,8388,3255,81,117,3,16056
"ANDHRA PRADESH","MAHABOOBNAGAR",22912,31130,22757,164,58,81,77102
"ANDHRA PRADESH","MEDAK",10286,29359,46581,1712,528,85,88551
"ANDHRA PRADESH","NALGONDA",8856,27664,18861,161,48,40,55630
"ANDHRA PRADESH","NELLORE",2971,18249,8798,63,1,1,30083
"ANDHRA PRADESH","NIZAMABAD",9795,49571,37340,76,30,59,96871
"ANDHRA PRADESH","PRAKASAM",2227,15133,4448,36,6,1,21851
"ANDHRA PRADESH","RANGAREDDY",12541,17065,6218,53,136,34,36047
"ANDHRA PRADESH","SRIKAKULAM",1517,4155,1003,32,2,11,6720
"ANDHRA PRADESH","VISAKHAPATNAM",3986,2859,608,2,0,31,7486
"ANDHRA PRADESH","VIZIANAGARAM",3034,1912,632,69,7,2,5656
"ANDHRA PRADESH","WARANGAL",10299,12510,5807,127,98,173,29014
