-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "delhiGSDPcurrent.csv", 
 "title": "Download CSV for Delhi Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/delhiGSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","77871","45396","38010","38244","54025","73843","69753","77916","79628","85129","86085","89684"
"Foresty and Logging","97","110","117","126","144","188","194","196","199","206","213","209"
"Fishing","1512","1851","1952","2076","2578","2647","2183","2010","1435","1040","1121","761"
"Mining and Quarrying","1421","576","134","73","203","79","172","742","402","403","916","429"
"Sub total of primary","80901","47933","40213","40519","56950","76757","80465","82576","87165","87734","91934","1399"
"Manufacturing","355108","516373","421283","426101","498175","526803","559853","638711","690166","744511","825188","1013051"
"Registered","149617","264247","179721","182483","216110","224502","253206","265239","288813","311555","345316","423931"
"Unregistered","205491","252126","241562","243618","282065","302301","306647","373472","401353","432956","479872","589120"
"Construction","143988","163570","179404","221818","325879","350825","310211","676970","616455","582285","644308","753196"
"Electricity, Gas and water Supply","29763","24024","4738","3732","51078","12135","8647","55064","41870","37628","33737","36335"
"Sub total of secondary","528859","703967","605425","651651","875132","889763","878711","1370745","1348491","1364424","1503233","1802582"
"Transport Storage and Communication","228268","279753","305848","354648","425733","486294","512456","613501","717378","660410","823481","935873"
"Railways","11733","12999","16156","17614","21875","23722","22147","26427","26100","29325","29935","33617"
"Transport by other means","144169","177677","190146","218904","268127","304220","325431","384054","421779","314820","377282","440288"
"Storage","1252","890","1001","1037","1064","1224","1175","1347","1372","1270","1297","1355"
"Communication","71114","88187","98545","117093","134667","157128","163703","201673","268127","314995","414967","460613"
"Trade, hotels and restaurants","432711","587635","629843","742651","828045","970010","1020190","1240335","1429335","1516518","1696411","1952569"
"Banking and Insurance","328218","392456","600041","831494","1039426","1139927","1403680","1380608","1490012","1701334","1879828","1941862"
"Real estate, ownership of dwelling and business","189611","213633","235464","257509","284860","405690","530508","608547","671959","727291","791676","908052"
"Pubic Administration","114416","128243","151860","180705","232373","267956","315685","324138","338708","354348","382169","431851"
"Other Services","196195","231030","270312","321160","380961","512019","567433","654684","721885","796208","889366","1009430"
"Sub total of tertiary","1489419","1832750","2193368","2688167","3191398","3781896","4349952","4821813","5369277","5756109","6462931","7179637"
"State domestic product","2099179","2584650","2839006","3380337","4123480","4748416","5300965","6273422","6799432","7207311","8054499","9073302"

"Figures are in Rs. Lakh"
