-----
{
 "description": "This data indicates the list of various workshops organized by Regional Centre for Biotechnology (RCB) during 2009 to 2012.", 
 "file_name": "List_of_Various_Workshops_Organized_At_Regional_Centre_For_Biotechnology_During_2009_To_2012.xls", 
 "title": "Download XLS for List of Various Workshops Organized At Regional Centre For Biotechnology During 2009 To 2012", 
 "url": "http://data.gov.in/sites/default/files/List_of_Various_Workshops_Organized_At_Regional_Centre_For_Biotechnology_During_2009_To_2012.xls"
}
-----
"Sl. No.","Topic","Start date","End date"
1.0,"Biologics: From discovery to development",40113.0,40120.0
2.0,"From Crystals to Structure",40224.0,40228.0
3.0,"Platforms for Molecular Cross-talks in Modern Biology",41064.0,41069.0
4.0,"Eukaryotic Model Organisms was organized",41194.0,41198.0
