-----
{
 "description": "The table refers to block wise distribution of surface lift schemes by status. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.6_1.csv", 
 "title": "Download CSV for Blockwise Distribution of surface lift schemes by its status for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.6_1.csv"
}
-----
"State","District","Block","Schemes in use","Schemes not in use - Temporary","Schemes not in use - Abandoned (Salinity)","Schemes not in use - Dried up","Schemes not in use - Sinking","Schemes not in use - Others","Total - Schemes not in use","Grand total"
"ANDHRA PRADESH","NIZAMABAD","BODHAN",17,26,0,2,0,0,28,45
"ANDHRA PRADESH","NIZAMABAD","JUKKAL",17,0,0,0,0,0,0,17
"ANDHRA PRADESH","NIZAMABAD","KOTGIRI",67,0,0,0,0,0,0,67
"ANDHRA PRADESH","NIZAMABAD","LINGAMPET",126,0,0,0,0,0,0,126
"ANDHRA PRADESH","NIZAMABAD","MORTAD",111,0,0,0,0,0,0,111
"ANDHRA PRADESH","NIZAMABAD","NAGAREDDIPET",138,3,0,0,0,0,3,141
"ANDHRA PRADESH","NIZAMABAD","NIZAMSAGAR",229,1,0,0,0,0,1,230
"ANDHRA PRADESH","NIZAMABAD","PITLAM",115,47,0,0,0,0,47,162
"ANDHRA PRADESH","NIZAMABAD","YELLAREDDY",163,0,0,0,0,0,0,163
"ANDHRA PRADESH","PRAKASAM","ADDANKI",56,0,0,0,0,0,0,56
"ANDHRA PRADESH","PRAKASAM","ARDHAVEEDU",12,0,0,0,0,0,0,12
"ANDHRA PRADESH","PRAKASAM","BALLIKURAVA",2,0,0,0,0,0,0,2
"ANDHRA PRADESH","PRAKASAM","C.SEKHARA PURAM",84,1,0,0,0,0,1,85
"ANDHRA PRADESH","PRAKASAM","CHIMAKURTHI",3,0,0,0,0,0,0,3
"ANDHRA PRADESH","PRAKASAM","CHINAGANJAM",5,0,0,0,0,0,0,5
"ANDHRA PRADESH","PRAKASAM","CHIRALA",7,0,0,0,0,0,0,7
"ANDHRA PRADESH","PRAKASAM","DONAKONDA",9,0,0,0,0,0,0,9
"ANDHRA PRADESH","PRAKASAM","INKOLLU",13,3,0,0,0,0,3,16
"ANDHRA PRADESH","PRAKASAM","JANAKAVARAMPANGULURU",15,0,0,0,0,0,0,15
"ANDHRA PRADESH","PRAKASAM","KANDUKUR",5,0,0,0,0,0,0,5
"ANDHRA PRADESH","PRAKASAM","KANIGIRI",16,0,0,0,0,0,0,16
"ANDHRA PRADESH","PRAKASAM","KARAMCHEDU",36,1,0,0,0,0,1,37
"ANDHRA PRADESH","PRAKASAM","KONAKANAMITLA",16,0,0,0,0,0,0,16
"ANDHRA PRADESH","PRAKASAM","KONDAPI",35,0,0,0,0,0,0,35
"ANDHRA PRADESH","PRAKASAM","KORISAPADU",27,0,0,0,0,0,0,27
"ANDHRA PRADESH","PRAKASAM","KOTHA PATNAM",8,0,0,0,0,0,0,8
"ANDHRA PRADESH","PRAKASAM","KURICHEDU",2,0,0,0,0,0,0,2
"ANDHRA PRADESH","PRAKASAM","LINGASAMUDRAM",2,0,0,0,0,0,0,2
"ANDHRA PRADESH","PRAKASAM","MADDIPADU",97,3,0,0,0,0,3,100
"ANDHRA PRADESH","PRAKASAM","MARKAPUR",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","PRAKASAM","MARTUR",15,0,0,0,0,0,0,15
"ANDHRA PRADESH","PRAKASAM","MUNDLAMURU",23,0,0,0,0,0,0,23
"ANDHRA PRADESH","PRAKASAM","NAGULUPPALA PADU",17,0,0,0,0,0,0,17
"ANDHRA PRADESH","PRAKASAM","ONGOLE",11,0,0,0,0,2,2,13
"ANDHRA PRADESH","PRAKASAM","PAMUR",38,0,0,0,0,0,0,38
"ANDHRA PRADESH","PRAKASAM","PARCHUR",31,2,0,0,0,0,2,33
"ANDHRA PRADESH","PRAKASAM","PEDACHERLO PALLE",77,0,0,0,0,0,0,77
"ANDHRA PRADESH","PRAKASAM","PODILI",16,0,0,0,0,0,0,16
"ANDHRA PRADESH","PRAKASAM","PONNALUR",12,1,0,0,0,0,1,13
"ANDHRA PRADESH","PRAKASAM","SANTHAMAGULURU",39,0,0,0,1,0,1,40
"ANDHRA PRADESH","PRAKASAM","SANTHANUTHALA PADU",26,0,0,0,0,0,0,26
"ANDHRA PRADESH","PRAKASAM","SINGARAYA KONDA",2,0,0,0,0,0,0,2
"ANDHRA PRADESH","PRAKASAM","TANGUTUR",31,0,0,0,0,0,0,31
"ANDHRA PRADESH","PRAKASAM","THALLUR",2,0,0,0,0,0,0,2
"ANDHRA PRADESH","PRAKASAM","TRIPURANTHAKAM",4,0,0,0,0,0,0,4
"ANDHRA PRADESH","PRAKASAM","ULAVAPADU",126,0,0,0,0,0,0,126
"ANDHRA PRADESH","PRAKASAM","VETA PALEM",5,0,0,0,0,0,0,5
"ANDHRA PRADESH","PRAKASAM","VOLETIVARI PALEM",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","PRAKASAM","YADDANA PUDI",64,0,0,0,0,0,0,64
"ANDHRA PRADESH","PRAKASAM","ZARUGUMALLI",19,0,0,0,0,0,0,19
"ANDHRA PRADESH","RANGA REDDY","BASHEERABAD",2,0,0,0,0,0,0,2
"ANDHRA PRADESH","RANGA REDDY","DHARUR",12,0,0,0,0,0,0,12
"ANDHRA PRADESH","RANGA REDDY","GHATKESAR",102,2,0,0,0,0,2,104
"ANDHRA PRADESH","RANGA REDDY","HAYATHNAGAR",194,1,0,0,0,2,3,197
"ANDHRA PRADESH","RANGA REDDY","RAJENDRANAGAR",25,0,0,0,0,0,0,25
"ANDHRA PRADESH","RANGA REDDY","UPPAL",152,4,0,0,0,0,4,156
"ANDHRA PRADESH","SRIKAKULUM","BHAMINI",3,0,0,0,0,0,0,3
"ANDHRA PRADESH","SRIKAKULUM","ETCHERLA",4,0,0,0,0,0,0,4
"ANDHRA PRADESH","SRIKAKULUM","GARA",17,0,0,0,0,0,0,17
"ANDHRA PRADESH","SRIKAKULUM","KOTTURU",2,0,0,0,0,0,0,2
"ANDHRA PRADESH","SRIKAKULUM","MANDASA",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","SRIKAKULUM","PALAKONDA",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","SRIKAKULUM","SARAVAKOTA",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","SRIKAKULUM","SEETHAMPETA",8,1,0,0,0,1,2,10
"ANDHRA PRADESH","SRIKAKULUM","SOMPETA",3,0,0,0,0,0,0,3
"ANDHRA PRADESH","SRIKAKULUM","VANGARA",2,0,0,0,0,0,0,2
"ANDHRA PRADESH","VIJAYA NAGARAM","BOBBILI",10,0,0,0,0,0,0,10
"ANDHRA PRADESH","VIJAYA NAGARAM","DENKADA",2,0,0,0,0,0,0,2
"ANDHRA PRADESH","VIJAYA NAGARAM","GAJAPATHINAGARAM",2,0,0,0,0,0,0,2
"ANDHRA PRADESH","VIJAYA NAGARAM","GARIVIDI",2,1,0,0,0,0,1,3
"ANDHRA PRADESH","VIJAYA NAGARAM","GUMMALAKSHMIPURAM",1,1,0,0,0,2,3,4
"ANDHRA PRADESH","VIJAYA NAGARAM","KURUPAM",1,2,0,0,0,1,3,4
"ANDHRA PRADESH","VIJAYA NAGARAM","MAKKUVA",6,0,1,0,0,0,1,7
"ANDHRA PRADESH","VIJAYA NAGARAM","MERAKAMUDIDAM",2,0,0,0,0,0,0,2
"ANDHRA PRADESH","VIJAYA NAGARAM","NELLIMARLA",0,1,0,0,0,0,1,1
"ANDHRA PRADESH","VIJAYA NAGARAM","PUSAPATIREGA",6,0,0,0,0,0,0,6
"ANDHRA PRADESH","VIJAYA NAGARAM","RAMABHADRAPURAM",2,0,0,0,0,0,0,2
"ANDHRA PRADESH","VIJAYA NAGARAM","SALUR",9,0,0,0,0,0,0,9
"ANDHRA PRADESH","VIJAYA NAGARAM","SEETHANAGARAM",97,2,0,0,0,0,2,99
"ANDHRA PRADESH","VIJAYA NAGARAM","SRUNGAVARAPUKOTA",0,1,0,0,0,0,1,1
"ANDHRA PRADESH","VISAKHAPATNAM","ANAKAPALLE",0,1,0,0,0,0,1,1
"ANDHRA PRADESH","VISAKHAPATNAM","ARAKU VALLEY",3,0,0,0,0,0,0,3
"ANDHRA PRADESH","VISAKHAPATNAM","DEVARAPALLE",4,0,0,0,0,0,0,4
"ANDHRA PRADESH","VISAKHAPATNAM","DUMBRIGUDA",0,2,0,0,0,0,2,2
"ANDHRA PRADESH","VISAKHAPATNAM","HUKUMPETA",8,1,0,0,0,0,1,9
"ANDHRA PRADESH","VISAKHAPATNAM","MADUGULA",3,0,0,0,0,0,0,3
"ANDHRA PRADESH","VISAKHAPATNAM","MUNAGAPAKA",25,1,0,0,0,0,1,26
"ANDHRA PRADESH","VISAKHAPATNAM","PAYAKARAOPETA",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","WARANGAL","BHUPALPALLE",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","WARANGAL","CHENNARAOPET",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","WARANGAL","DORNAKAL",15,1,0,0,0,0,1,16
"ANDHRA PRADESH","WARANGAL","GOVINDARAOPET",308,0,0,0,0,0,0,308
"ANDHRA PRADESH","WARANGAL","GUDUR",16,0,0,0,0,0,0,16
"ANDHRA PRADESH","WARANGAL","KODAKANDLA",0,1,0,0,0,0,1,1
"ANDHRA PRADESH","WARANGAL","KOTHAGUDEM",83,0,0,0,0,0,0,83
"ANDHRA PRADESH","WARANGAL","MANGAPET",10,1,0,0,0,0,1,11
"ANDHRA PRADESH","WARANGAL","MULUG",130,0,0,0,0,0,0,130
"ANDHRA PRADESH","WARANGAL","TADVAI",22,1,0,0,0,0,1,23
"ANDHRA PRADESH","WARANGAL","THORRUR",18,1,0,0,0,0,1,19
"ANDHRA PRADESH","WEST GODAVARI","CHAGALLU",64,0,0,0,0,0,0,64
"ANDHRA PRADESH","WEST GODAVARI","DENDULURU",2,0,0,0,0,0,0,2
"ANDHRA PRADESH","WEST GODAVARI","ELURU",19,0,0,0,0,0,0,19
"ANDHRA PRADESH","WEST GODAVARI","KOVVUR",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","WEST GODAVARI","NIDADAVOLE",7,0,0,1,0,0,1,8
"ANDHRA PRADESH","WEST GODAVARI","PEDAPADU",8,0,0,0,0,0,0,8
"ANDHRA PRADESH","WEST GODAVARI","PENTAPADU",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","WEST GODAVARI","PERAVALI",3,0,0,0,0,0,0,3
"ANDHRA PRADESH","WEST GODAVARI","POLAVARAM",25,0,0,0,0,0,0,25
"ANDHRA PRADESH","WEST GODAVARI","TADEPALLIGUDEM",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","WEST GODAVARI","THALLAPUDI",13,0,0,0,0,0,0,13
"ASSAM","BARPETA","BAJALI",28,0,0,0,0,0,0,28
"ASSAM","BARPETA","BARPETA",27,11,0,0,0,0,11,38
"ASSAM","BARPETA","BHAWANIPUR",10,0,0,0,0,0,0,10
"ASSAM","BARPETA","CHENGA",0,2,0,0,0,0,2,2
"ASSAM","BARPETA","GOBARDHANA",15,17,0,0,4,1,22,37
"ASSAM","BARPETA","JALAH",34,9,2,0,0,1,12,46
"ASSAM","BARPETA","MANDIA",46,10,0,0,1,0,11,57
"ASSAM","BARPETA","RUPSI",40,6,0,0,0,0,6,46
"ASSAM","BONGAIGAON","BOITAMARI",43,2,0,0,0,0,2,45
"ASSAM","BONGAIGAON","BOROBAZAR",22,37,0,0,0,0,37,59
"ASSAM","BONGAIGAON","MANIKPUR",9,9,0,0,0,0,9,18
"ASSAM","BONGAIGAON","SIDLI-CHIRANG",10,1,0,0,0,0,1,11
"ASSAM","BONGAIGAON","SRIJANGRAM",3,0,0,0,0,0,0,3
"ASSAM","CACHAR","KATIGORA",10,0,0,0,0,0,0,10
"ASSAM","CACHAR","RAJABAZAR",1,0,0,0,1,1,2,3
"ASSAM","CACHAR","SALCHAPRA",12,0,0,0,0,0,0,12
"ASSAM","CACHAR","SONAI",12,5,0,0,0,0,5,17
"ASSAM","CACHAR","UDARBOND",20,0,0,0,0,0,0,20
"ASSAM","DARRANG","DALGAON SIALMARI",84,10,0,0,0,0,10,94
"ASSAM","DARRANG","KALAIGAON",49,11,1,0,0,0,12,61
"ASSAM","DARRANG","KHAIRABARI",68,22,1,0,0,0,23,91
"ASSAM","DARRANG","MAZBAT",66,2,0,0,0,0,2,68
"ASSAM","DARRANG","SIPAJHAR",186,2,0,0,0,0,2,188
"ASSAM","DARRANG","UDALGURI",28,14,0,0,0,0,14,42
"ASSAM","DHEMAJI","BORDOLONI",62,17,0,0,0,0,17,79
"ASSAM","DHEMAJI","DHEMAJI",46,12,0,0,0,0,12,58
"ASSAM","DHEMAJI","MURKONGSELLECK",6,0,0,0,0,0,0,6
"ASSAM","DHUBRI","AGAMONI",4,1,0,0,0,0,1,5
"ASSAM","DHUBRI","BILASIPARA",20,19,0,0,0,0,19,39
"ASSAM","DHUBRI","CHAPAR SALKOCHA",2,4,0,0,0,0,4,6
"ASSAM","DHUBRI","GAURIPUR",15,1,0,0,0,0,1,16
"ASSAM","DHUBRI","GOLOKGANJ",16,2,0,0,0,0,2,18
"ASSAM","DHUBRI","MANKACHAR",0,3,0,0,0,0,3,3
"ASSAM","DHUBRI","SOUTH SALMARA",2,6,0,0,0,0,6,8
"ASSAM","DIBRUGARH","BARBARUAH",80,0,0,0,0,0,0,80
"ASSAM","DIBRUGARH","JOYPUR",45,5,0,0,0,0,5,50
"ASSAM","DIBRUGARH","KHOWANG",101,51,0,0,0,0,51,152
"ASSAM","DIBRUGARH","LAHOWAL",35,0,0,0,0,0,0,35
"ASSAM","DIBRUGARH","TENGAKHAT",54,18,0,1,0,0,19,73
"ASSAM","GOALPARA","BALIJANA",111,21,0,0,0,0,21,132
"ASSAM","GOALPARA","DUDHNOI",183,7,0,0,0,0,7,190
"ASSAM","GOALPARA","LAKHIPUR",55,29,0,0,0,0,29,84
"ASSAM","GOALPARA","MATIA",54,23,0,0,0,0,23,77
"ASSAM","GOLAGHAT","GOLAGHAT CENTRAL",66,6,0,0,0,0,6,72
"ASSAM","GOLAGHAT","GOLAGHAT EAST",21,8,0,0,0,0,8,29
"ASSAM","GOLAGHAT","GOLAGHAT NORTH",1,0,0,0,0,0,0,1
"ASSAM","GOLAGHAT","GOLAGHAT SOUTH",169,11,1,1,4,0,17,186
"ASSAM","GOLAGHAT","GOLAGHAT WEST",16,1,0,0,0,0,1,17
"ASSAM","GOLAGHAT","GOMARIGURI",41,11,0,0,0,0,11,52
"ASSAM","HAILAKANDI","HAILAKANDI",5,0,0,0,0,0,0,5
"ASSAM","HAILAKANDI","KATLICHARA",2,0,0,0,0,0,0,2
"ASSAM","HAILAKANDI","LALA",9,1,0,0,0,0,1,10
"ASSAM","JORHAT","JORHAT",156,9,0,0,0,0,9,165
"ASSAM","JORHAT","JORHAT CENTRAL",231,9,0,0,0,0,9,240
"ASSAM","JORHAT","JORHAT EAST",198,4,0,0,0,0,4,202
"ASSAM","JORHAT","MAJULI",348,1,0,0,0,0,1,349
"ASSAM","JORHAT","NORTH WEST JORHAT",87,2,0,0,0,0,2,89
"ASSAM","JORHAT","TITABOR",232,38,0,0,0,0,38,270
"ASSAM","KAMRUP","BOKO BANGAON",90,22,0,0,0,0,22,112
"ASSAM","KAMRUP","CHAMARIA",17,26,0,0,0,0,26,43
"ASSAM","KAMRUP","CHANDRAPUR",7,0,0,0,0,0,0,7
"ASSAM","KAMRUP","CHHAYGAON",24,12,0,0,0,0,12,36
"ASSAM","KAMRUP","DIMORIA",387,0,0,0,0,2,2,389
"ASSAM","KAMRUP","HAJO",11,5,0,0,6,2,13,24
"ASSAM","KAMRUP","KAMALPUR",32,10,0,9,3,4,26,58
"ASSAM","KAMRUP","KARARA",3,8,0,0,0,0,8,11
"ASSAM","KAMRUP","RAMPUR",21,3,0,0,0,0,3,24
"ASSAM","KAMRUP","RANGIA",28,12,0,0,0,0,12,40
"ASSAM","KAMRUP","RANI",3,0,0,0,0,0,0,3
"ASSAM","KARBI ANGLONG","BOKAJAN",5,1,0,0,0,0,1,6
"ASSAM","KARBI ANGLONG","HOWRAGHAT",1,0,0,0,0,0,0,1
"ASSAM","KARBI ANGLONG","LUMBAJONG",19,0,0,0,0,0,0,19
"ASSAM","KARBI ANGLONG","RONGKHONG",22,0,0,0,0,0,0,22
"ASSAM","KARIMGANJ","BADARPUR",1,0,0,0,0,0,0,1
"ASSAM","KARIMGANJ","NORTH KARIMGANJ",1,0,0,0,0,0,0,1
"ASSAM","KARIMGANJ","PATHARKANDI",4,3,0,0,0,0,3,7
"ASSAM","KARIMGANJ","RAMKRISHNA NAGAR",6,3,0,0,0,0,3,9
"ASSAM","KARIMGANJ","SOUTH KARIMGANJ",5,1,0,0,0,0,1,6
"ASSAM","KOKRAJHAR","DOTOMA",4,12,0,0,0,0,12,16
"ASSAM","KOKRAJHAR","GOSSAIGAON",0,5,0,0,0,0,5,5
"ASSAM","KOKRAJHAR","KACHUGAON",34,4,0,0,0,0,4,38
"ASSAM","KOKRAJHAR","KOKRAJHAR",21,37,0,0,0,0,37,58
"ASSAM","KOKRAJHAR","SIDLI CHIRANG (PART)",1,1,0,0,0,0,1,2
"ASSAM","LAKHIMPUR","BIHPURIA",8,4,0,0,0,0,4,12
"ASSAM","LAKHIMPUR","BORDALANI",2,4,0,0,0,0,4,6
"ASSAM","LAKHIMPUR","DHAKUAKHANA",13,11,0,0,0,0,11,24
"ASSAM","LAKHIMPUR","LAKHIMPUR",51,1,0,0,0,0,1,52
"ASSAM","LAKHIMPUR","NARAYANPUR",16,8,0,0,0,0,8,24
"ASSAM","LAKHIMPUR","NOWBOICHA",25,9,0,0,1,0,10,35
"ASSAM","MARIGAON","BHURBANDHA",64,12,0,0,0,0,12,76
"ASSAM","MARIGAON","KAPILI",21,1,0,0,0,0,1,22
"ASSAM","MARIGAON","LAHARIGHAT",167,48,0,0,0,0,48,215
"ASSAM","MARIGAON","MAYONG",149,4,0,1,0,0,5,154
"ASSAM","NAGAON","BATADRAVA",49,6,0,0,0,0,6,55
"ASSAM","NAGAON","JUGIJAN",93,16,0,0,0,0,16,109
"ASSAM","NAGAON","JURIA",115,30,0,0,0,0,30,145
"ASSAM","NAGAON","KALIABOR",182,16,0,0,0,0,16,198
"ASSAM","NAGAON","KAPILI",79,25,0,0,0,0,25,104
"ASSAM","NAGAON","KAPILI PT.I",284,31,0,0,0,0,31,315
"ASSAM","NAGAON","KATHIATOLI",399,141,0,0,0,0,141,540
"ASSAM","NAGAON","KHAGARIJAN",114,24,0,0,0,0,24,138
"ASSAM","NAGAON","LANKA",177,43,0,0,0,0,43,220
"ASSAM","NAGAON","LAOKHOWA",69,12,0,1,0,0,13,82
"ASSAM","NAGAON","RUPAHI",51,9,0,0,0,0,9,60
"ASSAM","NALBARI","BARIGOG BANBHAG",39,1,0,0,0,0,1,40
"ASSAM","NALBARI","BARKHETRI",14,0,0,0,0,0,0,14
"ASSAM","NALBARI","BASKA",28,0,0,0,0,0,0,28
"ASSAM","NALBARI","PASCHIM NALBARI",15,10,0,0,0,0,10,25
"ASSAM","NALBARI","PUB NALBARI",49,3,0,2,0,0,5,54
"ASSAM","NALBARI","TAMULPUR",22,7,0,0,0,0,7,29
"ASSAM","NALBARI","TIHU BARAMA",27,7,0,2,0,0,9,36
"ASSAM","NORTH CACHAR HILLS","DIYANG VALLEY",5,0,0,0,0,0,0,5
"ASSAM","NORTH CACHAR HILLS","HARANGAJAW",1,0,0,0,0,0,0,1
"ASSAM","SIBSAGAR","AMGURI",4,6,0,0,0,0,6,10
"ASSAM","SIBSAGAR","DEMOW",96,34,0,0,1,0,35,131
"ASSAM","SIBSAGAR","NAZIRA",2,30,0,0,0,0,30,32
"ASSAM","SIBSAGAR","SAPEKHATI",219,1,0,0,0,0,1,220
"ASSAM","SIBSAGAR","SIBSAGAR",4,1,0,0,0,0,1,5
"ASSAM","SIBSAGAR","SONARI",210,13,0,1,0,0,14,224
"ASSAM","SONITPUR","BALIPARA",53,1,0,0,0,0,1,54
"ASSAM","SONITPUR","BEHALI",16,6,2,0,0,0,8,24
"ASSAM","SONITPUR","BISWANATH",48,0,0,0,0,0,0,48
"ASSAM","SONITPUR","CHAIDUAR",60,107,0,0,12,1,120,180
"ASSAM","SONITPUR","DHEKIAJULI",45,9,0,0,0,0,9,54
"ASSAM","SONITPUR","GABHORU",9,0,0,0,0,0,0,9
"ASSAM","SONITPUR","NADUAR",130,42,0,0,0,0,42,172
"ASSAM","TINSUKIA","HAPJAN",22,0,0,0,0,0,0,22
"ASSAM","TINSUKIA","KAKOPATHAR",46,1,0,0,0,0,1,47
"ASSAM","TINSUKIA","MARGHERITA",57,18,2,0,0,0,20,77
"ASSAM","TINSUKIA","SADIYA",172,66,1,0,0,0,67,239
"BIHAR","ARARIA","BHARGAMA",0,4,0,0,0,0,4,4
"BIHAR","ARARIA","FORBESGANJ",0,1,0,0,1,1,3,3
"BIHAR","ARARIA","JOKIHAT",0,0,0,0,1,0,1,1
"BIHAR","ARARIA","PALASI",0,1,0,0,0,0,1,1
"BIHAR","AURANGABAD","AURANGABAD",0,1,0,0,0,0,1,1
"BIHAR","AURANGABAD","BARUN",6,0,0,0,0,0,0,6
"BIHAR","AURANGABAD","GOH",0,0,0,0,0,4,4,4
"BIHAR","AURANGABAD","HASPURA",0,4,0,0,0,0,4,4
"BIHAR","AURANGABAD","KUTUMBA",0,1,0,0,0,0,1,1
"BIHAR","AURANGABAD","NABINAGAR",3,1,0,0,0,0,1,4
"BIHAR","AURANGABAD","OBRA",18,0,0,0,0,0,0,18
"BIHAR","AURANGABAD","RAFIGANJ",16,1,0,1,1,0,3,19
"BIHAR","BANKA","AMARPUR",9,1,0,0,0,0,1,10
"BIHAR","BANKA","BANKA",1,0,0,0,1,0,1,2
"BIHAR","BANKA","BAUSI",23,0,0,0,0,0,0,23
"BIHAR","BANKA","CHANAN",35,0,0,0,0,0,0,35
"BIHAR","BANKA","DHURAIYA",10,0,0,0,0,0,0,10
"BIHAR","BANKA","KATORIA",66,0,0,0,0,0,0,66
"BIHAR","BANKA","SAMBHUGANJ",1,0,0,0,0,0,0,1
"BIHAR","BEGUSARAI","BACHHAWARA",2,0,0,0,0,1,1,3
"BIHAR","BEGUSARAI","BAKHARI",1,0,0,0,0,0,0,1
"BIHAR","BEGUSARAI","BEGUSARAI",10,2,1,1,0,0,4,14
"BIHAR","BEGUSARAI","BHAGAWANPUR",2,3,0,0,0,2,5,7
"BIHAR","BEGUSARAI","BIRPUR",4,1,0,0,0,0,1,5
"BIHAR","BEGUSARAI","CHERIA BARIARPUR",6,2,0,0,0,1,3,9
"BIHAR","BEGUSARAI","DANDARI",0,3,0,0,0,0,3,3
"BIHAR","BEGUSARAI","GARHPURA",6,0,0,0,0,0,0,6
"BIHAR","BEGUSARAI","KHUDABANDPUR",3,1,1,0,0,1,3,6
"BIHAR","BEGUSARAI","MANSURCHAK",1,2,0,0,0,0,2,3
"BIHAR","BEGUSARAI","NAOKHOTHI",3,0,0,0,0,0,0,3
"BIHAR","BHABUA","ADHAURA",0,2,0,0,0,0,2,2
"BIHAR","BHABUA","BHABUA",22,2,0,0,0,0,2,24
"BIHAR","BHABUA","BHAGWANPUR",1,0,0,0,0,0,0,1
"BIHAR","BHABUA","CHAINPUR",13,0,0,0,0,0,0,13
"BIHAR","BHABUA","CHAND",3,1,0,0,0,0,1,4
"BIHAR","BHABUA","DURGAWATI",3,1,0,0,0,2,3,6
"BIHAR","BHABUA","KUDRA",8,0,0,0,1,0,1,9
"BIHAR","BHABUA","MOHANIA",0,0,0,0,0,1,1,1
"BIHAR","BHABUA","RAMGAR",1,0,0,0,0,0,0,1
"BIHAR","BHAGALPUR","JAGDISHPUR",5,0,0,0,0,0,0,5
"BIHAR","BHAGALPUR","KAHALGAON",1,0,0,0,0,0,0,1
"BIHAR","BHAGALPUR","KHARIK",2,0,0,0,1,2,3,5
"BIHAR","BHAGALPUR","NATHNAGAR",4,2,0,0,0,0,2,6
"BIHAR","BHAGALPUR","NAUGACHHIA",7,0,0,0,0,0,0,7
"BIHAR","BHAGALPUR","PIRPAINTI",30,0,0,0,0,0,0,30
"BIHAR","BHAGALPUR","RANGRACHOWK",1,0,0,0,0,0,0,1
"BIHAR","BHAGALPUR","SABOUR",5,0,0,0,0,0,0,5
"BIHAR","BHAGALPUR","SHAHKUND",33,0,0,0,0,0,0,33
"BIHAR","BHAGALPUR","SONHAULLA",114,0,0,0,0,0,0,114
"BIHAR","BHAGALPUR","SULTANGANJ",30,0,0,1,0,0,1,31
"BIHAR","BHOJPUR","AGIAON",5,0,0,0,0,0,0,5
"BIHAR","BHOJPUR","ARRAHSADAR",2,1,0,0,0,0,1,3
"BIHAR","BHOJPUR","BARBARA",0,1,0,0,0,0,1,1
"BIHAR","BHOJPUR","BEHIA",1,0,0,0,0,0,0,1
"BIHAR","BHOJPUR","GARHANI",3,0,0,0,0,0,0,3
"BIHAR","BHOJPUR","KOILWAR",0,0,0,0,1,0,1,1
"BIHAR","BHOJPUR","SAHAR",2,0,0,0,0,0,0,2
"BIHAR","BHOJPUR","SAHPUR",3,0,0,0,0,0,0,3
"BIHAR","BHOJPUR","SANDISH",0,1,0,0,0,0,1,1
"BIHAR","BHOJPUR","TARARI",21,0,0,0,0,0,0,21
"BIHAR","BHOJPUR","UDWABTNAGAR",4,0,0,0,0,0,0,4
"BIHAR","BOKARO","CHAS",2,2,0,1,8,1,12,14
"BIHAR","BUXAR","BUXAR",2,0,0,0,0,0,0,2
"BIHAR","BUXAR","ITARHI",5,0,0,0,0,0,0,5
"BIHAR","BUXAR","RAJPUR",6,0,0,1,0,0,1,7
"BIHAR","CHAMPARAN EAST","ADAPUR",1,0,0,0,4,0,4,5
"BIHAR","CHAMPARAN EAST","CHAURADANO",1,0,0,0,0,0,0,1
"BIHAR","CHAMPARAN EAST","CHIRAIYA",7,0,0,0,0,0,0,7
"BIHAR","CHAMPARAN EAST","GHORASAHAN",6,0,0,0,4,0,4,10
"BIHAR","CHAMPARAN EAST","HARSIDHI",3,1,0,0,1,0,2,5
"BIHAR","CHAMPARAN EAST","KALYANPUR",0,0,0,0,0,1,1,1
"BIHAR","CHAMPARAN EAST","MADHUBAN",5,0,0,0,0,0,0,5
"BIHAR","CHAMPARAN EAST","PAKARIDAYAL",4,4,0,0,0,0,4,8
"BIHAR","CHAMPARAN EAST","PIPRAKOTHI",5,0,0,3,0,0,3,8
"BIHAR","CHAMPARAN EAST","RAMGARHWA",3,0,0,0,0,0,0,3
"BIHAR","CHAMPARAN EAST","RAXAUL",2,0,0,0,2,0,2,4
"BIHAR","CHAMPARAN EAST","SUGAULI",7,9,0,1,0,0,10,17
"BIHAR","CHAMPARAN EAST","TETARIA",1,0,0,0,1,1,2,3
"BIHAR","CHAMPARAN EAST","TURKAULIA",0,1,0,0,0,0,1,1
"BIHAR","CHAMPARAN WEST","GAUNAHA",18,2,0,2,0,0,4,22
"BIHAR","CHAMPARAN WEST","LAURIYA",0,11,0,0,0,0,11,11
"BIHAR","CHAMPARAN WEST","MAJHAWALIA",1,1,0,6,0,0,7,8
"BIHAR","CHAMPARAN WEST","NAUTAN",0,4,0,0,0,0,4,4
"BIHAR","CHATRA","CHATRA",24,0,0,1,0,0,1,25
"BIHAR","CHATRA","GIDDHAUR",4,0,0,0,0,0,0,4
"BIHAR","CHATRA","HUNTERGANJ",13,0,0,1,0,1,2,15
"BIHAR","CHATRA","ITKHORI",1,1,0,0,0,2,3,4
