-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "ManipurNSDPconst.csv", 
 "title": "Download CSV for Manipur Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/ManipurNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","35599","33879","34118","36686","38397","38168","40952","43163","44553","43101","44427","45795"
"Foresty and Logging","4041","3528","3040","2916","6024","6522","2598","2993","3318","3312","3307","3697"
"Fishing","3587","3763","3920","3931","4237","5036","5670","5872","5756","5788","5820","5822"
"Mining and Quarrying","4","4","1","-2","1","0","0","0","0","0","0","0"
"Sub total of primary","43231","41174","41079","43531","48659","49726","49220","52028","53627","52201","53554","55314"
"Manufacturing","8437","8164","8570","9269","9448","10800","13061","11683","14030","14979","16093","17571"
"Registered","218","240","331","455","209","168","92","128","193","276","393","416"
"Unregistered","8219","7924","8239","8814","9239","10632","12969","11555","13837","14703","15700","17155"
"Construction","8343","9097","11708","14927","15576","14234","18254","14952","19384","25117","26501","31096"
"Electricity, Gas and water Supply","1170","-54","-1214","-2139","-2523","-163","498","-406","354","180","92","96"
"Sub total of secondary","17950","17207","19064","22057","22501","24871","31813","26229","33768","40276","42686","48763"
"Transport Storage and Communication","3910","4016","4045","4358","4894","5280","5463","6582","7327","8103","8992","9839"
"Railways","0","0","0","0","0","0","0","0","0","0","0","0"
"Transport by other means","3308","3367","3425","3520","3903","4188","4376","5081","5597","5992","6415","6868"
"Storage","6","4","5","5","5","5","5","5","6","5","4","5"
"Communication","596","645","615","833","986","1087","1082","1496","1724","2106","2573","2966"
"Trade, hotels and restaurants","13899","12921","12972","14245","16871","17878","17748","16344","18173","18125","18162","18265"
"Banking and Insurance","1907","1594","1528","2142","2389","2415","2722","2434","3304","4104","4410","5104"
"Real estate, ownership of dwelling and business","4034","4254","4476","4722","4910","5134","5363","5774","6066","6386","6728","7106"
"Pubic Administration","15574","16200","17197","18883","19888","18640","24929","24283","28010","25775","26083","28126"
"Other Services","13639","13664","14376","15850","17252","15692","20859","22176","22740","21585","21669","25419"
"Sub total of tertiary","52963","52649","54594","60200","66204","65039","77084","77593","85620","84078","86044","93859"
"State domestic product","114144","111030","114737","125788","137364","139636","158117","155850","173015","176555","182284","197936"

"Figures are in Rs. Lakh"
