-----
{
 "description": "This data pertains to public account disbursements (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Disbursements_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to revenue receipts (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Revenue_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Revenue Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Revenue_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to public account receipts (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to total expenditure and disbursements (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Total_Expenditure_And_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Total Expenditure And Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Total_Expenditure_And_Disbursements_FY_2000-11.xls"
}
-----
"Sector","Data","FY 00","FY 01","FY 02","FY 03","FY 04","FY 05","FY 06","FY 07","FY 08","FY 09","FY 10","FY 11"
"PLAN -GS","A UT Puducherry",14.5747,16.8935,21.7635,28.9189,22.6074,27.6666,43.8087,79.9243,103.0245,90.1061,109.2467,84.0335
"PLAN -GS","Andhra Pradesh",63.0679,185.6579,156.558,155.4612,189.9875,105.3258,108.0395,457.9295,1092.9167,208.3484,271.8948,239.5136
"PLAN -GS","Arunachal Pradesh",16.3759,17.0605,31.1242,26.8158,31.4916,45.1093,33.5435,35.1253,45.0389,70.2136,147.8178,109.8566
"PLAN -GS","Assam",13.4563,9.1017,11.8143,20.9236,29.478,27.6516,214.3589,20.0402,27.3552,242.5012,114.2605,80.1704
"PLAN -GS","Bihar",187.4903,84.9024,42.053,32.7477,24.9594,213.3829,469.669,518.3885,407.6171,424.5333,568.0453,524.1313
"PLAN -GS","Chattisgarh",0.0,9.6106,29.3315,19.6941,24.2157,29.5396,32.2079,81.5291,132.9954,122.4432,121.3904,88.3372
"PLAN -GS","D NCT Delhi",103.3834,91.0521,93.1,112.5497,101.2013,164.8311,158.3868,223.1491,402.539,423.0761,437.2774,347.632
"PLAN -GS","Goa",15.7422,8.5518,10.9707,18.9357,33.6867,75.916,101.3432,89.5503,103.225,160.2598,191.9608,223.839
"PLAN -GS","Gujarat",79.9066,118.4111,54.1635,97.8355,164.6014,182.3517,188.504,245.4104,204.5568,398.1746,688.4178,892.5129
"PLAN -GS","Haryana",52.2288,57.5838,84.5734,78.5937,95.691,92.4004,120.763,127.0946,212.4016,248.9601,255.3908,264.7674
"PLAN -GS","Himachal Pradesh",69.2334,52.6925,53.0307,48.3604,41.8532,53.4696,70.023,95.4218,86.0828,113.8,105.0782,103.5757
"PLAN -GS","Jammu and Kashmir",65.0984,56.178,58.0418,57.1116,74.4431,92.7481,97.3003,54.2421,157.3758,163.0865,242.8684,466.1627
"PLAN -GS","Jharkhand",0.0,59.1695,138.6672,175.7339,212.7436,342.5159,385.9125,428.6934,276.1865,335.0535,231.0996,205.2666
"PLAN -GS","Karnataka",50.9717,51.8306,57.7215,90.7958,119.491,138.9573,229.9392,397.1572,369.2536,532.9366,531.1801,510.7118
"PLAN -GS","Kerala",47.731,43.2986,62.9091,109.0655,175.6435,192.6573,246.168,183.0017,259.618,207.3844,427.5664,262.5725
"PLAN -GS","Madhya Pradesh",41.6341,60.2242,195.4854,156.2706,73.3436,125.4165,117.8517,61.5371,141.9857,137.3602,222.1527,270.6219
"PLAN -GS","Maharastra",94.3186,48.0139,88.2751,150.0088,70.4808,53.5444,124.9668,446.3067,628.6139,726.8495,596.1043,604.3768
"PLAN -GS","Manipur",12.0814,5.9276,6.0637,6.6297,13.1621,17.1533,189.521,135.7176,107.408,58.3725,123.4181,288.9792
"PLAN -GS","Meghalaya",17.9182,21.1392,18.5714,23.2615,44.3913,28.4308,32.935,37.9828,53.7856,82.2131,96.6906,96.1019
"PLAN -GS","Mizoram",15.2477,20.9289,18.5524,20.4488,28.6937,23.8537,31.8208,43.9695,32.3283,36.7944,48.1948,64.294
"PLAN -GS","Nagaland",26.0295,37.8898,21.7295,37.1294,65.5073,48.2093,69.9998,78.3097,145.8202,160.0521,203.5123,224.6218
"PLAN -GS","Orissa",27.5772,45.1638,36.2913,23.0545,19.8199,13.0426,17.1607,38.8835,127.845,169.0661,229.2126,236.0426
"PLAN -GS","Punjab",41.0744,46.6929,30.0053,24.5275,27.7833,21.3072,36.5539,38.6905,65.4936,81.3462,75.9048,184.7543
"PLAN -GS","Rajasthan",215.136,33.6038,60.7435,83.674,79.6743,92.8148,128.3346,162.5324,207.7739,176.7854,210.5609,323.7357
"PLAN -GS","Sikkim",5.4462,6.8612,10.2994,30.6382,23.6349,20.878,24.5123,27.8752,58.1802,87.6358,125.9737,77.2326
"PLAN -GS","Tamil Nadu",135.6483,147.216,79.7038,115.4908,196.6232,162.1426,425.4034,133.4969,144.931,221.9321,436.4715,550.2329
"PLAN -GS","Tripura",7.9777,10.8976,24.8828,32.929,21.6938,45.1097,77.1715,70.7026,94.842,166.8669,199.2859,114.8147
"PLAN -GS","Uttar Pradesh",155.0133,158.9798,113.5841,292.7122,324.3783,285.7017,397.4491,582.9079,415.6985,550.4729,1086.9727,1395.5615
"PLAN -GS","Uttarakhand",0.0,2.447,61.0044,78.531,56.1947,128.6959,132.2421,90.3654,158.3914,137.4019,100.9221,113.702
"PLAN -GS","West Bengal",105.7313,86.0392,74.0897,101.9937,45.8452,70.8299,67.3255,112.8487,135.6519,212.3748,261.0106,217.6944
