-----
{
 "description": "The table refers to District wise Dugwells according to Water Distribution System. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.8.csv", 
 "title": "Download CSV for Districtwise Dugwells according to Water Distribution System", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.8.csv"
}
-----
"State","District","Sprinkler","Drip Irrigation","Open channel","Under ground channel","Others","Total"
"ANDAMAN & NICOBARS","NICOBAR",0,0,0,0,8,8
"ANDHRA PRADESH","ADILABAD",3323,514,18526,2323,2704,27390
"ANDHRA PRADESH","ANANTHAPUR",794,167,49112,1756,1108,52937
"ANDHRA PRADESH","CHITTOOR",2101,700,107854,3968,2000,116623
"ANDHRA PRADESH","CUDDAPAH",484,160,40345,236,558,41783
"ANDHRA PRADESH","EAST GODAVARI",67,3,1923,25,189,2207
"ANDHRA PRADESH","GUNTUR",102,51,5519,98,7621,13391
"ANDHRA PRADESH","KARIMNAGAR",4212,492,182792,16119,4385,208000
"ANDHRA PRADESH","KHAMMAM",390,174,33602,3254,1552,38972
"ANDHRA PRADESH","KRISHNA",146,46,16363,102,295,16952
"ANDHRA PRADESH","KURNOOL",762,360,27506,4914,1200,34742
"ANDHRA PRADESH","MAHABOOBNAGAR",1240,855,80614,6140,2960,91809
"ANDHRA PRADESH","MEDAK",1162,86,47941,1415,1515,52119
"ANDHRA PRADESH","NALGONDA",2666,593,89988,8252,7892,109391
"ANDHRA PRADESH","NELLORE",627,221,32221,897,1273,35239
"ANDHRA PRADESH","NIZAMABAD",430,312,12522,3386,196,16846
"ANDHRA PRADESH","PRAKASAM",579,192,25530,249,565,27115
"ANDHRA PRADESH","RANGAREDDY",859,240,26285,1957,699,30040
"ANDHRA PRADESH","SRIKAKULAM",380,118,34890,96,905,36389
"ANDHRA PRADESH","VISAKHAPATNAM",416,281,21690,639,3329,26355
"ANDHRA PRADESH","VIZIANAGARAM",226,119,33591,176,1684,35796
"ANDHRA PRADESH","WARANGAL",3867,598,131929,11640,12672,160706
"ANDHRA PRADESH","WEST GODAVARI",287,21,9985,108,13,10414
"ARUNACHAL PRADESH","CHANGLANG",1,0,0,0,0,1
"ARUNACHAL PRADESH","EAST SIANG",0,0,1,0,0,1
"ARUNACHAL PRADESH","PAPUMPARE",0,0,2,0,0,2
"ASSAM","BARPETA",0,0,23,0,0,23
"ASSAM","CACHAR",0,0,1,0,0,1
"ASSAM","DHUBRI",1,0,13,0,0,14
"ASSAM","GOALPARA",5,0,13,0,2,20
"ASSAM","JORHAT",0,0,10,0,0,10
"ASSAM","KOKRAJHAR",0,0,4,0,0,4
"ASSAM","LAKHIMPUR",0,0,57,0,1,58
"ASSAM","MORIGAON",0,10,8,0,0,18
"ASSAM","NAGOAN",0,0,1,0,1,2
"ASSAM","SIBSAGAR",0,0,3,0,0,3
"ASSAM","SONITPUR",0,0,1,0,0,1
"BIHAR","AURANGABAD",166,164,5527,231,115,6203
"BIHAR","BANKA",74,54,7464,116,139,7847
"BIHAR","BHAGALPUR",87,25,4639,63,74,4888
"BIHAR","BHOJPUR",64,78,2388,47,20,2597
"BIHAR","BUXAR",8,25,753,1,2,789
"BIHAR","EAST CHAMPARAN",0,20,2,0,0,22
"BIHAR","GAYA",170,141,17049,117,405,17882
"BIHAR","GOPAALGANJ",326,102,4031,17,104,4580
"BIHAR","JAMUI",77,51,8134,180,253,8695
"BIHAR","JEHANABAD",16,109,2363,7,42,2537
"BIHAR","KAIMUR (BHABUA)",167,80,8215,123,11,8596
"BIHAR","KATIHAR",0,0,15,0,0,15
"BIHAR","LAKHISARAI",3,42,1060,2,28,1135
"BIHAR","MADHEPURA",0,0,4,0,0,4
"BIHAR","MADHUBANI",0,6,112,0,3,121
"BIHAR","MUNGER",2,5,3270,122,61,3460
"BIHAR","MUZAFFARPUR",0,1,104,1,2,108
"BIHAR","NALANDA",197,691,16590,382,2870,20730
"BIHAR","NAWADA",55,355,4745,231,77,5463
"BIHAR","PATNA",68,114,3422,108,1259,4971
"BIHAR","ROHTAS(SASARAM)",65,71,6270,54,179,6639
"BIHAR","SARAN",22,72,9939,7,1941,11981
"BIHAR","SHEKHPURA",9,10,594,2,4,619
"BIHAR","SIWAN",5,83,13843,276,65,14272
"BIHAR","VAISHALI",154,10,804,1,54,1023
"CHHATTISGARH","BASTER",47,7,2984,7,918,3963
"CHHATTISGARH","BILASPUR",7128,13,2711,10,416,10278
"CHHATTISGARH","DANTEWADA",4,4,379,1,285,673
"CHHATTISGARH","DHAMTARI",40,19,4838,4,918,5819
"CHHATTISGARH","DURG",88,37,6667,14,1810,8616
"CHHATTISGARH","JANJGIR-CHAMPA",8994,59,2970,5,1220,13248
"CHHATTISGARH","JASHPUR",17884,71,6661,16,1742,26374
"CHHATTISGARH","KANKER",41,14,4749,17,2675,7496
"CHHATTISGARH","KORBA",4707,20,1655,5,603,6990
"CHHATTISGARH","KORIA",12477,5,4929,10,1105,18526
"CHHATTISGARH","KVARDHA",35,9,765,11,855,1675
"CHHATTISGARH","MAHASAMUND",121,22,3567,7,1523,5240
"CHHATTISGARH","RAIGARH",11751,66,4524,13,615,16969
"CHHATTISGARH","RAIPUR",131,95,10746,68,4812,15852
"CHHATTISGARH","RAJNANDGAON",88,122,4969,30,2249,7458
"CHHATTISGARH","SURGUJA",28734,141,25215,24,1692,55806
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",19,14,514,21,4,572
"GOA","NORTH GOA",430,19,1827,26,1446,3748
"GOA","SOUTH GOA",221,19,747,45,336,1368
"GUJARAT","AHMEDABAD",754,60,11172,435,993,13414
"GUJARAT","AMRELI",140,245,80241,158,75,80859
"GUJARAT","ANAND",6,0,231,1352,412,2001
"GUJARAT","BANASKANTHA",617,196,42704,2963,4461,50941
"GUJARAT","BHARUCH",58,24,3888,333,660,4963
"GUJARAT","BHAVNAGAR",1899,62,116000,17,57,118035
"GUJARAT","DAHOD",64,100,33166,20,670,34020
"GUJARAT","DANG",0,16,495,1,1023,1535
"GUJARAT","GANDHINAGAR",0,0,35,0,0,35
"GUJARAT","JAMNAGAR",0,0,83271,0,0,83271
"GUJARAT","JUNAGADH",988,180,132569,89,286,134112
"GUJARAT","KACHCHH",713,99,23704,1288,4722,30526
"GUJARAT","KHEDA",77,46,14613,836,230,15802
"GUJARAT","MEHSANA",734,16,4571,1855,647,7823
"GUJARAT","NARMADA",22,42,2057,4,647,2772
"GUJARAT","NAVSARI",107,33,12614,0,51,12805
"GUJARAT","PANCHMAHAL",237,203,41641,909,1447,44437
"GUJARAT","PATAN",0,0,92,0,0,92
"GUJARAT","PORBANDAR",278,45,21875,3,106,22307
"GUJARAT","RAJKOT",2595,231,90022,9633,1203,103684
"GUJARAT","SABARKANTHA",2206,322,66974,12006,2979,84487
"GUJARAT","SURAT",300,55,20668,1,126,21150
"GUJARAT","SURENDRANAGAR",630,373,29664,1201,5247,37115
"GUJARAT","VADODARA",156,70,16676,2415,788,20105
"GUJARAT","VALSAD",44,27,6007,1114,2117,9309
"HARYANA","AMBALA",2,0,344,0,1,347
"HARYANA","BHIWANI",2175,51,785,14,30,3055
"HARYANA","FATEHABAD",0,0,67,0,0,67
"HARYANA","GURGAON",77,29,2599,381,2700,5786
"HARYANA","HISSAR",0,11,0,96,0,107
"HARYANA","JHAJJAR",81,13,1473,20,167,1754
"HARYANA","KAITHAL",13,2,723,2,21,761
"HARYANA","KARNAL",3,24,1052,506,4,1589
"HARYANA","MAHENDRAGARH",517,3,86,3,6,615
"HARYANA","PANCHKULA",0,0,61,0,31,92
"HARYANA","PANIPAT",27,5,652,0,35,719
"HARYANA","REWARI",100,5,488,9,65,667
"HARYANA","ROHTAK",3,9,185,9,6,212
"HARYANA","SIRSA",4,8,738,12,3,765
"HARYANA","SONEPAT",168,20,1417,35,21,1661
"HARYANA","YAMUNANAGAR",35,2,570,0,15,622
"HIMACHAL PRADESH","Bilaspur",1,0,33,1,0,35
"HIMACHAL PRADESH","Hamirpur",23,2,129,8,62,224
"HIMACHAL PRADESH","Kangra",23,0,228,5,0,256
"HIMACHAL PRADESH","Kullu",0,0,2,0,0,2
"HIMACHAL PRADESH","Mandi",0,1,9,0,0,10
"HIMACHAL PRADESH","Sirmaur",1,2,359,11,27,400
"HIMACHAL PRADESH","Solan",0,0,734,2,6,742
"HIMACHAL PRADESH","Una",1,0,224,1,1,227
"JAMMU & KASHMIR","ANANTNAG",1,0,1,0,0,2
"JAMMU & KASHMIR","BADGAM",0,0,1,0,0,1
"JAMMU & KASHMIR","BARAMULLA",5,0,10,0,14,29
"JAMMU & KASHMIR","JAMMU",60,55,1226,11,12,1364
"JAMMU & KASHMIR","KATHUA",4,1,1034,47,1,1087
"JAMMU & KASHMIR","RAJOURI",1,0,0,0,0,1
"JAMMU & KASHMIR","SRINAGAR",4,0,17,0,0,21
"JAMMU & KASHMIR","UDHAMPUR",0,0,13,0,0,13
"JHARKHAND","BOKARO",19,8,13094,162,106,13389
"JHARKHAND","CHATRA",32,58,14320,435,700,15545
"JHARKHAND","DEOGHAR",89,45,12628,190,119,13071
"JHARKHAND","DHANBAD",23,34,6300,42,553,6952
"JHARKHAND","DUMKA",15,142,25881,394,579,27011
"JHARKHAND","EAST SINGHBHUM",1,0,1563,164,26,1754
"JHARKHAND","GARHWA",71,88,18895,614,235,19903
"JHARKHAND","GIRIDIH",72,229,23324,116,553,24294
"JHARKHAND","GODDA",34,34,17273,180,147,17668
"JHARKHAND","GUMLA",73,29,22481,312,583,23478
"JHARKHAND","HAZARIBAGH",68,50,37858,954,815,39745
"JHARKHAND","JAMTARA",5,43,8228,128,34,8438
"JHARKHAND","KODERMA",28,94,3556,114,74,3866
"JHARKHAND","LATEHAR",31,119,11915,252,91,12408
"JHARKHAND","LOHARDAGA",64,93,13054,247,98,13556
"JHARKHAND","PAKUR",5,11,412,15,47,490
"JHARKHAND","PALAMU",327,145,18692,424,201,19789
"JHARKHAND","RANCHI",207,387,37761,290,748,39393
"JHARKHAND","SAHEBGANJ",10,6,1498,31,139,1684
"JHARKHAND","SARAIKELA",5,8,2379,159,97,2648
"JHARKHAND","SIMDEGA",69,15,15964,29,325,16402
"JHARKHAND","WEST SINGHBHUM",3,5,1344,18,701,2071
"KARNATAKA","Bagalkote",304,119,8060,2895,253,11631
"KARNATAKA","Bangalore",106,1,406,59,156,728
"KARNATAKA","Bangalore Rural",715,91,5147,2096,1268,9317
"KARNATAKA","Belgaum",1937,204,46392,15212,2064,65809
"KARNATAKA","Bellary",62,25,2317,383,73,2860
"KARNATAKA","Bidar",665,89,12207,2573,409,15943
"KARNATAKA","Bijapur",2068,1603,32453,3743,3244,43111
"KARNATAKA","Chamaraja Nagara",238,44,6362,633,51,7328
"KARNATAKA","Chikmagalur",691,151,349,57,52,1300
"KARNATAKA","Chitradurga",29,26,1866,135,258,2314
"KARNATAKA","Dakshina Kannada",17204,2508,9091,1399,6723,36925
"KARNATAKA","Davanagere",55,75,524,62,71,787
"KARNATAKA","Dharwar",50,5,233,86,89,463
"KARNATAKA","Gadag",168,3,1757,134,139,2201
"KARNATAKA","Gulbarga",346,81,13196,3321,2124,19068
"KARNATAKA","Hassan",82,32,1247,160,238,1759
"KARNATAKA","Haveri",13,1,106,48,95,263
"KARNATAKA","Kodagu",54,0,28,34,6,122
"KARNATAKA","Kolar",310,61,9159,691,975,11196
"KARNATAKA","Koppal",45,26,1515,111,431,2128
"KARNATAKA","Mandya",191,28,5465,2292,525,8501
"KARNATAKA","Mysore",129,16,2632,1386,425,4588
"KARNATAKA","Raichur",217,134,8317,789,515,9972
"KARNATAKA","Shimoga",1124,1097,4170,360,756,7507
"KARNATAKA","Tumkur",514,47,11481,1417,1305,14764
"KARNATAKA","Udupi",2343,1334,22745,1400,790,28612
"KARNATAKA","Uttara Kannada",5489,2369,6051,654,4223,18786
"KERALA","ALAPPUZHA",1281,159,298,43,2930,4711
"KERALA","ERANAKULAM",742,1011,13329,21,2499,17602
"KERALA","IDDUKKI",372,35,115,1,5248,5771
"KERALA","KANNUR",338,45,10542,2086,2207,15218
"KERALA","KASARAGODE",530,115,4206,508,1452,6811
"KERALA","KOLLAM",712,100,1004,1028,3259,6103
"KERALA","KOTTAYAM",221,257,3395,487,6451,10811
"KERALA","KOZHIKODE",148,107,3006,280,9091,12632
"KERALA","MALAPPURAM",199,93,11110,317,707,12426
"KERALA","PALAKKAD",119,20,7644,278,856,8917
"KERALA","PATHANAMTHITTA",320,70,776,206,5262,6634
"KERALA","THIRUVANANTHAPURAM",471,131,3246,2468,6842,13158
