-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "BiharNSDPconst_1.csv", 
 "title": "Download CSV for Bihar Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/BiharNSDPconst_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","994671","1170882","888068","1218402","957393","1142838","1031575","1347880","1105372","1388064","1081937","1294974","1134346"
"Foresty and Logging","44030","45137","44665","44432","45448","49911","52998","55184","55715","56754","58200","59615","61296"
"Fishing","28982","31172","36155","39414","33075","37149","40169","42619","56422","61385","62271","61922","61529"
"Mining and Quarrying","2452","4232","1737","1787","1866","5423","5163","7716","15825","6863","7286","7304","7287"
"Sub total of primary","1070135","1251423","970625","1304035","1037782","1235321","1129905","1453399","1233334","1513066","1209694","1423815","1264458"
"Manufacturing","92695","83004","65688","65504","138701","35743","104359","87015","67463","115552","122853","132406","142072"
"Registered","43508","25235","26958","21812","52954","3447","54302","28958","20632","53127","59407","67192","75480"
"Unregistered","49187","57769","38730","43692","85747","32296","50057","58057","46831","62425","63446","65214","66592"
"Construction","73695","63996","71103","78456","84759","107259","146239","164420","134688","143261","163510","175561","186843"
"Electricity, Gas and water Supply","12080","14403","16529","18254","20516","17321","23974","17089","18332","17576","21461","25117","28943"
"Sub total of secondary","178470","161403","153320","162214","243976","160323","274572","268524","220483","276389","307824","333084","357858"
"Transport Storage and Communication","74830","80349","80897","83700","87797","97706","111019","132688","146704","171255","190339","216996","244356"
"Railways","41741","42278","43575","43860","43263","45673","48842","52110","57806","57887","62278","64820","67467"
"Transport by other means","21357","22550","20388","22886","24209","25355","28367","30479","29291","32884","30883","34841","35217"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","11732","15521","16934","16954","20325","26678","33810","50099","59607","80484","97178","117335","141672"
"Trade, hotels and restaurants","315194","353838","267688","383070","369533","405606","411477","522950","413030","497543","419659","481912","447851"
"Banking and Insurance","56523","59550","64357","89007","123185","108240","107980","111031","126313","152855","164239","176471","189614"
"Real estate, ownership of dwelling and business","54018","56828","60023","63356","67352","72830","75897","81654","86109","91315","97661","105158","113709"
"Pubic Administration","148928","156985","151650","154622","177941","185332","205255","238699","290202","268375","288344","308511","329885"
"Other Services","179909","195961","209639","216881","232807","222541","297558","327350","297419","324470","281914","300078","318681"
"Sub total of tertiary","829402","903511","834254","990636","1058615","1092255","1209186","1414372","1359777","1505813","1442156","1589126","1644096"
"State domestic product","2078007","2316337","1958199","2456885","2340373","2487899","2613663","3136296","2813594","3295268","2959674","3346025","3266412"

"Figures are in Rs. Lakh"
