-----
{
 "description": "The table refers to statewise distribution of shallow tubewells according to social status . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Stateshtbwl2.4.csv", 
 "title": "Download CSV for Statewise Distribution of Shallow Tubewells according to Social status for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Stateshtbwl2.4.csv"
}
-----
State,Scheduled caste,Scheduled tribe,Other social status of farmers,Total,Owned by other than individual farmers,Total
ANDHRA PRADESH,22765,11634,280942,315341,1856,317197
ARUNACHAL PRADESH,0,0,0,0,0,0
ASSAM,1719,4890,17980,24589,2483,27072
BIHAR,54349,8856,520689,583894,5625,589519
GOA,0,0,27,27,1,28
GUJARAT,NA,NA,NA,NA,NA,NA
HARYANA,12606,13298,463426,489330,4964,494294
HIMACHAL PRADESH,70,5,1271,1346,278,1624
JAMMU & KASHMIR,273,0,593,866,447,1313
KARNATAKA,5715,3572,70098,79385,211,79596
KERALA,52,12,2240,2304,60,2364
MADHYA PRADESH,4979,3421,111986,120386,1118,121504
MAHARASHTRA,NA,NA,NA,NA,NA,NA
MANIPUR,0,0,0,0,36,36
MEGHALAYA,0,108,1,109,1,110
MIZORAM,0,0,0,0,0,0
NAGALAND,0,6,0,6,0,6
ORISSA,3139,283,13048,16470,1625,18095
PUNJAB,32060,10782,900346,943188,1021,944209
RAJASTHAN,5348,7965,49524,62837,262,63099
SIKKIM,0,0,0,0,0,0
TAMIL NADU,5147,841,69491,75479,842,76321
TRIPURA,23,18,67,108,28,136
UTTAR PRADESH,261511,29840,1689786,1981137,1429,1982566
WEST BENGAL,92696,11106,384655,488457,16181,504638
ANDAMAN & NICOBARS,0,0,0,0,0,0
CHANDIGARH,0,0,0,0,0,0
DADRA & NAGAR HAVELI,0,0,0,0,0,0
DAMAN & DIU,NA,NA,NA,NA,NA,NA
DELHI,287,31,8702,9020,0,9020
LAKSHADWEEP,NA,NA,NA,NA,NA,NA
PONDICHERRY,63,10,3757,3830,65,3895
All India,502802,106678,4588629,5198109,38533,5236642
