-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "JammuKashmirNSDPcurrent.csv", 
 "title": "Download CSV for Jammu &amp; Kashmir Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/JammuKashmirNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-05","2005-06"
"Agriculture","173925","220399","227822","276712","295532","328818","356153","367097","389901","454636","495932","536622","584435"
"Foresty and Logging","27374","24932","32729","30826","30124","43099","44417","43758","49384","53550","49627","53699","58484"
"Fishing","2876","3171","3445","3970","4250","9282","10928","10084","10286","11450","12358","13372","14563"
"Mining and Quarrying","2203","736","1377","1664","885","1974","1805","1451","1824","1945","1823","1972","2148"
"Sub total of primary","206378","249238","265373","313172","330791","383173","413303","422390","451395","521581","559740","605665","659630"
"Manufacturing","47651","42987","51031","45460","39858","75393","79820","59137","66651","72418","78009","84421","91943"
"Registered","18325","9456","14192","15893","14546","14635","15542","16372","16608","18005","19202","20780","22632"
"Unregistered","29326","33531","36839","29567","25312","60758","64278","42765","50043","54413","58807","63641","69311"
"Construction","71239","69111","102370","111880","111559","127980","130459","190788","157304","167716","177086","191642","208717"
"Electricity, Gas and water Supply","-22125","-29318","-37298","-48602","-28095","-13119","-38234","-68203","-43791","-41674","-37309","-40375","-43972"
"Sub total of secondary","96765","82780","116103","108738","123322","190254","172045","181722","180164","198460","217786","235688","256688"
"Transport Storage and Communication","8499","9186","13780","21233","28655","31556","48285","66857","75784","76915","89983","97878","106599"
"Railways","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Transport by other means","8499","9186","13780","21233","28655","31556","48285","66857","75784","76915","89983","97878","106599"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trade, hotels and restaurants","69861","72159","82819","96699","107974","129557","135009","129703","142143","160843","169482","184352","200778"
"Banking and Insurance","15276","15493","23426","23230","26313","43232","48972","48784","67048","72678","87480","95155","103633"
"Real estate, ownership of dwelling and business","44432","48421","50549","53651","60175","62288","66535","72470","86526","88852","99462","108189","117829"
"Pubic Administration","60361","67193","80196","92472","125287","165813","200316","211440","226227","247611","255796","278239","303030"
"Other Services","48448","55674","65059","75894","83269","106948","133754","147154","153126","167300","179983","195775","213218"
"Sub total of tertiary","246877","268126","315829","363179","431673","539394","632871","676408","750854","814199","882186","959588","1045087"
"State domestic product","550020","600144","697305","785089","885786","1112821","1218219","1280520","1382413","1534240","1659712","1800941","1961405"

"Figures are in Rs. Lakh"
