-----
{
 "description": "The table refers to District wise Distribution of Surface Lift Schemes according to Average Pumping Hours. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.11.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Lift Schemes according to Average Pumping Hours", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.11.csv"
}
-----
"State","District","Avg pumping hours (0-4)","Avg pumping hours (4 - 8)","Avg pumping hours (8-12)","Avg pumping hours (12 -16)","Avg pumping hours (16 - 20)","Avg pumping hours (20 - 24)","Total"
"ANDAMAN & NICOBARS","ANDAMAN",1595,74,0,0,0,0,1669
"ANDAMAN & NICOBARS","NICOBAR",26,1,0,0,0,0,27
"ANDHRA PRADESH","ADILABAD",593,691,167,1,2,0,1454
"ANDHRA PRADESH","ANANTHAPUR",1,0,0,0,0,0,1
"ANDHRA PRADESH","CHITTOOR",1,15,7,0,0,0,23
"ANDHRA PRADESH","CUDDAPAH",96,219,102,0,0,0,417
"ANDHRA PRADESH","EAST GODAVARI",2,34,10,5,7,0,58
"ANDHRA PRADESH","GUNTUR",353,738,425,17,16,1,1550
"ANDHRA PRADESH","KARIMNAGAR",215,228,25,1,0,2,471
"ANDHRA PRADESH","KHAMMAM",915,2531,708,34,21,7,4216
"ANDHRA PRADESH","KRISHNA",28,28,34,5,11,0,106
"ANDHRA PRADESH","KURNOOL",447,1454,247,0,1,0,2149
"ANDHRA PRADESH","MAHABOOBNAGAR",574,456,325,22,2,0,1379
"ANDHRA PRADESH","MEDAK",86,265,636,0,0,0,987
"ANDHRA PRADESH","NALGONDA",762,2792,856,6,7,0,4423
"ANDHRA PRADESH","NELLORE",431,1777,603,3,1,1,2816
"ANDHRA PRADESH","NIZAMABAD",200,669,913,1,0,0,1783
"ANDHRA PRADESH","PRAKASAM",312,640,351,46,0,0,1349
"ANDHRA PRADESH","RANGAREDDY",124,87,29,21,8,3,272
"ANDHRA PRADESH","SRIKAKULAM",20,5,6,2,0,0,33
"ANDHRA PRADESH","VISAKHAPATNAM",17,37,0,0,0,0,54
"ANDHRA PRADESH","VIZIANAGARAM",32,15,62,0,1,89,199
