-----
{
 "description": "This data pertains to public account disbursements (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Disbursements_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to revenue receipts (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Revenue_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Revenue Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Revenue_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to public account receipts (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to total expenditure and disbursements (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Total_Expenditure_And_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Total Expenditure And Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Total_Expenditure_And_Disbursements_FY_2000-11.xls"
}
-----
"Sector","Cat","Identity","FY 00","FY 01","FY 02","FY 03","FY 04","FY 05","FY 06","FY 07","FY 08","FY 09","FY 10","FY 11"
"REGS","A","A Union Govt",163262.4,175227.51,188258.42,203740.77,216483.86,222831.82,239895.41,272112.52,299907.35,359332.61,429838.5,454561.16
"REGS","B","A UT Puducherry",196.02,208.53,223.03,249.36,294.39,342.24,381.06,463.47,537.63,680.51,871.19,865.04
"REGS","B","Andhra Pradesh",6754.12,8534.92,9286.34,10807.71,11930.86,12940.83,13492.04,15313.97,18170.24,18730.16,21391.68,26708.39
"REGS","B","Arunachal Pradesh",270.79,332.04,337.33,364.56,438.19,489.02,488.73,559.6,620.06,774.24,1161.03,1265.23
"REGS","B","Assam",2461.9,2547.85,2925.52,3112.2,3529.12,3688.9,4201.61,4302.36,4924.42,5365.82,8379.58,7766.42
"REGS","B","Bihar",6504.65,6983.7,6322.9,6574.14,7175.46,7803.48,8522.77,8643.02,9251.97,10529.52,12202.35,15286.97
"REGS","B","Chattisgarh",0.0,477.02,1746.23,1838.86,2154.36,2493.99,2186.91,2639.09,3039.61,3598.75,4349.76,5247.06
"REGS","B","D NCT Delhi",821.3,1049.01,1260.52,1521.02,1805.53,2074.38,2223.82,2810.38,3249.25,3434.56,3629.67,3728.98
"REGS","B","Goa",605.71,778.41,1080.39,911.53,581.66,632.82,742.95,785.52,837.18,1061.88,1350.92,1487.56
"REGS","B","Gujarat",5753.07,6145.16,7165.08,8302.49,9250.17,10024.33,11288.09,12120.52,13654.47,13385.32,16934.16,19840.46
"REGS","B","Haryana",2902.92,3117.33,3486.19,3995.32,4367.72,4898.11,4579.66,4845.05,5229.69,6024.47,7755.35,9328.14
"REGS","B","Himachal Pradesh",1447.63,1613.65,1941.79,2130.67,2483.3,2722.57,2818.08,3299.85,3429.38,3917.71,4376.78,5279.26
"REGS","B","Jammu and Kashmir",2413.85,2448.1,2985.19,3153.59,3373.71,3286.69,3681.48,4653.53,5623.58,5272.4,6445.24,7777.4
