-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "MaharashtraGSDPconst.csv", 
 "title": "Download CSV for Maharashtra Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/MaharashtraGSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","2026472","1991482","2065751","2402541","2049233","2207650","2396284","2239446","2377303","2333975","2157062","2111048"
"Foresty and Logging","130311","137004","138259","140629","135516","122972","124144","142458","144853","144014","150137","144460"
"Fishing","52913","45807","67503","85670","75714","71389","65946","61878","67557","65736","68611","65117"
"Mining and Quarrying","75172","79444","90594","101157","115375","111456","121168","132744","135738","139945","154559","163700"
"Sub total of primary","2284868","2253737","2362107","2729997","2375838","2513467","2707542","2576526","2725451","2683670","2530369","2484325"
"Manufacturing","2847028","2899727","3443443","3575944","4034431","3736214","4108754","3494962","3496811","3762502","4211659","4616603"
"Registered","1935378","1949868","2363288","2456411","2717598","2552093","2711686","2325779","2230652","2473696","2799436","3065742"
"Unregistered","911650","949859","1080155","1119533","1316833","1184121","1397068","1169183","1266159","1288806","1412223","1550861"
"Construction","558095","563228","565416","614199","671656","737142","688772","642359","702452","784269","855880","960897"
"Electricity, Gas and water Supply","308215","337366","377726","397836","425689","446587","420464","419364","405898","444268","471033","508015"
"Sub total of secondary","3713338","3800321","4386585","4587979","5131776","4919943","5217990","4556685","4605161","4991039","5538572","6085515"
"Transport Storage and Communication","875183","984566","1114132","1187605","1357913","1415811","1504857","1751901","1840449","2074239","2566038","3006503"
"Railways","100986","105175","112616","137851","131303","139625","142076","148342","153417","164200","174738","183980"
"Transport by other means","529667","598092","670288","651963","719089","762879","757333","783471","783986","841696","894055","979965"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","244530","281299","331228","397791","507521","513307","605448","820088","903046","1068343","1497245","1842558"
"Trade, hotels and restaurants","1288277","1310306","1568369","1727230","1934171","1867691","1963802","1965318","2036676","2411041","2642682","3024975"
"Banking and Insurance","1483690","1537079","1686523","1403570","1441906","1894006","2352009","2189241","2275007","2387924","2565745","2633547"
"Real estate, ownership of dwelling and business","665563","689119","720698","763872","797130","821824","845177","885018","924659","967494","1008566","1060175"
"Pubic Administration","388087","406300","439529","467046","536071","517765","685487","650650","667756","688324","705140","780708"
"Other Services","632958","639899","678740","747597","797517","904326","1025423","1086637","1363347","1607240","1661934","1749574"
"Sub total of tertiary","5333758","5567269","6207991","6296920","6864708","7421423","8376755","8528765","9107894","10136262","11150105","12255482"
"State domestic product","11331964","11621327","12956683","13614896","14372322","14854833","16302287","15661976","16438506","17810971","19219046","20825322"

"Figures are in Rs. Lakh"
