-----
{
 "description": "The table refers to district wise surface lift schemes according to constraints. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.16.csv", 
 "title": "Download CSV for Districtwise Surface lift Schemes according to the constraints for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.16.csv"
}
-----
"State","District","Total No. of Schemes in Use","No. of scemes with no constraints","Constraints  in utilisation of irrigation potential - Power inadequate","Constraints  in utilisation of irrigation potential - Mechanical break down","Constraints  in utilisation of irrigation potential - Less water discharge","Constraints  in utilisation of irrigation potential - Storage siltation","Constraints  in utilisation of irrigation potential - Channel break down","Constraints  in utilisation of irrigation potential - Other reason","Total","Grand Total"
"ANDHRA PRADESH","ADILABAD",1744,1227,282,12,216,7,0,0,517,1744
"ANDHRA PRADESH","ANANTHAPUR",1,0,0,0,0,1,0,0,1,1
"ANDHRA PRADESH","CHITTOOR",100,91,0,0,9,0,0,0,9,100
"ANDHRA PRADESH","CUDDAPAH",70,56,1,1,6,6,0,0,14,70
"ANDHRA PRADESH","EAST GODAVARI",75,50,2,3,1,19,0,0,25,75
"ANDHRA PRADESH","GUNTUR",1271,1117,18,17,16,103,0,0,154,1271
"ANDHRA PRADESH","KARIMNAGAR",374,283,22,20,13,36,0,0,91,374
"ANDHRA PRADESH","KHAMMAM",4491,3655,22,19,756,39,0,0,836,4491
"ANDHRA PRADESH","KRISHNA",83,60,3,0,10,10,0,0,23,83
"ANDHRA PRADESH","KURNOOL",1565,890,112,49,411,103,0,0,675,1565
"ANDHRA PRADESH","MAHABOOB NAGAR",939,1,105,4,550,279,0,0,938,939
"ANDHRA PRADESH","MEDAK",201,58,69,3,51,20,0,0,143,201
"ANDHRA PRADESH","NALGONDA",1810,1172,319,28,118,173,0,0,638,1810
"ANDHRA PRADESH","NELLORE",2366,2084,46,2,128,106,0,0,282,2366
"ANDHRA PRADESH","NIZAMABAD",1251,780,170,19,266,16,0,0,471,1251
"ANDHRA PRADESH","PRAKASAM",1010,882,2,3,91,32,0,0,128,1010
"ANDHRA PRADESH","RANGA REDDY",487,327,0,0,89,71,0,0,160,487
"ANDHRA PRADESH","SRIKAKULUM",42,35,2,0,4,1,0,0,7,42
"ANDHRA PRADESH","VIJAYA NAGARAM",140,119,5,1,7,8,0,0,21,140
"ANDHRA PRADESH","VISAKHAPATNAM",44,26,1,0,13,4,0,0,18,44
"ANDHRA PRADESH","WARANGAL",604,556,2,1,45,0,0,0,48,604
"ANDHRA PRADESH","WEST GODAVARI",144,115,5,1,3,20,0,0,29,144
"ASSAM","BARPETA",200,0,7,9,135,3,5,41,200,200
"ASSAM","BONGAIGAON",87,0,0,0,2,3,2,80,87,87
"ASSAM","CACHAR",55,0,13,1,0,0,2,39,55,55
"ASSAM","DARRANG",481,0,0,26,125,3,1,326,481,481
"ASSAM","DHEMAJI",114,0,0,3,6,0,0,105,114,114
"ASSAM","DHUBRI",59,0,18,1,36,0,0,4,59,59
"ASSAM","DIBRUGARH",315,0,1,7,1,9,1,296,315,315
"ASSAM","GOALPARA",403,0,4,9,38,3,1,348,403,403
"ASSAM","GOLAGHAT",314,0,0,0,2,0,0,312,314,314
"ASSAM","HAILAKANDI",16,0,3,0,0,0,0,13,16,16
"ASSAM","JORHAT",1252,0,0,500,270,65,10,407,1252,1252
"ASSAM","KAMRUP",623,0,10,113,40,6,43,411,623,623
"ASSAM","KARBI ANGLONG",47,0,0,0,3,6,0,38,47,47
"ASSAM","KARIMGANJ",17,0,5,3,2,0,0,7,17,17
"ASSAM","KOKRAJHAR",60,0,0,0,0,4,0,56,60,60
"ASSAM","LAKHIMPUR",115,0,0,0,0,1,0,114,115,115
"ASSAM","MARIGAON",401,0,94,95,176,6,6,24,401,401
"ASSAM","NAGAON",1612,0,7,74,206,6,1,1318,1612,1612
"ASSAM","NALBARI",194,0,11,27,40,12,20,84,194,194
"ASSAM","NORTH CACHAR HILLS",6,0,0,0,0,0,0,6,6,6
"ASSAM","SIBSAGAR",535,0,10,98,105,7,0,315,535,535
"ASSAM","SONITPUR",361,0,0,38,77,18,0,228,361,361
"ASSAM","TINSUKIA",297,0,0,1,0,1,1,294,297,297
"BIHAR","ARARIA",0,0,0,0,0,0,0,0,0,0
"BIHAR","AURANGABAD",43,0,1,0,1,22,3,16,43,43
"BIHAR","BANKA",145,0,2,0,42,14,0,87,145,145
"BIHAR","BEGUSARAI",38,0,20,7,0,4,2,5,38,38
"BIHAR","BHABUA",51,0,3,0,3,8,0,37,51,51
"BIHAR","BHAGALPUR",232,0,2,17,42,25,2,144,232,232
"BIHAR","BHOJPUR",41,0,1,4,21,7,0,8,41,41
