-----
{
 "description": "This data pertains to public account disbursements (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Disbursements_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to revenue receipts (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Revenue_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Revenue Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Revenue_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to public account receipts (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to total expenditure and disbursements (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Total_Expenditure_And_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Total Expenditure And Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Total_Expenditure_And_Disbursements_FY_2000-11.xls"
}
-----
"Sector","Data","FY 00","FY 01","FY 02","FY 03","FY 04","FY 05","FY 06","FY 07","FY 08","FY 09","FY 10","FY 11"
"P-CEES","A UT Puducherry",72.3171,73.3516,83.9735,87.6187,91.1172,115.2368,170.355,247.8172,174.217,144.5047,247.1349,215.0372
"P-CEES","Andhra Pradesh",1755.1248,2217.0939,2503.4156,2523.4937,3300.4575,4295.1637,7517.9977,9403.9388,12547.1334,10229.5573,13224.2136,10402.4101
"P-CEES","Arunachal Pradesh",211.4486,205.2978,228.989,232.5953,357.0665,286.4094,332.3945,423.5901,389.8174,1070.698,793.0771,1148.985
"P-CEES","Assam",396.5014,488.3705,445.5872,431.8878,526.2111,722.7907,969.667,1238.7214,1192.9654,1785.0379,2044.2424,1720.0832
"P-CEES","Bihar",1125.5894,982.5,679.8001,746.5109,1363.5035,998.7839,1682.7514,4458.8436,5079.0204,5584.9003,5935.7448,7728.1555
"P-CEES","Chattisgarh",0.0,169.6226,331.2828,662.9727,806.6251,993.1178,1100.7784,1595.7278,2264.7701,2129.7971,1866.0074,2071.0355
"P-CEES","D NCT Delhi",341.8156,401.5543,382.5821,469.9545,516.1918,936.5308,1078.1882,1399.8224,2853.1783,2977.4086,3720.5588,3180.0366
"P-CEES","Goa",80.0938,110.0869,133.0967,145.4909,184.4795,265.0478,387.8029,416.751,444.8434,559.2068,687.858,804.1247
"P-CEES","Gujarat",2017.6108,1888.6113,818.7191,1220.8318,1913.742,2511.9567,5047.63,6025.6233,4817.5772,8122.4075,5819.7853,6758.4803
"P-CEES","Haryana",694.2818,741.1456,660.1145,586.6384,693.5217,796.8132,1130.5762,1746.9664,2317.7928,2685.7716,2945.9194,2416.3903
"P-CEES","Himachal Pradesh",322.5876,306.4259,372.4899,608.0539,454.933,280.3137,398.7074,457.6026,721.5619,1136.6201,1221.7451,1089.3814
"P-CEES","Jammu and Kashmir",537.9442,520.329,972.38,1003.2764,1137.2595,1494.9342,2198.2386,1480.8697,2491.2996,3326.697,4277.0161,3754.7844
"P-CEES","Jharkhand",0.0,155.3601,602.3864,673.9611,816.698,1087.2514,1213.5805,894.1045,1643.7215,1520.0681,1765.9222,1862.3829
"P-CEES","Karnataka",1102.7489,1360.8614,1635.802,2364.7189,2391.5799,3963.8291,4485.2693,6798.01,4957.9953,6298.064,8244.6926,9616.8111
"P-CEES","Kerala",534.4279,485.5392,464.6745,563.825,521.4324,527.1083,614.8367,740.8712,1264.5529,1331.8161,1481.8078,2228.7531
"P-CEES","Madhya Pradesh",738.3572,955.8137,1274.2138,1877.7794,2103.002,3056.7432,2982.3062,4073.779,5303.8437,5109.4871,6590.1734,7077.2359
"P-CEES","Maharastra",2404.6115,3536.8448,1321.3424,1458.3552,3418.2618,4706.18,5499.6097,6946.6548,8468.4238,10703.9698,13160.6092,14244.441
"P-CEES","Manipur",286.3076,103.3843,123.8538,80.8154,117.4609,249.4843,297.8548,462.6304,627.1074,861.8617,926.4677,1051.5853
"P-CEES","Meghalaya",101.9475,139.3605,88.694,111.0416,126.7135,128.2557,133.6019,177.2319,211.4879,261.9343,291.44,405.3468
"P-CEES","Mizoram",120.304,95.3694,78.4994,104.4726,219.4065,230.9893,350.4915,312.2352,370.284,253.8684,290.8371,360.1663
"P-CEES","Nagaland",90.292,107.5071,125.5277,166.2065,191.952,185.0921,287.472,387.2018,380.9433,412.1426,498.4327,599.6671
"P-CEES","Orissa",716.6869,666.4239,652.0725,844.6299,669.6878,930.6631,837.7073,1104.7954,1938.3923,2552.3386,2550.2103,3222.257
"P-CEES","Punjab",509.6294,602.486,875.3328,854.6271,610.8016,542.6311,975.5902,1967.9948,1411.1264,1383.4848,1219.7432,1383.0069
