-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "chandigarhGSDPconst.csv", 
 "title": "Download CSV for Chandigarh Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/chandigarhGSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","3596","3521","3467","3391","3184","3055","3159","3002","3067","3572","3153","3061"
"Foresty and Logging","268","275","263","253","293","378","91","82","77","78","81","83"
"Fishing","40","23","25","23","1","1","1","1","18","20","23","23"
"Mining and Quarrying","1","1","1","1","1","1","1","1","1","1","1","1"
"Sub total of primary","3905","3820","3756","3668","3479","3435","3252","3086","3163","3671","3258","3168"
"Manufacturing","30566","32472","33416","37063","40764","42029","43608","43137","43789","45467","50053","53918"
"Registered","10914","11344","9996","12135","14300","13337","12696","10878","11140","11323","12465","13428"
"Unregistered","19652","21128","23420","24928","26464","28692","30912","32259","32649","34144","37588","40490"
"Construction","9603","9982","10959","11510","14644","20611","18255","23037","27699","34447","40725","48135"
"Electricity, Gas and water Supply","-376","3317","4085","6964","4789","6039","8190","4229","3884","3770","3866","3984"
"Sub total of secondary","39793","45771","48460","55537","60197","68679","70053","70403","75372","83684","94644","106037"
"Transport Storage and Communication","7569","5682","6460","7705","8495","10059","11846","12411","13828","14634","15575","16229"
"Railways","79","82","94","106","115","123","142","139","147","164","173","182"
"Transport by other means","5543","3315","3290","3744","3771","4202","5324","5593","5823","5979","6220","6357"
"Storage","54","51","56","57","59","61","61","67","73","80","87","90"
"Communication","1893","2234","3020","3798","4550","5673","6319","6612","7785","8411","9095","9600"
"Trade, hotels and restaurants","21644","24096","26716","33654","35101","37464","42482","48667","59005","71757","85534","103503"
"Banking and Insurance","14092","21995","30381","35150","34607","31791","31363","39343","41494","46255","51562","57477"
"Real estate, ownership of dwelling and business","28625","29673","30808","31816","33097","34495","35974","37128","38592","40110","41459","42954"
"Pubic Administration","17134","16184","17230","18762","22848","26518","29748","28031","27712","28395","28263","29385"
"Other Services","14023","14126","14823","16546","18088","22493","25667","25271","26372","27551","28337","29058"
"Sub total of tertiary","103087","111756","126418","143633","152236","162820","177080","190851","207003","228702","250730","278606"
"State domestic product","146785","161347","178634","202838","215912","234934","250385","264340","285538","316057","348632","387811"

"Figures are in Rs. Lakh"
