-----
{
 "description": "The table refers to District wise Distribution of Surface Lift Schemes according to Social status. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.4.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Lift Schemes according to Social status", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.4.csv"
}
-----
"State","District","Scheduled caste","Scheduled tribe","Other social status of farmers","Total"
"ANDAMAN & NICOBARS","ANDAMAN",2,14,1647,1663
"ANDAMAN & NICOBARS","NICOBAR",0,6,21,27
"ANDHRA PRADESH","ADILABAD",219,260,768,1247
"ANDHRA PRADESH","ANANTHAPUR",0,0,0,0
"ANDHRA PRADESH","CHITTOOR",8,0,15,23
"ANDHRA PRADESH","CUDDAPAH",10,4,389,403
"ANDHRA PRADESH","EAST GODAVARI",1,0,44,45
"ANDHRA PRADESH","GUNTUR",59,23,1358,1440
"ANDHRA PRADESH","KARIMNAGAR",27,17,351,395
"ANDHRA PRADESH","KHAMMAM",208,1082,2686,3976
"ANDHRA PRADESH","KRISHNA",6,0,43,49
"ANDHRA PRADESH","KURNOOL",98,4,2017,2119
"ANDHRA PRADESH","MAHABOOBNAGAR",124,9,1226,1359
"ANDHRA PRADESH","MEDAK",77,10,900,987
"ANDHRA PRADESH","NALGONDA",151,500,3413,4064
"ANDHRA PRADESH","NELLORE",305,84,2387,2776
"ANDHRA PRADESH","NIZAMABAD",146,51,1582,1779
"ANDHRA PRADESH","PRAKASAM",69,13,1165,1247
"ANDHRA PRADESH","RANGAREDDY",36,1,232,269
"ANDHRA PRADESH","SRIKAKULAM",0,0,10,10
"ANDHRA PRADESH","VISAKHAPATNAM",28,0,0,28
"ANDHRA PRADESH","VIZIANAGARAM",3,0,163,166
"ANDHRA PRADESH","WARANGAL",48,36,47,131
"ANDHRA PRADESH","WEST GODAVARI",1,7,217,225
"ARUNACHAL PRADESH","DIBANG VALLEY",0,0,0,0
"ARUNACHAL PRADESH","LOHIT",0,0,1,1
"ARUNACHAL PRADESH","TIRAP",0,0,0,0
"ARUNACHAL PRADESH","UPPER SUBANSIRI",0,0,0,0
"ARUNACHAL PRADESH","WEST KAMENG",0,0,0,0
"ARUNACHAL PRADESH","WEST SIANG",0,0,0,0
"ASSAM","BARPETA",0,1,9,10
"ASSAM","BONGAIGAON",44,2,147,193
"ASSAM","CACHAR",47,9,191,247
"ASSAM","DARRANG",0,0,5,5
"ASSAM","DHEMAJI",0,2,0,2
"ASSAM","DHUBRI",0,0,16,16
"ASSAM","DIBRUGARH",0,0,1,1
"ASSAM","GOALPARA",0,2,7,9
"ASSAM","GOLAGHAT",1,1,35,37
"ASSAM","HAILAKANDI",0,0,0,0
"ASSAM","JORHAT",0,0,9,9
"ASSAM","KAMRUP",20,2,47,69
"ASSAM","KARBIANGLONG",0,3,14,17
"ASSAM","KARIMGANJ",5,1,7,13
"ASSAM","KOKRAJHAR",4,29,37,70
"ASSAM","LAKHIMPUR",1,2,9,12
"ASSAM","MORIGAON",9,1,24,34
"ASSAM","NAGOAN",26,36,360,422
"ASSAM","NALBARI",0,24,11,35
"ASSAM","NC HILLS",8,0,0,8
"ASSAM","SIBSAGAR",0,1,11,12
"ASSAM","SONITPUR",0,27,98,125
"ASSAM","TINSUKIA",2,19,64,85
